"Daily Weather Observations for Bankstown, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2008.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,14.0,28.0,0,,,ENE,30,14:59,18.3,86,,NNW,4,1024.9,27.7,44,1,NE,15,1021.2
,2026-04-2,14.8,28.4,0,,,E,30,16:12,18.2,91,,WNW,2,1024.4,25.9,57,,ENE,19,1020.6
,2026-04-3,15.3,26.1,0.2,,,SSE,43,15:06,19.0,88,, ,Calm,1022.8,24.1,64,8,SE,30,1022.1
,2026-04-4,17.4,20.0,1.4,,,S,30,12:50,17.9,92,8,SSW,11,1026.4,19.5,72,8,S,15,1025.1
,2026-04-5,15.3,22.8,15.0,,,SSE,37,13:53,17.2,94,,SW,9,1027.0,19.9,68,7,ESE,26,1023.8
,2026-04-6,12.1,20.4,0,,,N,17,16:28,19.5,68,,NW,6,1021.2,18.9,71,,NE,9,1017.5
,2026-04-7,12.2,31.4,0.4,,,WSW,30,16:05,14.0,98,, ,Calm,1012.9,30.0,39,1,WNW,13,1008.6
,2026-04-8,15.7,28.7,0,,,SE,28,15:39,22.8,75,,W,6,1016.1,28.0,34,,S,9,1014.0
,2026-04-9,16.7,31.5,0,,,NE,22,18:08,21.6,82,,WNW,9,1018.0,31.2,35,,WNW,7,1012.9
,2026-04-10,17.3,29.7,0,,,NNW,37,14:40,26.6,51,,NW,11,1013.0,29.3,43,,N,15,1008.6
,2026-04-11,16.7,24.7,0,,,SW,41,09:55,20.9,38,,WSW,22,1009.4,24.4,31,,W,13,1006.7
,2026-04-12,9.1,21.3,0,,,W,48,17:44,15.5,47,1,W,20,1011.0,20.4,30,,WSW,24,1009.6
,2026-04-13,9.9,23.2,0,,,WSW,33,08:53,17.6,50,,WSW,20,1018.2,22.8,36,,SSW,9,1016.7
,2026-04-14,9.7,25.1,0,,,ESE,30,15:19,15.4,67,,WSW,11,1021.1,24.0,41,,ESE,20,1018.1
,2026-04-15,9.2,27.2,0,,,ESE,31,14:55,17.4,67,,WNW,6,1020.1,23.0,46,,ESE,22,1017.0
,2026-04-16,11.6,27.9,0,,,WNW,19,11:58,18.2,71,,WNW,7,1019.5,26.4,36,,NW,7,1013.7
,2026-04-17,9.7,28.6,0,,,SSE,48,16:49,16.1,73,,WSW,4,1014.0,27.8,30,1,NNE,9,1009.5
,2026-04-18,9.2,21.0,0,,,SE,37,15:20,15.4,51,,SW,15,1019.8,19.8,43,,SE,19,1017.8
,2026-04-19,8.4,21.9,0,,,SE,35,16:56,12.5,73,,W,9,1022.7,21.2,39,,E,17,1020.2
,2026-04-20,9.1,23.2,0,,,SE,37,12:21,16.5,65,,SW,11,1025.4,22.0,46,,S,26,1023.7
,2026-04-21,14.6,21.0,0,,,SE,37,14:48,17.9,66,8,SW,15,1028.2,20.5,59,8,SSE,26,1026.1
,2026-04-22,13.4,23.0,1.2,,,SE,35,13:16,15.5,83,,WSW,9,1027.5,21.6,53,7,SE,20,1026.1
,2026-04-23,10.8,22.9,0,,,SE,31,11:38,17.6,72,8,WSW,7,1029.8,21.9,46,,SSE,15,1028.9
,2026-04-24,11.0,23.7,0,,,ESE,28,13:46,18.1,64,,WSW,4,1033.1,22.8,55,,ESE,17,1030.8
,2026-04-25,12.2,26.1,0,,,ENE,30,15:51,12.7,95,, ,Calm,1031.5,24.6,50,,N,11,1028.5
,2026-04-26,9.9,25.1,0,,,NNE,30,11:52,13.9,96,,N,6,1027.0,24.7,36,,WNW,9,1022.3
,2026-04-27,8.9,25.6,0,,,ENE,26,16:28,16.2,71,,W,9,1025.4,24.7,44,0,NE,11,1023.3
,2026-04-28,10.9,25.1,0,,,NE,30,16:43,17.4,73,,WSW,9,1028.3,24.2,43,,SW,7,1024.7
,2026-04-29,10.3,25.5,0,,,E,28,14:34,17.5,69,,W,9,1029.5,23.7,50,8,E,17,1027.6
,2026-04-30,13.8,25.8,2.8,,,ENE,33,16:03,19.6,77,,WSW,11,1031.6,24.7,51,2,NE,15,1028.1
