"Daily Weather Observations for Bathurst, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2012.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Ag Station Comparison {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,5.0,16.8,0,17.4,,WNW,52,13:31,14.6,44,7,WNW,28,1007.1,15.0,38,7,NW,30,1003.9
,2025-12-2,2.4,18.4,3.2,,,WSW,48,14:03,10.8,62,3,SW,17,1010.3,,,,SW,24,1011.9
,2025-12-3,3.5,24.6,0,4.0,,SW,35,14:17,12.5,55,1,WSW,6,1018.5,24.0,20,1,SW,19,1016.3
,2025-12-4,5.8,,0,7.8,,NW,39,11:50,18.8,46,1, ,Calm,1019.4,,,,NW,17,1014.5
,2025-12-5,,,,,,NNW,48,14:12,,,,N,17,1016.3,,,,WSW,17,1011.9
,2025-12-6,,,,,,WNW,83,16:32,,,,N,20,1010.3,,,,NNW,39,1004.8
,2025-12-7,,25.5,0.4,24.4,,ENE,37,19:22,17.0,71,0,WSW,17,1009.9,,,,WSW,20,1009.4
,2025-12-8,9.8,,0,,,W,37,12:14,18.3,72,5,N,17,1013.1,29.0,28,4,WSW,19,1009.7
,2025-12-9,,,0,,,WSW,39,14:42,,,, ,Calm,1014.2,,,,W,24,1012.9
,2025-12-10,,32.3,0,17.8,,ENE,41,01:26,22.7,53,4,NE,9,1018.4,30.5,27,7,SSE,19,1014.1
,2025-12-11,13.9,22.3,4.0,9.8,,ENE,43,12:35,20.5,70,7,ENE,17,1017.9,,,,E,22,1017.1
,2025-12-12,13.0,,10.2,2.6,,,,,18.2,73,7,ENE,17,1015.9,21.5,62,6,E,17,1013.0
,2025-12-13,,,,,,SSW,54,14:32,,,, ,Calm,1011.9,,,,ENE,4,1007.0
,2025-12-14,,,,,,WSW,46,15:15,,,,WSW,17,1007.5,,,,WSW,28,1005.7
,2025-12-15,,26.2,28.2,16.4,,ENE,37,22:34,19.0,52,0, ,Calm,1011.9,25.5,23,0,SW,13,1010.9
,2025-12-16,12.5,26.0,0,7.0,,ENE,43,21:52,19.5,60,4,ENE,19,1018.5,,,,N,11,1017.1
,2025-12-17,11.2,31.8,0,4.0,,ENE,33,23:14,18.5,68,0,N,7,1022.7,,,,SW,9,1018.5
,2025-12-18,15.2,,0,7.4,,WNW,39,10:42,25.4,57,0,N,4,1018.9,,,,WSW,15,1014.5
,2025-12-19,,,,,,WSW,57,15:00,,,,NNW,15,1014.2,,,,NW,13,1009.9
,2025-12-20,,,,,,W,31,03:48,,,,S,13,1010.9,,,,NW,17,1007.5
,2025-12-21,,,,,,W,61,17:57,,,, ,Calm,1007.0,,,,NW,30,1003.2
,2025-12-22,,,,,,SW,43,03:50,,,, ,Calm,1006.6,,,,W,22,1006.7
,2025-12-23,,,,,,WSW,41,09:56,,,,WSW,4,1009.5,,,,SW,19,1009.6
,2025-12-24,,,,,,WSW,39,14:50,,,,WNW,4,1012.1,,,,WSW,24,1009.2
,2025-12-25,,,,,,WSW,41,14:16,,,,W,7,1010.4,,,,WSW,26,1007.6
,2025-12-26,,,,,,SE,44,15:20,,,,ENE,7,1011.0,,,,S,22,1009.0
,2025-12-27,,,,,,SSE,30,11:56,,,,W,4,1014.8,,,,S,9,1011.2
,2025-12-28,,,,,,SE,39,13:24,,,,ESE,15,1017.1,,,,SE,22,1016.0
,2025-12-29,,,,,,WSW,30,12:18,,,,SSW,7,1018.3,,,,SE,9,1014.4
,2025-12-30,,,,,,SW,35,12:25,,,,SSW,4,1013.5,,,,SSW,19,1008.3
,2025-12-31,,,,,,SSE,54,19:27,,,, ,Calm,1008.2,,,,ESE,6,1005.8
