"Daily Weather Observations for Bellambi, New South Wales for May 2026"
"Prepared at 00:36 UTC on Monday 11 May 2026   IDCJDW2014.202605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-05-1,16.4,23.2,0,,,NNE,30,23:44,19.6,76,,WNW,4,,22.2,72,,NE,19,
,2026-05-2,17.2,24.3,0,,,NNW,44,09:32,21.9,70,,NNW,24,,22.5,75,,NNE,30,
,2026-05-3,19.4,23.7,0,,,NNE,44,14:42,21.4,68,,N,26,,22.0,75,,NNE,37,
,2026-05-4,18.2,20.4,0,,,N,46,12:57,19.4,84,,NW,11,,19.7,80,,N,24,
,2026-05-5,13.4,22.0,2.8,,,SW,48,08:44,17.7,54,,SW,24,,21.1,53,,ENE,9,
,2026-05-6,12.9,21.0,0,,,W,39,23:29,18.9,61,,S,4,,20.7,62,,N,9,
,2026-05-7,12.9,17.5,0,,,WSW,72,09:39,17.0,51,,WSW,11,,15.4,32,,WSW,33,
,2026-05-8,10.6,20.4,0,,,WSW,57,01:31,15.3,50,,WSW,17,,19.8,40,,WSW,24,
,2026-05-9,13.0,19.9,0,,,SSE,31,11:59,18.0,50,,SW,20,,18.9,57,,SSE,24,
,2026-05-10,12.5,22.2,0,,,SSE,41,14:52,18.4,65,,WSW,6,,20.0,74,,SSE,33,
,2026-05-11,16.2,,0,,,,,,19.0,76,,S,20,,,,,,,
