"Daily Weather Observations for Camden, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2024.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,2.0,20.7,0,,,ENE,26,16:12,11.7,66,,SSW,6,1024.7,20.2,31,,ESE,9,1020.3
,2025-09-2,6.9,21.3,0,,,NNE,28,15:09,14.8,77,,WSW,6,1024.8,20.4,40,,NNE,13,1019.5
,2025-09-3,4.0,22.4,0,,,NNW,30,14:02,12.8,64,,NNW,7,1022.4,21.9,31,,NNW,17,1017.6
,2025-09-4,5.1,24.4,0,,,WSW,43,14:48,9.5,90,7,ESE,9,1019.6,23.6,21,,W,24,1015.5
,2025-09-5,4.1,19.9,0,,,ESE,28,15:38,14.4,63,,S,7,1027.6,16.7,50,5,ESE,17,1027.0
,2025-09-6,6.6,21.4,0,,,NNE,31,10:23,14.7,62,,ESE,7,1032.1,20.8,40,,NE,15,1026.7
,2025-09-7,5.4,26.0,0,,,N,30,14:38,13.9,81,,NNW,2,1025.9,25.8,33,,NNE,19,1019.6
,2025-09-8,8.5,28.6,0,,,NW,46,12:57,19.0,58,5,N,4,1018.1,28.3,33,,NW,24,1012.5
,2025-09-9,11.2,27.3,0.2,,,WSW,35,03:10,19.1,67,8,NNE,11,1015.4,26.7,32,,WNW,19,1010.6
,2025-09-10,13.5,15.6,11.6,,,SW,39,15:03,14.4,99,8,SSE,6,1009.9,13.7,99,8,SW,24,1005.3
,2025-09-11,9.8,18.4,77.8,,,S,48,12:35,12.9,73,,SW,20,1009.6,17.7,42,,S,22,1013.7
,2025-09-12,5.6,21.2,0,,,WNW,31,11:16,13.5,74,,S,6,1023.6,20.7,37,1,NNW,11,1020.4
,2025-09-13,4.9,22.0,0,,,NNW,22,11:51,14.4,69,,SSE,7,1027.0,21.3,38,,NNW,7,1023.4
,2025-09-14,5.2,23.8,0,,,N,24,14:24,14.7,75,,N,6,1025.4,23.1,33,,NNE,13,1019.4
,2025-09-15,4.7,27.1,0,,,NW,31,15:14,16.3,63,,N,6,1021.0,26.9,23,,NW,20,1015.6
,2025-09-16,10.1,28.4,0,,,NNW,39,14:02,20.9,52,,N,11,1015.5,27.6,30,1,NW,28,1010.1
,2025-09-17,14.0,24.5,0.8,,,WSW,35,09:14,18.3,50,,WSW,22,1016.3,23.6,24,2,SW,20,1013.6
,2025-09-18,4.9,21.6,0,,,N,24,15:19,15.3,51,,NW,6,1025.3,21.0,36,,NNE,11,1020.9
,2025-09-19,4.7,24.0,0,,,NNW,26,10:40,15.1,70,,NNW,6,1020.5,23.0,39,5,N,9,1014.1
,2025-09-20,12.3,21.7,0,,,WSW,63,10:53,20.2,37,,WNW,28,1007.6,20.2,27,,WSW,26,1008.9
,2025-09-21,5.1,22.5,0,,,WNW,33,14:07,16.3,42,,WSW,20,1017.1,21.6,35,,NW,20,1013.2
,2025-09-22,6.6,21.4,0,,,SSW,43,19:40,18.7,44,2,WSW,22,1018.3,19.9,32,8,SSW,11,1017.1
,2025-09-23,3.5,19.5,0,,,SSW,37,10:38,13.6,42,,SW,17,1026.8,18.8,33,,SSE,11,1022.9
,2025-09-24,2.6,25.1,0,,,WSW,54,11:52,16.4,52,,NNW,13,1018.6,24.0,23,,SW,24,1014.8
,2025-09-25,4.6,25.4,0,,,WNW,56,13:51,16.1,60,,N,11,1016.6,25.1,21,,WSW,24,1012.2
,2025-09-26,7.1,29.1,0,,,WSW,52,12:22,15.3,65,, ,Calm,1014.0,27.2,21,,W,24,1010.0
,2025-09-27,8.1,29.7,0,,,NW,33,16:06,17.1,59,,SW,4,1014.6,28.1,29,7,NNE,15,1010.0
,2025-09-28,7.3,25.9,0,,,ESE,28,16:07,20.8,57,,SW,4,1014.0,22.5,56,8,E,17,1012.3
,2025-09-29,14.7,23.4,1.2,,,SE,31,15:54,18.7,66,1,SW,11,1019.8,22.6,52,,S,17,1014.9
,2025-09-30,11.3,28.4,0,,,N,37,12:15,16.8,98,,SW,6,1013.9,27.8,39,,N,19,1006.1
