"Daily Weather Observations for Camden, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2024.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,13.4,25.6,0,,,W,52,09:53,22.0,25,,WSW,20,1007.7,24.6,20,,NW,28,1006.3
,2025-10-2,5.0,24.8,0,,,SW,67,14:55,17.3,54,,NW,7,1008.0,18.1,40,7,SW,39,1009.0
,2025-10-3,11.3,24.6,0,,,WSW,48,10:54,17.3,37,,SW,26,1017.2,23.2,27,,SW,30,1014.5
,2025-10-4,7.4,25.6,0,,,NE,31,15:47,18.5,52,,NW,6,1024.9,24.7,35,,NE,9,1021.2
,2025-10-5,11.8,30.6,0,,,W,26,15:52,17.1,74,,N,9,1020.9,29.1,27,,NNE,11,1014.7
,2025-10-6,9.9,30.7,0,,,WSW,39,10:11,16.3,77,,SE,7,1011.2,30.3,27,8,WSW,13,1009.2
,2025-10-7,14.5,24.1,0,,,,,,16.9,59,8, ,Calm,1017.6,21.4,66,7,NNE,13,1013.0
,2025-10-8,9.4,31.3,0,,,NW,80,22:29,17.5,60,,SSE,4,1013.3,30.2,31,,NNE,13,1006.9
,2025-10-9,16.1,28.1,0.6,,,WNW,52,12:05,23.6,50,8,NNE,4,1010.3,27.3,39,8,NW,26,1009.2
,2025-10-10,11.6,30.1,0,,,NW,43,10:53,20.1,71,,NE,9,1014.2,29.2,21,,WNW,13,1010.7
,2025-10-11,7.2,30.0,0,,,SW,48,11:38,17.5,59,,N,6,1012.2,29.3,18,,WSW,26,1009.8
,2025-10-12,6.0,29.7,0,,,WNW,70,13:29,16.6,59,,SSE,7,1012.0,18.6,54,8,W,35,1013.0
,2025-10-13,6.8,23.6,2.2,,,SW,35,08:58,18.2,49,,W,13,1016.2,20.4,47,1,SE,19,1016.9
,2025-10-14,7.9,27.1,0,,,SW,33,12:04,16.1,70,,NNW,9,1019.7,26.7,22,,SW,19,1015.5
,2025-10-15,8.5,28.7,0,,,ENE,30,17:29,17.7,62,,W,2,1022.8,27.8,29,,NNE,4,1018.1
,2025-10-16,10.2,32.8,0,,,NE,33,16:37,17.5,89,8,ESE,2,1020.9,31.7,24,,ENE,11,1014.3
,2025-10-17,13.5,34.5,0,,,WSW,72,15:13,17.7,88,8,SSE,7,1012.8,32.8,26,8,NW,28,1008.0
,2025-10-18,13.1,25.1,1.2,,,NE,30,14:36,17.9,68,3,SW,4,1016.1,23.8,48,,E,19,1013.6
,2025-10-19,12.4,28.7,0,,,N,37,08:51,19.2,62,,N,15,1017.9,27.6,34,,NNE,17,1011.7
,2025-10-20,12.3,36.3,0,,,WNW,39,16:05,20.4,73,,N,6,1011.6,35.0,26,,NNE,15,1006.0
,2025-10-21,16.2,26.9,0,,,ESE,33,14:15,19.7,64,4,ESE,7,1016.1,23.3,46,7,ENE,17,1012.4
,2025-10-22,14.7,35.9,0,,,NW,74,14:04,19.7,78,8,NNW,6,1003.9,34.6,24,7,WNW,46,997.0
,2025-10-23,13.2,24.3,0,,,WSW,44,01:05,19.4,42,,SSE,11,1014.4,22.0,48,5,E,17,1013.9
,2025-10-24,13.2,25.9,0,,,SE,43,14:15,19.8,56,,SW,9,1013.7,22.1,49,1,SE,20,1012.4
,2025-10-25,13.0,26.7,0,,,NNW,30,14:25,16.6,71,4,NW,6,1017.2,26.7,34,8,N,15,1012.2
,2025-10-26,13.4,26.3,0,,,NW,56,15:59,19.7,56,8,NW,7,1007.2,23.6,41,8,NW,19,1001.9
,2025-10-27,12.6,26.9,0,,,W,50,10:11,21.4,45,,WSW,28,1002.3,19.1,56,1,SSE,28,1005.1
,2025-10-28,10.8,15.6,0,,,SSW,28,00:12,12.6,60,8,W,6,1021.7,14.3,55,8,SSE,9,1020.0
,2025-10-29,10.8,17.8,0.4,,,ENE,24,12:31,13.8,89,8,SW,9,1019.0,15.3,91,8,E,11,1016.7
,2025-10-30,11.5,25.2,10.6,,,E,26,13:47,17.7,71,,S,13,1017.4,22.4,58,8,ESE,17,1014.6
,2025-10-31,12.2,29.2,0.4,,,ENE,37,13:59,18.6,80,1,NW,2,1019.4,26.6,46,4,ENE,22,1015.3
