"Daily Weather Observations for Camden, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2024.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,6.9,24.2,0,,,WSW,65,17:11,19.9,35,,N,13,1006.3,23.3,24,8,W,28,1002.7
,2025-12-2,10.1,24.4,0,,,SW,41,07:40,17.3,36,,SW,26,1011.0,21.3,36,8,E,19,1011.6
,2025-12-3,8.7,30.4,0,,,N,31,14:24,18.8,55,,N,9,1019.9,29.0,22,,NNE,17,1015.3
,2025-12-4,11.4,35.9,0,,,NE,43,15:45,23.2,45,, ,Calm,1018.6,33.6,15,,N,11,1012.3
,2025-12-5,11.4,39.0,0,,,NE,41,16:44,24.7,35,,SSE,6,1014.1,37.8,9,,NE,9,1009.1
,2025-12-6,13.9,41.2,0,,,WSW,50,17:08,24.8,43,8,ENE,6,1007.8,39.4,10,6,N,31,1001.0
,2025-12-7,23.3,25.2,0,,,SW,46,09:04,23.5,38,7,SSW,17,1009.1,22.8,48,4,E,15,1010.8
,2025-12-8,15.7,30.5,0,,,NNE,35,10:55,19.6,71,8,NW,11,1015.2,29.7,36,,NNE,19,1009.6
,2025-12-9,14.0,37.5,0,,,SSE,39,18:21,25.0,55,,E,4,1013.2,37.1,11,,N,9,1010.0
,2025-12-10,18.6,29.7,0,,,E,30,10:11,20.5,61,8,S,6,1021.2,28.7,43,3,E,15,1016.1
,2025-12-11,17.8,24.9,0.2,,,SSE,41,12:43,21.4,62,7,SSE,17,1020.6,22.6,57,8,SE,20,1020.3
,2025-12-12,17.5,25.3,7.0,,,N,33,08:31,18.7,99,8,W,11,1018.2,23.8,58,8,SE,15,1016.1
,2025-12-13,16.1,29.6,8.4,,,WSW,37,15:24,20.5,78,1,NNW,7,1012.5,28.0,40,8,ENE,9,1007.0
,2025-12-14,17.8,33.7,13.8,,,WSW,48,13:38,22.3,76,,NNW,7,1005.9,33.0,29,,W,31,1001.8
,2025-12-15,16.5,26.4,0,,,SE,35,15:21,20.8,64,8,E,7,1013.9,23.6,51,8,ESE,19,1013.1
,2025-12-16,15.5,21.6,0.2,,,NE,24,17:18,18.3,74,7,NNW,4,1022.0,20.8,58,8,NE,13,1022.1
,2025-12-17,14.6,30.7,0,,,,,,21.4,67,1,N,9,1024.1,28.7,42,,N,11,1018.9
,2025-12-18,15.7,38.6,,,,NE,33,18:08,22.8,71,,NNE,6,1017.9,37.1,28,,NNE,19,1010.8
,2025-12-19,17.4,41.1,0,,,WSW,54,16:28,30.6,42,,E,6,1010.2,39.9,18,1,NNE,13,1005.5
,2025-12-20,20.6,34.1,4.2,,,NNE,33,13:39,22.1,88,7,N,7,1009.7,32.3,44,3,N,20,1005.3
,2025-12-21,21.9,37.0,0.2,,,WNW,43,19:15,25.9,71,7,N,9,1005.5,35.3,34,8,S,6,1000.1
,2025-12-22,22.1,32.3,3.2,,,WSW,46,03:38,24.3,43,8,WNW,9,1006.1,31.9,31,,N,17,1004.2
,2025-12-23,17.7,32.6,0,,,SSE,48,15:57,23.3,69,,NNW,7,1008.4,31.4,19,,SSW,22,1007.4
,2025-12-24,14.3,35.0,0,,,SW,52,16:23,22.8,58,,N,11,1011.6,33.4,11,,SW,19,1005.8
,2025-12-25,16.8,25.1,0,,,E,35,13:25,21.5,64,8,SE,11,1011.4,20.5,54,8,ESE,17,1010.1
,2025-12-26,12.8,19.9,0.4,,,SSE,30,13:52,13.1,73,7,S,15,1015.7,16.4,54,7,SSE,20,1015.9
,2025-12-27,11.3,24.7,0,,,ENE,33,13:37,17.8,51,,SE,13,1017.8,22.4,41,8,E,15,1014.6
,2025-12-28,12.2,24.1,0,,,SE,37,11:08,18.4,46,7,S,19,1020.3,21.6,39,7,S,17,1020.1
,2025-12-29,9.7,26.7,0,,,SE,31,15:28,18.6,61,4,S,9,1021.4,25.6,35,,NE,11,1017.3
,2025-12-30,11.0,30.0,0,,,E,33,14:38,18.8,59,,ENE,7,1015.6,29.1,31,,NE,20,1009.4
,2025-12-31,12.6,26.1,0,,,ESE,37,18:22,19.4,67,,SSW,9,1011.0,23.8,47,8,ENE,9,1009.4
