"Daily Weather Observations for Camden, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2024.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Camden Airport AWS {station 068192}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,21.8,31.0,2.8,,,SSE,33,14:42,24.4,92,8,N,6,1004.0,28.5,62,,SE,20,1004.2
,2026-02-2,15.5,23.2,16.2,,,SSE,46,03:51,15.9,43,8,SSW,20,1020.9,21.0,38,3,SSE,24,1022.2
,2026-02-3,13.8,25.2,0,,,NNE,26,15:44,17.9,73,7,S,13,1025.3,24.8,45,8,N,9,1022.8
,2026-02-4,15.6,31.2,0,,,NE,31,16:29,21.1,69,,N,4,1020.8,29.6,37,,N,19,1015.7
,2026-02-5,16.4,38.1,0,,,SSW,44,15:29,23.0,73,,N,2,1016.3,37.0,21,,N,11,1012.7
,2026-02-6,18.0,32.4,1.0,,,WNW,39,12:45,22.0,77,7,SE,7,1020.1,29.5,48,8,NNE,11,1015.1
,2026-02-7,18.7,36.0,0,,,,,,23.2,83,8,S,9,1018.2,34.6,33,5,N,15,1013.5
,2026-02-8,20.2,22.7,1.8,,,SSW,22,01:01,20.3,93,8,SW,11,1017.8,21.9,93,8,WNW,9,1015.7
,2026-02-9,19.6,29.6,13.8,,,S,31,16:20,19.8,99,7,WSW,6,1012.5,26.7,67,,NNE,9,1010.6
,2026-02-10,17.6,31.4,5.0,,,,,,21.9,90,, ,Calm,1016.6,29.9,45,,NNW,13,1013.2
,2026-02-11,19.1,36.0,0.2,,,,,,22.2,87,8,NNW,9,1012.7,34.1,42,,N,15,1005.6
,2026-02-12,21.2,26.8,0,,,,,,24.3,75,8,ESE,9,1002.3,,,,,,1006.1
,2026-02-13,15.9,22.6,0.2,,,,,,18.5,68,8,SSW,13,1016.8,21.1,54,8,ESE,9,1016.7
,2026-02-14,16.5,23.3,5.4,,,E,26,17:50,17.1,100,8,SSW,7,1021.7,23.1,55,8,E,11,1020.0
,2026-02-15,16.4,23.4,0,,,S,31,16:55,18.2,84,8,SSW,9,1020.1,20.9,74,8,NNW,15,1017.7
,2026-02-16,15.5,27.2,1.8,,,ESE,30,17:40,19.2,88,1,S,6,1017.9,24.4,49,8,ESE,15,1014.8
,2026-02-17,15.0,30.5,0,,,,,,20.4,79,,SE,6,1013.8,28.7,41,,NE,13,1007.9
,2026-02-18,16.3,35.5,0,,,WNW,41,10:07,23.1,74,,ESE,2,1006.4,31.2,48,8,SE,24,1004.5
,2026-02-19,19.9,31.2,0,,,ENE,33,15:56,21.8,81,8,SW,4,1014.6,30.6,49,,NNE,9,1012.6
,2026-02-20,21.6,28.5,0,,,NE,30,19:06,23.7,69,8,NNE,17,1017.9,27.2,62,8,N,17,1014.4
,2026-02-21,21.2,33.6,0,,,SSE,44,14:11,26.0,78,7,W,4,1011.3,28.6,67,8,SE,11,1008.6
,2026-02-22,19.7,34.0,1.6,,,NNE,22,10:55,23.6,87,5,NW,6,1010.9,32.9,45,8,SW,11,1005.9
,2026-02-23,21.8,,0.2,,,,,,25.3,72,6, ,Calm,1010.5,27.9,64,8,E,11,1012.4
,2026-02-24,19.4,32.8,0,,,,,,23.1,85,8,SSE,7,1017.8,31.4,47,1,NNE,15,1014.1
,2026-02-25,18.3,30.5,0,,,SSE,35,14:59,22.6,86,,S,7,1014.4,29.3,57,4,SE,17,1013.1
,2026-02-26,19.2,23.0,2.6,,,SSE,31,10:16,19.8,97,8,NW,6,1018.5,21.9,98,8,SSW,6,1017.0
,2026-02-27,18.6,24.3,31.0,,,ESE,31,11:41,20.7,95,8,SW,9,1018.5,22.3,74,8,SSE,13,1018.1
,2026-02-28,19.1,25.3,2.2,,,E,26,16:52,20.3,97,8,SSW,6,1019.6,23.1,70,8,E,11,1017.5
