"Daily Weather Observations for Cessnock, New South Wales for March 2025"
"Prepared at 13:00 UTC on Monday 13 April 2026   IDCJDW2027.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,19.0,33.4,0,,,NE,30,13:59,25.2,68,,S,11,1015.9,32.4,49,,NE,22,1012.0
,2025-03-2,16.6,34.3,0,,,SSE,35,17:35,23.8,78,,SE,6,1012.9,31.1,51,,SE,15,1010.1
,2025-03-3,21.3,28.5,0,,,SSW,35,17:15,22.6,74,,SSW,13,1017.2,26.8,61,,SSE,17,1015.3
,2025-03-4,19.4,27.2,1.2,,,SSE,50,14:38,23.5,79,,SE,19,1019.2,26.6,54,,SSE,28,1018.8
,2025-03-5,19.9,27.2,2.4,,,SE,43,14:48,24.2,72,,SSE,19,1019.8,26.0,57,,SSE,19,1017.5
,2025-03-6,19.3,25.1,6.4,,,SSE,43,12:13,23.5,79,,SE,19,1018.4,23.7,76,,ESE,19,1017.7
,2025-03-7,18.2,24.6,1.0,,,SE,43,09:03,22.1,83,,SE,9,1019.2,23.7,70,,SE,22,1018.4
,2025-03-8,19.1,26.3,18.2,,,ESE,43,10:52,20.7,95,,SE,13,1021.2,23.4,84,,ESE,17,1020.4
,2025-03-9,19.5,27.2,6.0,,,ESE,33,12:45,24.2,74,,E,15,1022.3,26.1,69,,ESE,19,1019.5
,2025-03-10,19.9,23.6,0.4,,,ESE,24,05:33,21.4,83,,E,11,1020.4,23.2,78,,ESE,13,1018.1
,2025-03-11,20.0,23.6,1.6,,,ESE,31,15:45,21.5,91,,E,11,1019.8,22.8,80,,SE,15,1018.8
,2025-03-12,19.9,26.7,0,,,E,24,12:29,21.7,84,,SE,4,1022.0,25.1,71,,ENE,13,1019.2
,2025-03-13,15.9,30.7,0,,,NNE,20,11:31,19.7,98,, ,Calm,1020.1,28.5,59,,ENE,9,1017.1
,2025-03-14,15.5,34.4,0,,,NE,24,15:54,20.2,98,,SE,6,1020.2,33.1,39,,E,9,1016.9
,2025-03-15,16.5,36.3,0,,,NNW,30,11:10,21.4,96,,N,7,1020.7,35.7,31,,NNW,17,1015.4
,2025-03-16,16.9,36.1,0,,,NW,44,09:29,27.2,49,,NW,17,1013.8,35.4,28,,NW,20,1008.3
,2025-03-17,18.9,23.1,0,,,SE,41,14:04,19.0,65,,SSE,17,1017.3,22.1,39,,SE,26,1019.1
,2025-03-18,12.4,24.4,0,,,E,30,11:17,19.1,68,,SSE,7,1023.6,22.4,59,,ESE,19,1021.6
,2025-03-19,15.1,29.8,0,,,NNE,24,13:00,20.3,75,,E,6,1022.8,28.8,48,,NE,11,1019.1
,2025-03-20,14.9,32.7,0,,,ENE,28,16:59,19.6,87,, ,Calm,1020.4,32.1,44,,NE,9,1016.0
,2025-03-21,14.8,25.5,0,,,NNW,31,13:32,20.8,95,,SSE,2,1014.7,21.0,95,,NNW,17,1013.6
,2025-03-22,17.0,28.0,11.0,,,ESE,26,16:04,21.5,90,, ,Calm,1016.6,27.1,60,,SSW,13,1014.9
,2025-03-23,19.2,23.7,7.4,,,SE,24,12:28,20.1,97,, ,Calm,1020.4,21.6,86,,SE,17,1018.8
,2025-03-24,20.0,25.6,2.8,,,,,,21.3,95,,S,2,1019.7,23.4,85,,ESE,17,1017.9
,2025-03-25,,,,,,,,,,,,,,,,,,,,
,2025-03-26,,,,,,,,,,,,,,,25.3,60,,ESE,15,1020.0
,2025-03-27,17.3,26.4,9.8,,,ESE,33,13:44,21.4,89,,SSE,7,1022.3,25.6,55,,E,20,1020.9
,2025-03-28,15.8,25.0,0,,,E,37,11:02,22.4,74,,SE,9,1021.5,23.8,63,,E,17,1018.7
,2025-03-29,18.4,22.7,48.0,,,WSW,20,20:29,19.2,97,,W,7,1011.4,20.2,96,,SSE,7,1006.2
,2025-03-30,19.2,26.3,17.6,,,SW,37,12:53,22.5,67,,SW,17,1007.5,25.1,61,,SW,20,1006.4
,2025-03-31,18.9,,0,,,,,,20.3,72,,SW,15,1011.0,22.8,60,,SSW,11,1010.3
