"Daily Weather Observations for Cessnock, New South Wales for July 2025"
"Prepared at 13:00 UTC on Sunday 10 May 2026   IDCJDW2027.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,7.1,13.8,11.8,,,WNW,67,18:35,12.4,82,,SW,20,1011.5,10.5,85,,WSW,33,1004.2
,2025-07-2,8.8,17.1,18.4,,,,,,13.7,81,,WSW,24,998.9,16.8,60,,WSW,19,1001.8
,2025-07-3,12.7,17.5,1.4,,,WNW,37,01:27,13.5,67,,NW,15,1010.5,16.5,53,,WSW,9,1010.2
,2025-07-4,6.7,18.1,0,,,NW,35,00:35,10.1,78,,NNW,17,1021.0,17.3,54,,NNE,13,1019.3
,2025-07-5,1.8,15.8,0,,,NNE,11,09:49,7.8,98,,NNE,6,1025.3,15.6,61,, ,Calm,1021.8
,2025-07-6,6.5,21.7,0,,,,,,11.3,96,, ,Calm,1020.1,21.0,54,,NNW,17,1014.1
,2025-07-7,5.4,18.6,0,,,WNW,33,13:46,11.5,70,,NW,20,1017.4,16.8,46,,WNW,13,1014.0
,2025-07-8,7.5,16.3,0,,,,,,10.2,75,,NNW,20,1015.2,15.8,60,,NNW,11,1009.5
,2025-07-9,5.8,20.5,0,,,WNW,35,12:41,14.2,56,,NNW,15,1010.8,20.5,41,,NNW,11,1006.8
,2025-07-10,3.6,16.2,0,,,WNW,65,09:48,14.2,48,,NW,28,1007.7,14.5,38,,WNW,35,1007.0
,2025-07-11,7.2,18.3,0,,,NW,44,08:55,10.6,62,,NW,28,1019.8,17.5,42,,WNW,22,1017.8
,2025-07-12,7.7,18.9,0,,,NNW,31,06:19,11.8,73,,NW,20,1024.6,18.3,49,,NW,13,1022.4
,2025-07-13,0.8,18.3,0,,,NNW,39,10:55,9.1,75,,NNW,20,1022.6,17.1,42,,NW,19,1016.2
,2025-07-14,9.1,19.4,0,,,NNW,41,04:30,13.2,53,,NW,24,1013.9,18.8,39,,NNW,11,1011.9
,2025-07-15,2.3,14.8,0,,,NW,37,13:29,8.6,74,,ENE,7,1013.2,14.4,62,,NW,22,1010.4
,2025-07-16,1.3,15.9,0.2,,,NNW,30,11:41,9.2,77,,NW,19,1019.1,15.5,44,,NNW,17,1017.0
,2025-07-17,-2.3,16.6,0,,,NNW,22,14:50,5.9,94,, ,Calm,1019.4,15.9,45,,NNW,13,1015.4
,2025-07-18,3.5,16.9,0,,,SSW,35,14:17,12.0,71,,SSW,11,1018.3,14.5,64,,S,17,1016.9
,2025-07-19,4.4,17.7,0,,,SSW,20,01:14,11.3,77,,NNE,9,1019.2,17.1,47,,SSE,9,1016.6
,2025-07-20,-2.0,17.7,0,,,S,22,12:43,6.8,93,,NNE,9,1022.7,15.8,52,,SSE,7,1020.8
,2025-07-21,1.1,19.1,0,,,E,24,16:18,10.0,90,, ,Calm,1025.2,18.6,58,,ENE,13,1020.6
,2025-07-22,4.9,19.7,0,,,NE,17,12:24,10.7,98,, ,Calm,1019.9,19.0,60,,NNE,9,1014.5
,2025-07-23,6.8,19.6,1.6,,,,,,13.3,98,, ,Calm,1013.6,18.2,69,,N,11,1011.1
,2025-07-24,3.7,16.2,0,,,NW,31,13:56,8.6,72,,N,19,1021.8,15.5,44,,NW,17,1019.5
,2025-07-25,-2.1,17.3,0,,,ESE,24,12:41,6.4,94,, ,Calm,1024.2,16.0,47,,ENE,11,1019.5
,2025-07-26,6.3,17.3,2.8,,,NW,46,15:52,9.7,95,,WNW,9,1011.9,17.2,68,,NW,17,1006.9
,2025-07-27,8.8,17.0,0,,,NW,61,10:39,14.2,66,,NNW,22,1007.2,15.2,56,,NW,33,1004.9
,2025-07-28,9.4,15.8,0,,,NNW,54,10:29,13.3,63,,NW,24,1009.7,14.7,57,,WNW,30,1009.8
,2025-07-29,8.2,17.4,0,,,WNW,44,09:20,12.6,58,,NW,24,1016.4,15.3,49,,WNW,20,1012.8
,2025-07-30,7.7,12.4,0.8,,,SW,24,15:20,9.2,92,, ,Calm,1013.5,12.4,74,,SSW,11,1011.5
,2025-07-31,9.1,15.4,2.0,,,SSE,37,13:36,11.9,79,,SSW,13,1018.7,14.1,62,,S,15,1019.1
