"Daily Weather Observations for Cessnock, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2027.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,15.8,24.0,20.8,,,E,39,03:49,19.0,86,,ESE,4,1015.6,21.5,74,,ESE,9,1013.4
,2025-11-2,15.9,25.1,3.4,,,S,20,08:48,19.9,83,,SW,9,1014.1,23.0,74,,SSW,9,1011.1
,2025-11-3,17.5,33.0,0,,,WSW,37,22:03,20.2,92,,NNW,9,1005.8,31.7,55,,ENE,11,1000.2
,2025-11-4,14.6,24.8,3.2,,,NW,61,14:08,18.9,60,,NW,24,1008.1,24.4,27,,NW,35,1005.8
,2025-11-5,6.0,27.9,0,,,NW,43,11:45,17.9,39,,NNW,20,1015.0,26.4,28,,WNW,17,1011.5
,2025-11-6,8.2,27.0,0,,,SE,33,16:06,18.9,69,,NNE,7,1018.5,25.9,48,,E,19,1014.3
,2025-11-7,14.3,32.1,0,,,NW,39,11:56,17.9,83,, ,Calm,1013.8,30.1,31,,NNW,15,1009.0
,2025-11-8,17.5,32.8,0,,,NW,65,14:06,22.8,69,,NE,7,1006.2,32.4,35,,NW,37,1000.7
,2025-11-9,16.3,25.5,0,,,ESE,39,14:38,20.1,34,,WSW,20,1009.6,22.6,48,,SE,24,1009.1
,2025-11-10,8.6,25.6,0,,,E,31,16:07,19.9,57,,E,9,1015.7,23.0,41,,SE,9,1012.0
,2025-11-11,7.9,29.5,0,,,WNW,50,13:19,19.6,61,,NNW,11,1012.8,28.1,17,,NW,24,1007.2
,2025-11-12,4.0,24.3,0,,,ESE,39,18:07,17.1,32,,S,9,1019.7,22.8,19,,E,9,1015.4
,2025-11-13,4.5,30.7,0,,,WNW,43,13:54,18.9,50,,NNW,13,1015.4,28.0,14,,NW,24,1008.5
,2025-11-14,11.7,27.0,0,,,ESE,39,15:18,20.7,39,,NE,7,1009.5,23.4,57,,ESE,19,1007.4
,2025-11-15,13.6,32.0,0,,,N,35,17:56,22.3,66,,N,6,1010.5,30.2,39,,ENE,15,1004.9
,2025-11-16,17.4,33.3,4.0,,,NW,52,13:44,22.6,76,,NNW,13,1004.1,32.2,20,,WNW,24,999.5
,2025-11-17,11.7,28.3,0,,,WNW,50,10:40,22.8,34,,W,17,1002.4,26.8,15,,WNW,24,1000.1
,2025-11-18,6.7,29.2,0,,,SE,30,09:01,20.1,39,,NNW,7,1010.6,27.9,27,,NE,11,1006.9
,2025-11-19,9.4,34.1,0,,,NNE,43,13:27,22.8,50,,NNE,6,1011.2,33.4,21,,NNE,13,1006.5
,2025-11-20,12.3,36.9,0,,,N,35,12:03,26.2,47,,ESE,6,1010.5,27.9,54,,E,19,1007.7
,2025-11-21,18.4,22.2,0.2,,,SSE,30,13:18,19.4,75,,S,11,1018.4,21.2,68,,SSE,17,1018.0
,2025-11-22,17.5,25.9,0.2,,,ESE,28,11:34,21.2,73,,SE,17,1017.9,24.8,63,,SSE,11,1014.3
,2025-11-23,18.5,35.0,1.6,,,WNW,46,14:04,21.1,90,,NW,13,1008.7,33.2,28,,WNW,19,1002.9
,2025-11-24,14.8,28.8,0,,,E,39,12:42,23.1,62,,SW,9,1007.2,26.4,53,,SE,20,1005.0
,2025-11-25,16.8,38.2,0,,,NW,80,14:43,23.6,64,,NW,15,1002.4,38.0,24,,NNW,24,995.5
,2025-11-26,22.6,36.3,0,,,WSW,80,12:39,29.5,39,,NNW,24,1001.1,23.3,80,,N,17,997.9
,2025-11-27,14.2,34.9,11.0,,,NW,54,12:53,27.2,49,,N,7,1002.0,33.9,14,,NW,20,999.8
,2025-11-28,12.6,34.2,0,,,NNW,35,10:56,22.8,63,,N,7,1009.1,32.8,18,,WNW,9,1003.6
,2025-11-29,16.3,33.5,0,,,NW,69,12:27,28.5,34,,NW,20,1000.9,31.6,35,,NNW,28,997.4
,2025-11-30,13.2,31.2,0,,,NW,52,15:20,22.2,60,,ENE,9,1006.7,30.0,17,,NW,31,1001.2
