"Daily Weather Observations for Cessnock, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2027.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,8.3,27.7,0,,,NW,50,15:23,20.2,31,,NW,17,1007.5,25.0,20,,NW,26,1002.6
,2025-12-2,9.7,25.3,0.8,,,WSW,41,23:21,17.7,43,,WSW,13,1010.8,24.0,25,,SSE,9,1010.6
,2025-12-3,6.5,29.8,0,,,,,,19.0,55,,N,6,1020.2,27.8,25,,NNW,15,1016.4
,2025-12-4,9.1,35.1,0,,,E,39,17:44,23.0,49,,NNW,11,1019.0,33.8,14,,NNE,22,1013.5
,2025-12-5,10.4,39.7,0,,,NW,44,09:08,28.9,29,,N,13,1014.8,36.7,13,,NW,19,1010.0
,2025-12-6,13.3,40.5,0,,,,,,31.2,26,,NW,28,1008.3,38.5,17,,N,31,1003.9
,2025-12-7,21.1,25.6,1.2,,,SE,37,12:46,25.0,59,,SE,6,1007.2,21.7,64,,SE,20,1010.9
,2025-12-8,17.1,32.3,0,,,ESE,33,15:27,22.0,68,,E,15,1014.9,30.4,36,,ESE,11,1009.4
,2025-12-9,15.0,38.0,0,,,E,35,14:49,25.5,59,,NNW,11,1013.3,37.3,19,,NNW,13,1009.7
,2025-12-10,20.8,30.1,0,,,SE,33,13:38,22.8,71,,S,11,1019.7,29.1,51,,ESE,20,1014.9
,2025-12-11,20.4,23.3,0.6,,,,,,20.6,80,,SSW,13,1019.4,22.1,66,,SSE,26,1018.4
,2025-12-12,18.0,24.5,1.6,,,N,31,10:52,21.8,80,,SSE,11,1016.9,21.1,81,,ESE,15,1014.8
,2025-12-13,13.5,31.0,11.6,,,WSW,35,20:32,20.0,80,,NNW,9,1012.8,30.1,39,,S,7,1007.2
,2025-12-14,18.9,34.4,4.8,,,WNW,41,16:05,22.7,84,,NW,15,1006.5,33.2,36,,WNW,17,1002.6
,2025-12-15,18.1,27.9,0,,,SSE,37,15:59,23.0,65,,SE,13,1013.0,26.7,52,,ESE,20,1011.4
,2025-12-16,17.1,23.3,2.4,,,ESE,37,13:59,17.4,95,,SE,11,1021.3,22.0,63,,SE,24,1020.5
,2025-12-17,17.0,29.8,0.6,,,SE,28,13:55,23.3,63,,ENE,13,1023.6,29.3,46,,SE,20,1019.2
,2025-12-18,13.3,38.1,0,,,ENE,30,16:53,23.4,65,,NNE,9,1018.2,37.3,26,,ENE,13,1012.1
,2025-12-19,18.5,41.3,0,,,SW,54,18:53,33.4,33,,NW,20,1010.9,38.7,22,,WNW,9,1006.2
,2025-12-20,21.2,32.3,0.4,,,ENE,24,11:57,28.2,56,,E,6,1009.2,30.3,45,,ESE,11,1006.2
,2025-12-21,18.6,42.9,0.2,,,N,63,14:05,31.8,47,,NNW,11,1005.5,40.8,18,,NNW,31,1000.2
,2025-12-22,26.7,33.5,0,,,NNW,54,12:05,28.4,59,,NW,22,1005.1,24.7,88,,SSE,17,1005.4
,2025-12-23,18.7,35.7,6.0,,,SSE,50,16:13,24.0,70,,N,11,1008.8,34.4,23,,SSW,15,1005.3
,2025-12-24,19.1,33.7,0,,,,,,22.5,70,,ENE,4,1011.9,31.6,34,,N,22,1006.3
,2025-12-25,18.0,28.7,0,,,SE,48,16:02,23.3,57,,SSW,11,1010.5,24.7,52,,ESE,26,1007.9
,2025-12-26,15.6,18.9,0,,,SSE,37,16:50,15.9,76,,SSE,11,1014.1,18.3,55,,SSE,17,1014.2
,2025-12-27,5.5,24.4,0,,,,,,18.1,53,,S,11,1017.1,21.9,45,,SE,22,1014.3
,2025-12-28,8.6,24.9,0,,,,,,19.3,53,,SSW,13,1018.9,20.8,55,,S,17,1019.5
,2025-12-29,7.5,26.2,0,,,SE,35,12:09,18.6,55,,SSE,11,1020.6,25.2,38,,E,20,1017.1
,2025-12-30,7.9,29.3,0,,,NE,31,14:02,19.6,56,,NW,7,1015.1,28.2,34,,ENE,17,1009.3
,2025-12-31,11.0,24.3,0,,,SSE,26,11:09,20.9,65,,SE,11,1009.6,22.5,56,,SE,17,1009.4
