"Daily Weather Observations for Cessnock, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2027.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,18.2,26.0,0.4,,,SE,30,12:56,21.4,84,,SSW,6,1016.3,24.5,72,,SE,13,1014.4
,2026-03-2,19.1,33.3,0,,,ENE,28,15:41,24.0,71,,E,6,1013.2,32.2,38,,SE,9,1009.2
,2026-03-3,19.7,29.2,0.4,,,NE,24,12:48,20.9,85,,SE,7,1012.5,28.1,60,,NW,6,1010.4
,2026-03-4,20.2,30.3,0.6,,,NW,31,12:55,23.9,80,,SSE,9,1013.1,28.3,57,,NW,20,1011.6
,2026-03-5,18.3,34.9,0,,,E,30,14:21,22.2,89,,N,7,1013.4,30.7,54,,ESE,15,1010.1
,2026-03-6,17.6,34.5,0,,,SE,35,13:30,25.0,77,,NE,6,1013.0,32.5,44,,ESE,20,1010.8
,2026-03-7,21.4,31.4,0,,,NNE,48,17:37,24.5,83,,ESE,2,1012.5,30.3,56,,SE,9,1009.2
,2026-03-8,20.6,26.2,20.0,,,SSE,41,17:52,21.3,78,,SSW,9,1012.3,25.6,64,,S,20,1011.1
,2026-03-9,19.3,25.1,40.6,,,SSE,31,14:15,19.7,96,,SSW,6,1011.8,23.1,82,,S,15,1010.1
,2026-03-10,18.8,28.2,5.0,,,ESE,28,16:29,22.4,85,,S,7,1012.7,26.7,64,,ESE,15,1011.1
,2026-03-11,15.6,34.0,0.2,,,N,30,12:25,19.7,97,,NNW,4,1012.0,32.0,38,,N,15,1005.9
,2026-03-12,16.1,31.1,0,,,SSE,39,14:30,22.2,87,, ,Calm,1006.4,26.9,63,,SSE,24,1006.3
,2026-03-13,18.6,24.2,0.2,,,SSE,39,14:21,20.5,79,,SSE,7,1017.2,22.0,64,,SSE,19,1019.7
,2026-03-14,12.3,25.7,0.4,,,ESE,31,15:23,16.7,82,,E,2,1028.2,24.4,52,,ESE,17,1025.5
,2026-03-15,10.8,28.8,0,,,NE,20,12:17,17.6,82,, ,Calm,1025.2,26.6,43,,SE,9,1020.7
,2026-03-16,12.4,30.6,0,,,ESE,26,16:02,18.9,83,,N,9,1020.2,30.2,35,,NNW,7,1015.7
,2026-03-17,16.8,32.8,0,,,WNW,35,10:55,22.1,83,, ,Calm,1016.3,32.3,38,,W,15,1015.1
,2026-03-18,21.6,28.0,0,,,ESE,31,15:20,24.5,72,,SSE,11,1020.6,27.1,59,,ESE,19,1018.0
,2026-03-19,19.8,24.7,0.4,,,E,19,16:18,20.7,96,, ,Calm,1017.8,23.0,81,, ,Calm,1015.8
,2026-03-20,16.0,27.9,3.6,,,SE,31,14:48,19.9,98,, ,Calm,1017.9,26.7,61,,SE,19,1016.5
,2026-03-21,14.1,27.9,0.2,,,S,30,15:25,20.3,95,, ,Calm,1019.8,25.8,65,,E,19,1017.4
,2026-03-22,16.6,27.7,0,,,SE,33,13:50,20.0,96,, ,Calm,1021.6,27.1,54,,SE,19,1019.2
,2026-03-23,17.3,26.9,4.8,,,E,35,13:46,20.9,92,,S,2,1020.8,22.2,80,,SE,15,1018.7
,2026-03-24,14.8,27.4,3.4,,,SSE,31,15:02,21.2,88,,SSE,7,1020.1,26.3,49,,SE,13,1016.4
,2026-03-25,14.6,28.8,0,,,NE,20,11:12,19.5,94,,N,7,1016.2,28.0,48,,NE,9,1012.7
,2026-03-26,13.7,33.1,0,,,N,63,15:22,20.6,86,,NNW,11,1011.7,32.6,32,,NW,17,1004.4
,2026-03-27,11.5,19.3,1.0,,,WNW,65,06:11,14.8,53,,WNW,26,1005.3,17.9,43,,WNW,35,1004.2
,2026-03-28,11.9,22.5,0,,,NW,35,23:19,16.6,57,,NW,15,1015.5,22.1,43,,SW,15,1015.1
,2026-03-29,7.9,24.9,0,,,SE,30,14:48,15.6,76,,NNE,7,1021.4,23.6,50,,SE,19,1019.6
,2026-03-30,9.7,25.3,0,,,SE,28,12:15,16.6,94,,N,6,1025.0,24.6,48,,E,13,1022.2
,2026-03-31,9.3,27.0,0,,,E,30,12:20,18.7,77,, ,Calm,1025.3,26.3,40,,E,13,1021.9
