"Daily Weather Observations for Cessnock, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2027.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,10.4,28.1,0,,,ESE,31,15:31,16.8,93,,NNE,4,1024.2,27.1,42,,ENE,9,1021.0
,2026-04-2,11.5,28.4,0,,,SE,31,14:56,19.6,86,,E,2,1023.8,27.1,46,,ENE,9,1020.5
,2026-04-3,11.3,28.1,0,,,SE,35,15:13,16.9,97,, ,Calm,1022.2,26.6,57,,SE,22,1020.6
,2026-04-4,16.8,21.6,14.0,,,SSE,35,11:57,20.3,86,,S,7,1024.7,19.8,80,,S,11,1023.7
,2026-04-5,15.9,22.9,8.2,,,SSE,30,14:16,19.5,73,,S,11,1026.0,21.5,50,,SE,20,1022.7
,2026-04-6,8.5,20.6,0,,,NNW,13,11:39,17.2,77,, ,Calm,1021.2,18.8,74,, ,Calm,1016.7
,2026-04-7,9.5,31.6,0.6,,,NNW,30,14:11,18.8,70,,NNW,11,1013.8,29.9,34,,NW,15,1009.1
,2026-04-8,12.3,30.4,0,,,SE,30,16:26,22.6,65,,NE,11,1015.9,29.6,29,,ESE,7,1012.9
,2026-04-9,11.4,31.1,0,,,N,19,12:49,21.1,72,,N,4,1018.5,30.9,37,,NNE,7,1013.6
,2026-04-10,13.4,30.4,0,,,E,24,15:18,20.9,87,, ,Calm,1013.5,28.9,44,,E,13,1009.5
,2026-04-11,15.7,28.8,0,,,NW,44,11:54,23.4,56,,WSW,17,1008.7,27.5,23,,SSW,7,1005.7
,2026-04-12,6.4,22.7,0,,,W,44,14:19,16.3,40,,NNW,20,1011.8,22.1,28,,W,20,1009.3
,2026-04-13,9.0,23.4,0,,,NW,33,07:01,16.6,46,,NNW,15,1018.4,22.5,30,,NE,9,1016.5
,2026-04-14,3.8,25.2,0,,,ESE,24,17:05,17.2,53,,NNW,11,1021.6,24.9,27,,NE,9,1018.0
,2026-04-15,5.2,27.0,0,,,N,22,10:55,17.4,57,,NNW,13,1020.2,26.4,25,,NE,9,1016.4
,2026-04-16,7.7,29.2,0,,,,,,17.9,72,,N,9,1019.7,28.9,23,,NW,17,1013.8
,2026-04-17,5.9,30.7,,,,,,,23.6,35,,N,7,1013.9,30.6,18,,NNW,19,1008.6
,2026-04-18,6.5,23.0,,,,S,30,00:02,18.3,54,,NE,2,1019.1,22.1,20,,S,13,1016.5
,2026-04-19,3.4,22.7,0,,,ESE,28,16:46,16.2,63,,NE,6,1022.4,22.1,36,,SE,9,1019.2
,2026-04-20,4.5,23.3,0,,,SE,35,15:32,17.4,60,,N,9,1024.6,22.0,43,,SSE,17,1022.6
,2026-04-21,9.0,22.8,0,,,SE,41,14:24,18.3,63,,SW,11,1027.2,19.9,59,,SE,17,1025.0
,2026-04-22,9.4,23.4,0,,,SSE,37,14:08,18.6,63,,S,11,1026.3,21.5,48,,SSE,19,1024.7
,2026-04-23,8.0,23.2,0,,,SE,39,11:10,18.7,63,,SSW,9,1028.6,21.6,52,,SSE,20,1027.7
,2026-04-24,11.1,24.1,0,,,E,31,12:44,19.7,68,,NE,2,1031.8,23.5,54,,SE,17,1029.6
,2026-04-25,11.2,26.5,0.4,,,E,37,12:21,21.2,66,,SSW,2,1031.4,24.4,48,,ESE,19,1026.8
,2026-04-26,6.1,24.9,0.2,,,NE,28,13:43,18.6,68,,ENE,4,1026.5,23.4,41,,ESE,13,1022.0
,2026-04-27,6.5,25.4,0,,,NE,30,11:16,17.3,75,, ,Calm,1024.9,24.2,47,,ESE,13,1022.5
,2026-04-28,6.6,25.5,0,,,ESE,30,13:48,16.9,74,,NNE,7,1027.2,23.8,47,,E,17,1024.1
,2026-04-29,7.8,25.7,0,,,ESE,31,15:35,17.7,78,,NNE,2,1028.8,23.7,49,,ESE,20,1026.7
,2026-04-30,9.8,25.0,0,,,NE,43,13:49,20.8,68,,SE,7,1030.9,22.4,51,,ENE,17,1028.0
