"Daily Weather Observations for Mount Boyce, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2087.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,1.2,15.6,0,,,W,20,00:04,7.3,58,, ,Calm,,15.4,26,,WSW,7,
,2025-09-2,5.6,14.5,0.4,,,W,26,14:22,8.7,90,8,ENE,11,,12.5,44,1,W,15,
,2025-09-3,2.7,14.1,0.2,,,W,44,15:56,6.6,64,,W,17,,13.4,41,1,W,19,
,2025-09-4,6.5,14.5,0,,,W,65,11:30,9.4,48,8,W,26,,13.8,36,,W,30,
,2025-09-5,4.3,15.2,0,,,ENE,30,16:18,8.3,50,,SSW,7,,13.4,46,,ENE,11,
,2025-09-6,4.6,16.1,0.2,,,ENE,26,08:39,8.3,73,7,NE,11,,14.6,52,2,ENE,7,
,2025-09-7,8.1,20.1,0,,,WSW,37,14:17,13.1,55,,W,11,,19.0,43,2,W,15,
,2025-09-8,10.2,19.4,0,,,WSW,69,15:09,14.5,54,8,WNW,28,,17.8,53,2,WSW,33,
,2025-09-9,9.5,16.6,20.6,,,W,63,10:46,10.8,99,8,W,24,,16.1,67,,W,24,
,2025-09-10,9.3,12.9,11.2,,,W,50,21:30,10.1,99,7,NNE,9,,10.6,99,8,WSW,9,
,2025-09-11,3.0,10.1,32.2,,,W,54,00:39,4.6,99,7,SW,20,,8.5,72,8,SW,17,
,2025-09-12,2.9,14.0,0,,,WSW,30,15:47,6.9,73,,W,7,,13.3,49,7,WSW,11,
,2025-09-13,3.6,15.6,0.2,,,ENE,48,20:31,7.0,82,1,WNW,2,,14.9,41,,WSW,9,
,2025-09-14,6.1,16.5,0,,,WSW,35,14:43,10.5,55,,WNW,13,,15.9,37,,W,20,
,2025-09-15,6.3,18.1,0,,,W,63,11:02,10.9,55,,WSW,31,,17.9,36,,WSW,26,
,2025-09-16,10.9,20.2,0,,,WNW,67,07:01,14.6,52,3,W,26,,19.5,40,6,WNW,31,
,2025-09-17,8.1,14.6,3.6,,,WSW,52,16:36,8.9,85,4,WSW,26,,13.2,40,,W,30,
,2025-09-18,1.6,17.9,0,,,WSW,35,01:56,7.5,63,,WSW,7,,17.4,42,,ENE,7,
,2025-09-19,5.7,17.2,0,,,NW,65,18:28,11.1,49,,W,9,,15.1,49,2,WSW,30,
,2025-09-20,8.4,12.2,0,,,WSW,93,12:24,8.9,67,2,WSW,44,,10.9,46,1,W,30,
,2025-09-21,2.8,13.8,0,,,WSW,56,18:24,7.1,62,,WSW,24,,13.2,52,6,W,24,
,2025-09-22,5.8,13.7,0,,,WSW,54,00:09,8.7,67,2,WSW,35,,12.4,43,8,W,24,
,2025-09-23,0.4,14.1,0,,,WSW,28,21:01,5.0,57,,SSW,13,,13.2,38,,W,11,
,2025-09-24,4.0,16.4,0,,,WSW,61,15:01,9.4,63,,WSW,24,,14.6,30,,WSW,37,
,2025-09-25,3.5,16.7,0,,,WSW,69,14:51,8.4,71,,WSW,26,,14.9,38,,WSW,35,
,2025-09-26,8.4,19.6,0,,,WSW,81,12:39,12.6,51,1,W,28,,18.8,29,,W,33,
,2025-09-27,11.3,22.1,0,,,WSW,61,13:36,15.6,31,,W,28,,21.0,19,1,W,26,
,2025-09-28,14.6,22.9,0,,,W,54,05:05,19.0,34,,WNW,15,,21.3,23,6,WSW,26,
,2025-09-29,9.4,19.8,0,,,SW,20,10:48,12.8,76,6,ESE,4,,19.2,52,6,ENE,7,
,2025-09-30,8.3,24.5,0,,,W,54,15:57,18.4,53,,NNW,7,,23.7,24,3,W,17,
