"Daily Weather Observations for Mount Boyce, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2087.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,9.3,15.9,0,,,WSW,63,09:30,12.0,46,,WSW,35,,15.2,33,,WSW,35,
,2025-10-2,7.7,14.0,0,,,SW,85,16:05,11.5,41,,WSW,37,,8.6,66,8,WSW,39,
,2025-10-3,3.7,15.4,0,,,WSW,76,01:43,7.5,59,,W,31,,14.7,40,,WSW,33,
,2025-10-4,4.8,20.7,0,,,W,26,23:26,12.8,50,,WSW,7,,19.6,40,,NW,9,
,2025-10-5,9.7,21.7,0,,,WSW,52,10:41,13.5,53,,WSW,22,,21.3,32,,W,20,
,2025-10-6,13.5,21.5,0,,,W,83,04:00,16.6,30,,W,37,,21.0,37,1,WSW,28,
,2025-10-7,9.4,18.4,0,,,W,56,18:08,12.9,79,6,N,6,,17.3,55,8,W,20,
,2025-10-8,9.7,25.6,0,,,WSW,83,17:37,15.7,58,,W,11,,23.6,30,1,W,22,
,2025-10-9,11.5,19.6,2.0,,,WNW,91,13:13,15.1,76,5,W,20,,17.3,65,5,WSW,46,
,2025-10-10,11.7,20.0,0,,,WSW,74,10:56,13.2,75,5,WSW,31,,19.0,32,,WSW,39,
,2025-10-11,11.4,20.1,0,,,W,69,11:31,14.3,33,,WSW,35,,18.9,24,,WSW,43,
,2025-10-12,13.0,21.5,0,,,SW,83,13:29,16.9,32,,WSW,22,,11.4,65,8,SW,39,
,2025-10-13,6.5,17.6,3.2,,,WSW,65,08:27,8.9,69,,WSW,41,,16.4,36,,WSW,13,
,2025-10-14,5.6,18.9,0,,,W,46,13:52,9.3,67,,WSW,20,,18.7,32,,WSW,26,
,2025-10-15,9.0,23.5,0.2,,,W,26,13:55,14.2,40,,WNW,9,,22.5,21,,W,13,
,2025-10-16,10.7,24.7,0,,,W,56,11:29,19.0,40,,N,13,,24.0,26,,WSW,26,
,2025-10-17,16.8,25.9,0,,,WSW,69,02:59,19.5,67,,W,24,,25.3,33,1,W,28,
,2025-10-18,10.2,21.2,0.6,,,WSW,28,11:16,12.8,93,7,NNE,4,,20.0,56,1,E,11,
,2025-10-19,6.8,25.2,0.2,,,WSW,31,14:20,11.5,86,6,NE,13,,23.3,32,,WSW,13,
,2025-10-20,11.4,28.5,0.2,,,WSW,56,12:57,19.4,45,,WSW,17,,27.4,25,,W,31,
,2025-10-21,14.3,26.9,0,,,NW,46,03:57,20.4,43,,S,2,,24.7,50,2,ENE,13,
,2025-10-22,13.6,29.0,0,,,WSW,91,14:43,23.9,43,,NNW,19,,25.3,37,1,W,44,
,2025-10-23,7.0,20.1,0,,,WSW,70,00:02,13.7,47,,ESE,13,,19.0,41,,E,9,
,2025-10-24,8.6,19.3,0,,,WSW,43,15:21,11.1,56,,WSW,19,,19.0,25,,WSW,20,
,2025-10-25,6.8,19.1,0,,,WSW,35,13:07,11.6,53,4,W,17,,16.7,32,8,WSW,20,
,2025-10-26,11.2,19.4,0,,,W,70,14:13,13.8,46,3,W,20,,14.3,69,8,W,41,
,2025-10-27,8.7,17.6,1.2,,,WSW,59,10:26,11.2,74,8,WSW,31,,16.4,40,8,WSW,30,
,2025-10-28,3.0,8.2,2.0,,,ESE,41,23:21,4.5,99,8,ENE,7,,5.5,99,8,ENE,9,
,2025-10-29,4.3,11.8,6.6,,,ENE,20,23:55,8.1,99,7,ENE,7,,10.8,97,8,ENE,6,
,2025-10-30,7.8,18.9,3.6,,,NE,20,14:37,10.5,88,,W,9,,17.4,62,7,SE,7,
,2025-10-31,10.1,22.0,0.2,,,ENE,28,21:27,16.0,71,8,NE,9,,20.4,53,8,ENE,7,
