"Daily Weather Observations for Nowra, New South Wales for March 2025"
"Prepared at 13:00 UTC on Monday 13 April 2026   IDCJDW2101.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,17.2,31.0,0,,,E,28,14:34,22.5,71,,NW,9,1015.8,30.1,52,,E,19,1011.5
,2025-03-2,19.0,23.4,0,,,S,46,14:36,21.9,93,8,S,15,1014.0,21.8,78,7,SSE,26,1014.2
,2025-03-3,16.8,22.7,1.0,,,S,39,10:44,18.1,91,8,S,17,1019.5,22.0,67,8,SSE,20,1018.8
,2025-03-4,17.3,25.2,2.8,,,SSE,39,11:54,20.5,82,7,ESE,24,1022.8,24.2,56,8,SSE,24,1022.3
,2025-03-5,16.1,26.8,0,,,SE,31,11:20,18.4,99,8,N,13,1022.4,26.2,50,8,ENE,19,1019.9
,2025-03-6,15.2,25.5,0,,,SE,41,11:25,22.4,77,,SSE,13,1021.3,23.2,65,8,ESE,22,1021.3
,2025-03-7,16.9,22.6,6.8,,,SSE,35,12:46,19.1,100,8,SE,11,1022.5,19.9,100,8,SSE,15,1021.6
,2025-03-8,15.8,25.7,7.8,,,ESE,31,10:53,20.7,88,8, ,Calm,1023.5,23.9,62,8,ENE,19,1022.4
,2025-03-9,18.4,28.0,2.6,,,NE,35,15:21,20.8,100,8,ESE,2,1023.1,26.5,59,7,NNE,22,1020.0
,2025-03-10,15.0,29.4,0,,,NE,31,16:07,22.6,79,,NW,7,1020.0,28.6,54,2,N,20,1017.2
,2025-03-11,19.0,25.7,0.2,,,ENE,39,07:28,19.5,100,8,ENE,22,1021.4,22.1,100,8,ESE,15,1021.3
,2025-03-12,18.7,26.6,8.2,,,ESE,20,12:08,20.9,100,8, ,Calm,1022.5,24.6,70,8,SE,11,1019.7
,2025-03-13,15.6,32.1,0.4,,,E,30,14:37,21.0,96,,NW,15,1018.5,31.2,48,,ENE,19,1015.5
,2025-03-14,18.4,37.1,0,,,S,54,17:24,22.8,94,,NNE,13,1018.2,37.1,27,,W,22,1014.5
,2025-03-15,18.4,30.8,0,,,SSW,24,23:26,23.6,71,,WNW,13,1018.9,29.0,65,,ENE,15,1014.6
,2025-03-16,21.0,35.0,0,,,SSE,52,21:49,28.7,39,,NW,19,1009.9,34.6,27,1,NNW,19,1004.7
,2025-03-17,11.8,20.8,4.6,,,S,50,09:06,15.7,42,,SSW,22,1019.4,20.2,35,,SSE,30,1020.6
,2025-03-18,10.4,23.9,0,,,E,37,15:49,16.5,69,,WNW,7,1024.5,22.6,51,8,ENE,17,1021.9
,2025-03-19,12.3,28.7,0,,,NE,35,14:55,19.1,85,,WNW,9,1021.8,27.8,53,,NE,22,1017.8
,2025-03-20,17.0,30.2,0,,,E,28,11:41,23.1,81,7,NW,7,1018.5,26.1,67,7,NNE,17,1014.8
,2025-03-21,18.9,28.6,1.2,,,SSE,35,14:50,20.4,88,7,NNW,9,1014.1,27.8,60,8,SE,11,1011.6
,2025-03-22,17.5,24.2,4.0,,,S,28,23:03,18.6,99,8,SSW,9,1018.0,23.0,71,5,SE,13,1016.1
,2025-03-23,18.5,21.6,0.2,,,SE,20,09:15,19.5,98,8,S,11,1021.6,21.5,74,8,SE,7,1019.8
,2025-03-24,18.8,27.5,0,,,E,31,15:15,21.0,90,8,WNW,6,1020.3,26.2,63,5,NE,20,1017.6
,2025-03-25,17.7,26.8,0,,,NE,31,14:57,20.3,100,8,SSW,9,1023.5,25.3,66,8,NE,15,1020.7
,2025-03-26,17.2,28.4,0,,,E,30,14:17,21.0,100,3,NW,9,1022.0,28.0,51,,ENE,19,1019.8
,2025-03-27,16.4,26.0,0,,,S,35,14:06,21.5,93,2,S,17,1023.4,24.3,69,5,SSE,24,1022.5
,2025-03-28,18.1,24.5,50.0,,,E,35,14:51,19.2,100,8,S,13,1022.5,22.9,72,8,ENE,19,1020.1
,2025-03-29,16.9,19.1,19.4,,,S,80,22:38,17.0,100,8,E,11,1013.8,18.2,100,8,S,31,1008.6
,2025-03-30,16.8,21.7,24.2,,,S,80,23:58,19.0,100,7,S,31,1009.7,20.8,99,8,S,31,1009.7
,2025-03-31,16.4,21.1,30.8,,,SSW,59,08:14,18.1,86,8,SSW,31,1012.3,20.4,75,8,S,33,1012.5
