"Daily Weather Observations for Nowra, New South Wales for May 2025"
"Prepared at 13:00 UTC on Saturday 11 April 2026   IDCJDW2101.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,11.4,18.2,3.2,,,SSW,46,01:33,12.4,92,8,SSW,17,1029.0,14.4,89,8,SSW,22,1028.5
,2025-05-2,9.7,19.7,2.0,,,S,30,11:20,13.3,81,7,NW,9,1033.2,18.4,62,1,SSE,20,1031.7
,2025-05-3,9.5,21.8,0.2,,,WNW,24,08:33,14.3,79,,WNW,19,1035.3,21.4,47,,SW,2,1032.5
,2025-05-4,9.7,22.6,0.2,,,NE,28,16:21,15.1,82,,NW,17,1033.7,21.9,48,1,NE,6,1029.8
,2025-05-5,9.2,24.3,0,,,NW,26,12:05,17.7,83,,NW,6,1029.4,23.8,48,,NNE,13,1024.4
,2025-05-6,13.7,25.7,0.2,,,WNW,28,09:34,20.0,63,,NW,15,1023.4,25.0,44,,NNW,13,1018.7
,2025-05-7,12.8,26.7,0,,,NW,39,16:15,20.5,55,,NW,20,1017.8,25.4,35,2,NW,20,1013.5
,2025-05-8,12.3,18.7,0,,,SE,35,12:17,16.2,79,8,SSE,6,1024.8,17.0,44,3,SE,19,1025.9
,2025-05-9,7.6,20.0,0,,,NW,22,05:18,13.5,66,,WNW,13,1032.9,18.8,53,,E,13,1030.0
,2025-05-10,9.5,21.2,0,,,E,28,14:03,14.6,80,,WNW,19,1032.3,20.1,60,1,ENE,17,1029.4
,2025-05-11,11.5,22.1,0,,,NNE,30,13:06,16.4,87,5,NW,7,1030.5,20.9,64,7,NNE,13,1027.1
,2025-05-12,11.9,22.6,0,,,NNW,22,11:48,16.8,94,7,NW,7,1027.4,22.2,68,8,ENE,13,1024.3
,2025-05-13,13.1,21.6,0.2,,,SE,17,14:17,16.7,100,8, ,Calm,1026.7,19.3,83,7,SE,9,1023.7
,2025-05-14,12.4,24.0,0.4,,,S,30,15:11,16.5,93,8,NNW,13,1021.1,22.8,54,4,NW,15,1018.1
,2025-05-15,12.0,19.5,0,,,SSW,26,22:29,17.1,90,8,SSW,13,1022.4,17.6,81,8,S,11,1021.0
,2025-05-16,14.4,20.0,7.0,,,SSE,20,14:12,16.9,100,8,WSW,9,1019.5,18.4,81,8,SSE,15,1015.7
,2025-05-17,11.4,20.5,0.4,,,SSW,33,23:12,15.7,86,4,WNW,13,1016.1,19.0,65,5,SSE,17,1014.5
,2025-05-18,12.1,16.2,0,,,S,61,12:47,13.1,60,8,SSW,22,1022.4,11.9,89,8,SSW,22,1023.7
,2025-05-19,9.8,16.5,18.0,,,SW,39,01:35,12.4,88,3,SSW,19,1030.1,16.4,50,4,SSE,17,1029.8
,2025-05-20,10.3,15.3,0.4,,,S,26,05:09,13.4,81,8,ESE,9,1032.2,14.7,99,8,SSW,11,1029.0
,2025-05-21,11.8,16.9,10.4,,,SSW,20,00:02,14.9,100,4,SSW,13,1028.4,15.5,100,8,E,6,1025.5
,2025-05-22,14.2,18.2,16.2,,,ENE,43,23:46,16.4,100,8,SSE,11,1021.1,16.5,100,8,ESE,13,1017.9
,2025-05-23,14.9,19.6,79.2,,,ENE,50,02:53,18.1,100,8,ENE,24,1014.9,19.5,100,8, ,Calm,1010.3
,2025-05-24,11.4,20.0,24.2,,,WNW,65,13:37,17.0,66,,NW,20,1013.6,19.4,47,1,WNW,28,1011.6
,2025-05-25,10.3,19.8,0,,,WNW,43,11:18,11.7,78,,ESE,6,1017.9,17.8,43,,WNW,11,1016.0
,2025-05-26,9.5,20.3,0,,,NW,39,21:39,14.9,45,6,W,7,1017.6,17.2,58,8,NW,11,1012.3
,2025-05-27,13.5,17.5,0,,,WNW,76,11:20,14.1,49,,W,56,1007.1,15.7,44,8,WSW,33,1005.9
,2025-05-28,11.3,19.4,0,,,W,54,00:04,14.5,56,,WNW,22,1014.5,17.6,46,,SSE,13,1013.3
,2025-05-29,7.4,17.6,0,,,SSW,39,10:13,14.4,60,8,SSW,19,1020.4,16.5,61,7,SSW,17,1020.2
,2025-05-30,7.8,20.2,0,,,WNW,24,07:50,11.9,72,,WNW,15,1024.9,18.9,47,,ESE,7,1024.3
,2025-05-31,8.3,19.9,0,,,WNW,20,07:20,13.1,80,,W,9,1029.1,18.8,52,,NE,13,1026.6
