"Daily Weather Observations for Nowra, New South Wales for July 2025"
"Prepared at 13:00 UTC on Sunday 10 May 2026   IDCJDW2101.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,8.9,14.3,20.6,,,SSW,83,20:59,10.5,100,8,SSW,31,1015.6,11.3,100,8,SSW,35,1006.4
,2025-07-2,10.5,14.6,157.2,,,S,81,05:36,13.4,69,8,SSW,33,1002.7,13.6,79,8,SSW,33,1002.7
,2025-07-3,11.8,17.1,14.6,,,SSW,63,00:17,13.3,67,8,SW,28,1010.5,16.0,51,8,SSW,30,1010.0
,2025-07-4,7.8,17.7,1.2,,,WSW,31,11:44,11.9,70,,WNW,15,1019.9,16.0,60,,SE,13,1018.9
,2025-07-5,5.5,16.6,0.2,,,WNW,24,23:43,9.5,92,,WNW,9,1023.8,15.0,76,8, ,Calm,1020.8
,2025-07-6,8.2,21.7,0,,,SW,50,18:09,11.8,93,8,NNW,9,1017.5,20.3,50,,E,9,1012.2
,2025-07-7,9.6,16.0,13.2,,,W,39,12:17,11.5,74,2,WNW,13,1015.4,15.1,64,6,WSW,17,1013.2
,2025-07-8,9.6,16.9,0.2,,,WNW,50,14:09,11.9,70,,NNW,17,1011.6,16.7,42,,NW,19,1005.8
,2025-07-9,8.8,17.6,0,,,,,,12.4,58,,NNW,13,1009.2,17.1,41,6,WNW,19,1005.9
,2025-07-10,6.1,13.5,0.2,,,WNW,91,12:41,12.8,50,,NW,30,1001.8,13.1,52,5,WNW,50,1000.7
,2025-07-11,9.0,16.1,0,,,W,65,15:02,13.2,55,,NW,13,1015.6,15.6,47,,W,46,1014.4
,2025-07-12,7.2,18.1,0,,,WNW,33,00:06,13.7,62,,W,22,1023.1,17.8,39,,NNE,9,1022.1
,2025-07-13,6.1,16.9,0,,,WNW,85,23:56,9.5,68,,NW,28,1019.8,15.7,37,,WNW,28,1013.5
,2025-07-14,9.0,16.8,0,,,WNW,91,00:21,12.3,53,,W,30,1012.6,16.3,37,,WNW,13,1011.4
,2025-07-15,4.9,14.8,0,,,W,48,13:37,10.1,57,8,WNW,17,1011.3,13.3,43,,W,28,1009.0
,2025-07-16,6.0,17.4,0,,,WSW,35,10:47,10.4,54,,WNW,15,1016.8,17.2,32,,WNW,15,1015.9
,2025-07-17,6.6,17.5,0,,,NNW,37,09:53,9.3,64,,NW,22,1017.7,17.2,34,,W,13,1014.3
,2025-07-18,7.4,15.6,0,,,SSE,35,10:09,8.5,81,1,WNW,9,1019.9,14.2,51,,SSE,19,1018.3
,2025-07-19,4.6,17.8,0,,,WNW,39,23:05,8.6,80,,NW,19,1019.7,17.7,36,,WNW,13,1015.6
,2025-07-20,5.6,17.5,0,,,WNW,33,00:07,10.5,57,,WNW,17,1022.8,15.6,60,1,SE,20,1022.1
,2025-07-21,6.9,18.4,0.4,,,ENE,24,15:30,13.2,99,1,WNW,9,1025.2,16.9,62,7,ENE,17,1020.8
,2025-07-22,6.2,19.7,0,,,NE,31,12:10,13.9,86,3,N,11,1018.5,18.9,50,,N,19,1011.7
,2025-07-23,8.7,16.6,0.8,,,WNW,56,10:55,13.1,71,,NW,13,1013.1,15.9,35,3,WNW,26,1012.6
,2025-07-24,6.8,16.5,0,,,W,35,00:13,10.4,57,,WNW,22,1020.3,16.0,36,,NW,19,1018.5
,2025-07-25,4.7,17.0,0,,,NE,31,15:15,9.6,68,,WNW,19,1023.4,14.6,55,1,ENE,22,1019.0
,2025-07-26,9.6,18.2,1.2,,,NNW,35,15:08,11.5,88,8,NW,9,1008.4,18.2,55,,NW,19,1003.2
,2025-07-27,10.4,18.0,0,,,WNW,48,11:41,12.7,67,7,NNW,13,1003.1,15.7,50,8,WNW,30,1000.7
,2025-07-28,11.9,16.7,0,,,WNW,69,16:38,13.7,55,4,WNW,28,1005.3,15.4,49,,W,39,1005.3
,2025-07-29,10.5,17.3,0,,,W,54,11:08,13.1,55,,W,33,1013.5,15.8,43,4,WSW,13,1011.6
,2025-07-30,8.9,11.1,0,,,SSW,50,13:23,10.8,65,8,SSW,19,1014.8,9.8,99,8,SSW,22,1013.9
,2025-07-31,8.9,13.3,12.6,,,SSW,46,10:02,10.5,84,8,S,24,1021.0,11.8,68,6,S,26,1020.8
