"Daily Weather Observations for Nowra, New South Wales for August 2025"
"Prepared at 13:00 UTC on Saturday  9 May 2026   IDCJDW2101.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,8.0,14.5,3.2,,,S,39,11:00,11.2,94,8,SSW,22,1024.8,12.9,77,8,SSE,22,1021.7
,2025-08-2,9.9,13.6,21.0,,,SSW,46,13:52,12.0,100,8,SSE,22,1022.8,11.9,100,8,S,24,1021.0
,2025-08-3,10.8,17.4,26.4,,,SSE,39,13:10,13.5,100,8,SSE,13,1024.3,15.7,83,8,S,24,1023.0
,2025-08-4,9.2,16.9,4.6,,,SSW,20,00:44,13.7,100,4,WNW,2,1023.8,15.8,88,8, ,Calm,1020.7
,2025-08-5,8.5,20.5,0.6,,,NW,35,18:28,14.0,75,,NW,9,1016.8,19.8,52,8,WSW,13,1014.5
,2025-08-6,5.7,18.3,0,,,WNW,33,00:02,12.0,59,,NW,20,1020.6,17.9,32,,WSW,15,1019.0
,2025-08-7,7.1,14.8,1.8,,,S,31,10:08,11.4,75,8,SSW,22,1028.9,13.6,60,7,SSE,15,1028.6
,2025-08-8,5.0,16.1,0,,,SE,22,11:32,11.6,74,5,WSW,9,1033.7,14.4,58,2,SE,15,1032.0
,2025-08-9,8.5,17.1,0,,,S,39,12:08,13.0,87,2,S,24,1033.8,15.5,58,1,SE,28,1030.8
,2025-08-10,8.7,15.5,2.4,,,ESE,39,12:14,11.1,100,8,S,11,1030.7,14.7,71,8,SSE,22,1028.0
,2025-08-11,6.8,16.0,3.2,,,SSE,33,10:41,12.3,82,3,S,17,1028.8,13.6,73,3,SSE,22,1026.1
,2025-08-12,5.6,17.0,0.2,,,SSE,22,10:48,10.9,87,,WNW,13,1026.6,15.2,60,8,SE,11,1023.7
,2025-08-13,5.0,,0.4,,,,,,10.8,80,,WNW,17,1025.2,16.0,63,5,SE,15,1023.5
,2025-08-14,6.9,15.2,4.0,,,S,39,11:17,12.9,65,,SSW,24,1026.8,14.0,74,8,SSE,19,1025.4
,2025-08-15,7.8,19.7,0.6,,,WNW,26,08:12,13.2,79,,NW,15,1021.4,18.7,56,7,NNE,17,1014.7
,2025-08-16,9.1,17.5,0.2,,,W,46,12:50,14.2,54,,WNW,17,1012.3,16.6,33,,WNW,26,1010.1
,2025-08-17,5.1,16.6,0,,,SW,28,11:36,9.8,58,,NW,11,1018.2,14.0,40,5,S,19,1017.1
,2025-08-18,4.0,15.3,0,,,S,41,11:46,11.3,55,8,SSW,17,1026.5,14.2,53,4,S,26,1026.8
,2025-08-19,8.4,11.8,21.2,,,SSW,35,03:45,9.0,99,7,WNW,11,1032.4,11.1,99,8,SSW,19,1030.4
,2025-08-20,8.9,15.3,24.8,,,SSE,26,13:15,10.4,100,8,SW,6,1033.0,14.2,84,8,SE,11,1029.9
,2025-08-21,10.4,13.9,31.0,,,SE,35,10:40,12.0,100,8,SSE,15,1029.8,13.3,100,7,ESE,17,1026.5
,2025-08-22,11.1,17.3,38.4,,,NE,19,00:01,13.5,100,8,NW,9,1024.4,15.7,99,8,E,9,1020.2
,2025-08-23,10.8,19.9,3.6,,,SSW,50,11:38,16.1,64,3,SW,22,1018.0,17.8,63,,SE,22,1018.0
,2025-08-24,7.9,17.5,0,,,SW,41,09:53,12.4,63,8,W,13,1021.5,16.2,54,7,SSW,19,1017.6
,2025-08-25,12.4,17.8,0.2,,,S,31,14:01,15.4,80,8,WSW,15,1019.0,16.4,100,8,SSW,17,1017.1
,2025-08-26,9.2,22.8,0.8,,,NE,28,16:19,16.7,79,,NW,13,1015.8,21.8,66,,NE,15,1008.3
,2025-08-27,11.4,17.4,0,,,WNW,83,21:53,17.2,60,8,NW,33,1001.8,17.4,52,,NW,28,999.8
,2025-08-28,10.8,17.5,0.6,,,WNW,91,10:58,14.0,48,,WNW,39,1003.2,16.6,41,1,W,44,1003.6
,2025-08-29,11.3,19.5,0,,,WNW,89,17:22,14.2,50,1,WNW,30,1006.9,18.2,35,5,NW,37,1002.1
,2025-08-30,7.6,18.0,0.2,,,WNW,76,06:11,11.3,53,6,W,35,1005.5,16.9,34,5,SW,24,1013.1
,2025-08-31,6.3,20.1,0,,,NW,31,05:56,12.1,55,,WNW,22,1025.2,19.6,33,,W,17,1021.2
