"Daily Weather Observations for Nowra, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2101.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,14.9,23.4,0,,,WNW,72,09:33,20.5,31,,W,28,1006.7,21.8,25,,WNW,39,1005.9
,2025-10-2,6.5,23.0,0,,,WNW,72,14:41,20.7,30,,NW,24,1005.7,16.8,31,,WNW,46,1008.2
,2025-10-3,12.2,22.5,0,,,WNW,59,02:42,17.4,41,,W,39,1015.3,20.9,34,,W,31,1014.0
,2025-10-4,11.0,22.9,0,,,W,37,23:12,18.3,53,,SSW,6,1024.4,20.4,56,,ENE,17,1021.6
,2025-10-5,10.3,29.6,0,,,WNW,54,14:43,20.3,44,,NW,20,1018.3,28.8,22,,WNW,20,1013.7
,2025-10-6,17.0,26.4,0,,,NW,69,02:22,23.8,30,,WNW,17,1009.9,18.8,73,8,SE,19,1011.4
,2025-10-7,8.7,23.0,1.4,,,,,,14.9,69,7,NW,13,1017.5,22.4,63,,ENE,17,1011.9
,2025-10-8,11.3,26.2,0,,,NW,44,00:27,18.0,54,,NNW,17,1012.6,25.0,52,,NE,17,1006.6
,2025-10-9,15.6,27.0,0,,,NW,83,00:56,21.2,66,8,NW,30,1008.4,24.8,50,3,WNW,35,1008.5
,2025-10-10,10.1,28.6,0,,,W,61,09:48,20.0,55,,NNW,15,1012.4,27.2,23,,NW,31,1009.7
,2025-10-11,7.0,28.0,0,,,W,69,11:39,21.5,30,,SW,2,1011.1,26.8,17,,WNW,39,1009.2
,2025-10-12,8.4,28.6,0,,,WNW,76,13:44,20.3,40,,N,7,1010.7,25.0,23,,WNW,41,1007.6
,2025-10-13,11.0,19.4,0,,,W,50,03:07,18.0,42,,SW,15,1015.8,17.3,49,3,SE,19,1017.5
,2025-10-14,6.4,26.3,0,,,WNW,52,12:38,17.1,48,,NNW,22,1017.2,25.9,20,,W,28,1015.1
,2025-10-15,9.8,27.3,0,,,NE,31,12:55,17.8,60,,WNW,17,1021.9,25.3,39,,ENE,22,1017.6
,2025-10-16,10.9,32.2,0,,,WSW,37,13:50,18.7,83,,NW,7,1019.9,31.6,15,,WSW,26,1013.7
,2025-10-17,13.4,34.2,0,,,SSE,56,13:26,24.2,52,5,NNW,13,1010.6,20.5,71,4,SSE,39,1009.8
,2025-10-18,12.5,23.3,1.8,,,ENE,37,14:20,16.6,80,8,S,6,1016.1,21.5,54,,ENE,24,1014.1
,2025-10-19,10.6,30.5,0,,,N,37,12:40,18.8,62,,NW,11,1015.9,29.9,25,,NW,13,1009.7
,2025-10-20,14.6,36.2,0,,,S,61,18:14,23.4,40,5,NNW,13,1009.0,34.9,16,,WNW,28,1005.4
,2025-10-21,13.6,19.9,0,,,NE,28,10:05,18.1,72,8,ENE,17,1015.1,18.6,71,7,NE,19,1012.3
,2025-10-22,13.8,34.0,5.6,,,WNW,87,21:44,19.8,96,,N,11,1002.5,33.4,27,2,WNW,44,995.6
,2025-10-23,13.2,21.2,0,,,W,67,23:22,17.9,53,7,SE,7,1014.3,19.2,56,7,E,17,1014.1
,2025-10-24,10.5,21.4,0,,,SE,39,13:20,18.2,66,4,SE,17,1014.0,19.1,56,4,SSE,20,1013.9
,2025-10-25,10.1,24.9,0,,,NE,30,13:11,16.4,70,,NNW,4,1016.0,21.8,54,,ENE,17,1011.6
,2025-10-26,13.1,23.5,0,,,NW,48,15:26,16.3,86,7, ,Calm,1006.3,22.3,51,8,NNW,19,999.9
,2025-10-27,15.0,21.9,0,,,SSE,48,10:41,19.7,47,1,SW,28,1001.5,12.7,100,8,SSE,20,1007.7
,2025-10-28,7.6,16.0,16.2,,,SSW,35,23:41,12.5,64,5,S,15,1021.8,12.3,74,7,SW,11,1020.1
,2025-10-29,10.6,18.4,1.0,,,NE,30,15:35,11.9,100,8,SW,13,1019.5,16.9,73,8,NE,11,1016.6
,2025-10-30,11.9,21.5,2.2,,,E,26,12:08,15.7,99,8, ,Calm,1017.2,19.2,77,8,E,19,1015.6
,2025-10-31,11.6,24.1,1.0,,,ENE,35,14:03,18.0,78,8, ,Calm,1018.9,22.6,65,5,ENE,24,1015.5
