"Daily Weather Observations for Nowra, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2101.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,13.1,25.0,12.8,,,WNW,31,02:05,17.9,100,8, ,Calm,1015.9,22.1,66,8,ESE,20,1013.7
,2025-11-2,13.0,24.2,0.2,,,NE,35,15:21,18.9,93,4,N,4,1014.2,24.1,66,,E,17,1010.0
,2025-11-3,13.9,29.7,0,,,WNW,72,21:20,23.4,64,,N,7,1003.3,27.4,67,3,E,15,999.4
,2025-11-4,14.9,20.6,8.0,,,W,83,12:44,17.7,55,7,NW,15,1005.3,17.0,43,4,NW,35,1005.0
,2025-11-5,12.7,22.5,2.2,,,WNW,61,05:59,15.7,47,,WNW,31,1011.3,22.4,32,,NW,20,1011.3
,2025-11-6,10.5,25.3,0,,,E,39,14:16,18.3,50,,NW,13,1017.9,22.4,35,,ENE,26,1014.1
,2025-11-7,13.3,26.3,0,,,E,20,13:34,18.5,91,8,N,7,1012.3,23.6,61,4,E,17,1007.8
,2025-11-8,14.9,32.5,0,,,WSW,43,16:51,25.4,55,5, ,Calm,1002.4,28.5,39,1,NW,17,998.5
,2025-11-9,12.1,19.5,0,,,SE,39,10:17,16.6,57,8,WSW,13,1010.0,16.4,68,8,SSE,11,1010.9
,2025-11-10,10.1,23.1,2.4,,,ENE,39,13:02,16.8,64,,N,7,1015.2,21.6,54,,ENE,28,1011.1
,2025-11-11,9.8,25.8,0,,,W,85,14:10,17.9,42,,NNW,17,1010.8,24.2,25,1,WNW,37,1007.0
,2025-11-12,4.4,22.4,0,,,NE,39,13:19,14.5,40,,WSW,7,1019.0,19.4,33,,ENE,28,1015.1
,2025-11-13,8.2,28.3,0,,,W,46,09:22,20.1,28,,NNW,13,1012.4,26.3,15,,W,20,1007.2
,2025-11-14,13.0,22.9,0,,,ENE,39,12:44,17.2,78,8,ESE,9,1010.3,18.1,71,7,E,22,1009.4
,2025-11-15,14.8,29.7,0.2,,,NE,43,16:25,20.3,90,8,SE,11,1009.9,26.0,62,,ENE,20,1002.2
,2025-11-16,18.0,30.1,0.6,,,W,65,13:53,23.7,37,,W,22,1003.3,29.3,19,3,WNW,35,999.0
,2025-11-17,13.3,22.2,0,,,WNW,65,07:05,18.1,40,,W,39,1001.0,21.8,30,5,W,33,1001.5
,2025-11-18,14.4,28.5,0,,,WNW,43,02:33,20.3,42,,WNW,22,1008.7,26.5,36,,ENE,28,1005.3
,2025-11-19,11.5,31.1,0,,,ENE,35,13:44,23.7,45,,NW,15,1010.1,29.7,31,4,ENE,24,1005.9
,2025-11-20,13.0,22.3,0,,,S,39,20:24,19.8,75,5,SSE,11,1011.3,18.4,83,8,SSE,19,1011.8
,2025-11-21,11.9,17.6,1.2,,,S,37,23:13,12.7,100,8,SSW,17,1021.4,17.1,75,8,SE,20,1020.9
,2025-11-22,12.3,19.3,3.4,,,ENE,22,13:04,15.8,100,8,S,11,1019.7,18.0,100,8,ENE,13,1016.6
,2025-11-23,15.8,26.7,14.6,,,SSE,39,14:33,19.1,100,7,SW,7,1008.2,23.4,75,8,SE,22,1004.3
,2025-11-24,15.9,22.2,0.8,,,S,35,10:29,18.9,100,8,S,15,1008.1,21.4,69,8,S,22,1007.0
,2025-11-25,15.6,35.8,1.6,,,WNW,61,15:02,21.2,70,,NNW,9,1000.0,33.8,26,,WNW,24,995.7
,2025-11-26,12.9,32.9,0,,,W,94,15:18,23.5,61,,NNE,4,997.8,32.0,27,,WNW,41,992.0
,2025-11-27,13.4,29.2,3.0,,,W,81,10:16,23.7,32,,WNW,28,1000.5,28.1,16,,W,33,1000.4
,2025-11-28,12.8,30.4,0,,,W,56,10:03,20.6,56,,N,11,1008.0,30.1,23,,NNW,20,1003.3
,2025-11-29,13.5,30.2,0,,,W,91,12:15,20.0,81,1,SSE,11,998.3,25.1,31,4,W,52,997.5
,2025-11-30,15.9,25.2,0,,,W,69,15:40,19.8,62,,N,11,1005.3,24.2,26,7,WNW,41,1002.5
