"Daily Weather Observations for Nowra, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2101.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,20.4,24.2,1.2,,,S,48,09:01,23.9,97,,S,19,1004.9,20.6,99,7,SSE,19,1006.5
,2026-02-2,13.2,,4.4,,,,,,15.8,43,1,S,24,1021.3,20.5,43,6,SSE,30,1023.5
,2026-02-3,10.0,24.2,0,,,NE,28,15:34,18.4,72,7,SW,6,1025.6,22.8,53,8,NE,17,1023.0
,2026-02-4,13.6,30.0,0,,,ENE,35,13:27,21.8,62,,NW,11,1019.5,29.4,45,,ENE,26,1014.8
,2026-02-5,16.7,36.8,0,,,SE,46,13:51,24.7,64,,NW,11,1015.6,28.3,52,,SSE,33,1014.9
,2026-02-6,18.9,29.4,0,,,NNE,33,13:42,22.3,70,,WNW,7,1019.7,25.3,69,1,ENE,17,1016.2
,2026-02-7,20.4,31.1,0,,,SE,33,12:42,23.9,81,6,NNW,11,1017.5,29.1,66,1,ESE,20,1015.3
,2026-02-8,18.8,22.4,13.0,,,NW,33,03:43,19.1,100,8,WNW,9,1018.1,21.2,100,8,NW,9,1014.3
,2026-02-9,19.0,29.1,4.0,,,SSE,35,16:18,20.5,85,8,NNW,7,1011.6,28.5,56,1,SE,19,1010.5
,2026-02-10,19.0,29.8,0,,,SW,56,16:24,23.0,77,7,NW,9,1016.6,28.3,63,,NE,17,1012.7
,2026-02-11,18.3,36.1,32.6,,,W,35,14:28,22.8,84,,NNW,13,1011.1,35.0,27,,WSW,19,1005.3
,2026-02-12,20.5,21.3,0,,,S,43,01:52,21.1,90,8,SSE,13,1003.9,17.9,69,8,SSE,22,1007.8
,2026-02-13,15.3,19.6,3.8,,,SSE,35,11:12,16.6,62,8,SW,11,1017.3,18.9,66,8,SSE,17,1017.6
,2026-02-14,14.3,22.2,0,,,SE,28,11:57,17.8,86,8,N,2,1021.9,19.5,81,8,NE,11,1020.8
,2026-02-15,13.2,21.2,4.8,,,ESE,39,10:58,16.8,100,7,SSW,11,1020.4,20.1,83,8,NE,7,1018.5
,2026-02-16,14.7,24.8,7.6,,,SE,39,11:27,19.7,94,, ,Calm,1018.0,23.3,62,8,E,15,1015.6
,2026-02-17,13.8,29.0,0.6,,,NE,35,13:58,20.8,74,,NW,9,1013.0,28.2,52,,NE,28,1007.0
,2026-02-18,19.4,32.1,0,,,SSE,52,09:58,28.8,41,,NNW,17,1004.6,22.1,76,8,SSE,19,1007.4
,2026-02-19,17.8,28.0,0,,,ENE,30,13:47,20.2,87,8,WNW,9,1014.3,25.7,68,8,ENE,22,1014.1
,2026-02-20,19.4,27.8,2.0,,,NE,41,14:19,21.7,99,8, ,Calm,1017.4,26.7,62,1,NE,31,1013.7
,2026-02-21,18.1,31.2,0,,,SE,35,14:50,24.6,77,, ,Calm,1011.2,28.3,53,,SE,24,1009.7
,2026-02-22,18.5,34.0,0,,,W,43,16:14,22.1,100,1,NNW,9,1009.7,32.4,37,3,W,28,1005.5
,2026-02-23,21.0,22.6,1.0,,,,,,21.6,100,7,NW,9,1009.8,20.7,86,8,S,26,1014.7
,2026-02-24,18.3,,0,,,,,,22.0,87,7,N,7,1017.3,29.2,63,,ENE,19,1013.9
,2026-02-25,18.8,,0,,,,,,24.6,77,,SSE,19,1014.6,22.3,90,8,S,22,1015.4
,2026-02-26,17.6,20.4,0.2,,,,,,19.1,99,8,SSW,24,1019.8,19.8,100,8,S,19,1019.0
,2026-02-27,17.2,22.8,7.0,,,SE,30,10:42,19.0,100,8,S,17,1019.3,21.2,80,8,ENE,11,1019.0
,2026-02-28,18.3,26.6,1.6,,,E,31,14:18,20.9,91,8,SSE,2,1019.7,24.9,54,4,E,19,1017.8
