"Daily Weather Observations for Nowra, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2101.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Nowra RAN Air Station AWS {station 068072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,17.2,25.2,0.2,,,ENE,20,15:39,21.1,90,8,SSW,9,1017.6,24.5,70,8,NE,4,1015.2
,2026-03-2,18.0,25.9,0.8,,,SE,20,12:00,22.1,93,8,NNE,7,1012.8,23.2,87,8,ENE,11,1010.5
,2026-03-3,20.2,26.8,12.6,,,ESE,24,15:08,21.5,100,8, ,Calm,1011.0,25.4,74,8,NE,9,1010.0
,2026-03-4,20.5,28.0,3.0,,,S,43,19:06,21.5,100,7, ,Calm,1012.8,27.0,78,8,NE,15,1010.2
,2026-03-5,20.2,28.6,4.6,,,NE,31,16:53,22.0,100,8,WNW,7,1013.6,28.1,67,3,ENE,19,1011.1
,2026-03-6,21.3,23.7,0,,,S,31,08:28,22.6,100,8,S,19,1014.5,22.8,98,7,S,17,1013.7
,2026-03-7,19.1,28.6,0,,,WNW,56,15:55,23.7,94,,WNW,11,1012.4,23.4,88,7,SSE,26,1010.7
,2026-03-8,17.2,22.9,55.2,,,,,,18.4,92,8,S,28,1015.1,21.5,77,8,S,26,1014.5
,2026-03-9,16.5,23.3,9.4,,,SSW,30,08:14,17.4,100,7,SSW,19,1015.2,22.7,74,8,S,20,1013.0
,2026-03-10,17.3,28.5,0,,,NE,28,15:31,21.7,87,8,NNW,7,1013.1,27.6,58,,ESE,13,1011.2
,2026-03-11,16.4,34.2,0,,,WNW,44,14:23,21.3,94,,NW,11,1009.9,32.6,27,6,WSW,19,1003.8
,2026-03-12,18.7,23.5,0.2,,,,,,19.7,76,8,SSE,17,1008.1,21.4,57,5,ESE,19,1008.7
,2026-03-13,,21.7,0,,,,,,17.2,70,8,S,13,1019.4,20.3,46,7,S,17,1021.8
,2026-03-14,,24.4,0,,,,,,16.9,72,,W,7,1028.8,24.2,48,1,NE,7,1025.6
,2026-03-15,11.9,28.9,0,,,E,28,13:44,19.0,72,,WNW,13,1023.7,27.6,47,,E,20,1019.1
,2026-03-16,15.6,28.5,0.2,,,,,,20.5,81,,NW,11,1019.1,27.8,60,,E,15,1014.5
,2026-03-17,17.8,26.3,0,,,WSW,35,11:52,23.4,64,2,NW,17,1014.5,24.4,74,8,SE,11,1016.4
,2026-03-18,17.5,21.0,9.2,,,SSW,35,00:01,18.1,99,8,SSW,15,1022.6,20.7,80,8,SSE,13,1020.5
,2026-03-19,17.0,25.9,0.2,,,ESE,30,12:01,19.8,100,8,W,6,1018.2,23.5,74,7,E,17,1015.8
,2026-03-20,18.7,24.9,11.6,,,SSW,26,07:15,19.6,100,8,S,17,1018.9,23.8,75,8,SE,17,1018.1
,2026-03-21,16.8,27.5,0.2,,,ESE,33,11:59,21.5,93,,W,4,1019.8,23.1,75,8,NE,11,1018.1
,2026-03-22,17.8,27.0,1.0,,,ESE,31,15:53,21.4,100,6,S,9,1022.6,26.8,53,1,ENE,7,1020.6
,2026-03-23,16.8,27.2,0.2,,,,,,19.8,100,8,NNW,7,1022.6,25.7,63,5,ENE,17,1020.3
,2026-03-24,16.5,27.4,0.2,,,ENE,35,16:15,20.8,93,, ,Calm,1020.1,26.5,54,,ENE,22,1017.2
,2026-03-25,15.8,30.3,0,,,ENE,31,14:12,20.7,80,,WNW,11,1015.4,29.5,50,,NNE,17,1011.6
,2026-03-26,17.8,26.8,0.2,,,WSW,39,16:01,22.4,64,,NW,19,1010.1,23.1,70,8,SSE,26,1005.2
,2026-03-27,11.1,17.4,29.0,,,SSW,70,17:46,11.8,82,8,WNW,28,1001.2,13.1,96,8,WSW,35,1001.0
,2026-03-28,11.8,21.0,15.6,,,SSW,44,11:43,14.5,59,,W,20,1015.1,19.8,48,8,S,20,1015.0
,2026-03-29,12.1,22.5,0,,,S,28,10:18,17.1,63,1,W,11,1021.7,22.1,54,,SE,15,1020.6
,2026-03-30,12.4,24.7,0,,,ENE,31,15:57,15.8,94,,NW,15,1025.1,24.0,52,4,NE,19,1022.2
,2026-03-31,12.5,26.3,0.2,,,NE,33,15:33,15.9,100,,NW,7,1025.3,25.5,54,,ENE,22,1021.5
