"Daily Weather Observations for Richmond, New South Wales for March 2025"
"Prepared at 13:00 UTC on Monday 13 April 2026   IDCJDW2119.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,20.2,34.7,0,,,ESE,26,12:09,23.4,84,5,SW,11,1016.6,32.6,52,,ENE,9,1011.8
,2025-03-2,19.6,29.5,0,,,,,,22.7,99,8,SW,9,1013.6,28.5,69,7,SSE,20,1011.9
,2025-03-3,21.0,26.9,0,,,,,,22.0,75,8,SSW,17,1018.9,25.8,62,8,SSE,20,1017.0
,2025-03-4,19.0,28.6,6.8,,,SE,46,15:58,21.2,100,8,SW,13,1020.9,26.5,63,3,S,24,1020.4
,2025-03-5,17.6,28.9,6.2,,,,,,21.7,85,2,S,13,1021.6,28.0,56,1,SE,24,1018.6
,2025-03-6,,28.0,0,,,,,,22.4,87,5,S,11,1020.3,26.9,58,8,SSE,22,1018.9
,2025-03-7,18.2,25.6,1.0,,,,,,20.6,99,8,S,11,1021.3,24.1,75,8,E,13,1019.8
,2025-03-8,17.6,26.2,2.6,,,E,31,16:10,21.1,89,8,SSW,7,1022.9,25.7,66,8,ENE,17,1021.6
,2025-03-9,19.0,28.9,6.4,,,NE,35,14:16,20.4,100,8, ,Calm,1023.6,27.1,61,8,ENE,20,1020.1
,2025-03-10,18.2,25.5,0.2,,,N,24,13:56,21.0,100,8,SW,6,1020.7,24.8,80,8,N,17,1018.6
,2025-03-11,20.5,24.4,0.2,,,E,28,14:30,20.9,100,8,SE,13,1020.4,23.4,93,8,E,15,1019.7
,2025-03-12,18.8,27.9,,,,S,17,12:08,20.8,100,8,SE,11,1023.0,26.9,68,7,SE,4,1019.6
,2025-03-13,17.9,32.3,0,,,NE,19,10:27,19.3,100,8, ,Calm,1020.2,30.8,52,, ,Calm,1016.6
,2025-03-14,17.6,37.0,0,,,N,15,11:35,22.0,100,,NNE,2,1019.6,35.2,35,, ,Calm,1016.0
,2025-03-15,20.9,39.1,0,,,,,,23.8,95,8,NW,2,1020.0,37.7,36,, ,Calm,1013.8
,2025-03-16,21.1,37.9,0,,,,,,27.9,55,3,NE,19,1011.4,36.8,27,,WNW,28,1006.9
,2025-03-17,16.7,24.2,0,,,,,,19.0,58,,S,19,1018.7,22.6,29,,ESE,26,1020.0
,2025-03-18,,,0,,,,,,,,,,,,,,,,,
,2025-03-19,,,0,,,,,,,,,,,,,,,,,
,2025-03-20,,35.2,0,,,,,,,,,,,,34.2,39,4,NNE,19,1014.8
,2025-03-21,17.3,27.9,,,,,,,20.7,99,8,NW,7,1015.3,25.5,81,,N,9,1012.6
,2025-03-22,20.7,28.7,2.8,,,ESE,28,16:20,21.5,86,8,SSW,9,1017.5,26.6,66,8,ENE,15,1015.4
,2025-03-23,19.8,22.0,7.6,,,E,20,00:22,20.2,100,8,SW,13,1021.1,21.3,99,8,SW,11,1019.6
,2025-03-24,18.8,25.1,6.6,,,,,,20.7,100,8,SW,6,1020.5,24.2,85,8,E,13,1018.7
,2025-03-25,20.5,25.7,0,,,,,,22.8,94,7,S,11,1022.9,24.3,75,8,ESE,20,1021.0
,2025-03-26,18.9,28.7,0,,,,,,19.7,100,8, ,Calm,1022.8,27.1,62,1,SE,7,1020.2
,2025-03-27,15.8,26.9,0,,,SE,30,14:26,19.4,99,8, ,Calm,1023.4,25.8,73,3,SE,13,1021.4
,2025-03-28,17.2,26.5,0.8,,,ENE,26,12:48,20.0,100,6,SW,7,1022.4,25.2,62,8,ENE,20,1019.3
,2025-03-29,17.9,23.7,34.6,,,SSW,30,16:02,18.3,100,8,SW,13,1012.4,21.1,100,8,SSW,11,1007.6
,2025-03-30,18.2,26.1,6.8,,,SSW,48,08:46,23.5,71,8,SW,24,1007.9,24.0,82,4,SSW,26,1007.8
,2025-03-31,18.8,25.0,3.0,,,,,,21.6,73,3,SSW,24,1011.7,23.9,63,8,SSE,28,1011.3
