"Daily Weather Observations for Richmond, New South Wales for April 2025"
"Prepared at 13:00 UTC on Sunday 12 April 2026   IDCJDW2119.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,17.1,23.9,0.2,,,SW,35,08:31,19.7,73,5,SW,19,1015.3,22.8,55,8,S,17,1013.0
,2025-04-2,13.6,24.9,,,,,,,15.7,95,7, ,Calm,1012.5,24.1,44,,NE,11,1007.8
,2025-04-3,10.0,27.5,0,,,ESE,30,17:33,14.1,99,,N,2,1011.6,26.9,34,,SSE,17,1009.1
,2025-04-4,11.3,27.6,0,,,SE,28,16:04,16.2,95,, ,Calm,1016.7,26.2,49,,ESE,13,1013.7
,2025-04-5,10.6,27.2,0,,,SSE,33,15:49,18.2,73,,NNW,11,1015.1,26.3,26,,SSW,9,1013.7
,2025-04-6,11.9,28.7,,,,,,,18.7,73,, ,Calm,1018.9,27.4,19,8,WNW,22,1013.3
,2025-04-7,10.4,28.3,0,,,SE,31,17:50,21.3,39,,NW,11,1018.3,27.1,30,,ENE,9,1015.5
,2025-04-8,15.8,24.1,0,,,ESE,31,16:08,19.6,70,8,SSW,7,1025.2,23.5,60,8,ESE,15,1022.4
,2025-04-9,14.3,26.3,0,,,ENE,31,16:05,19.4,91,7,NE,2,1025.6,25.1,56,,NE,17,1020.6
,2025-04-10,11.9,25.5,0,,,NE,15,13:48,15.8,100,8, ,Calm,1023.2,24.3,67,4,E,6,1019.8
,2025-04-11,12.2,30.2,0,,,SE,35,17:08,18.3,100,, ,Calm,1024.1,29.6,33,,NNE,15,1022.0
,2025-04-12,15.6,28.0,0,,,ESE,33,14:50,22.5,75,2,SSW,9,1030.9,25.8,56,1,ESE,20,1028.1
,2025-04-13,14.2,27.1,0,,,ENE,24,17:01,17.6,100,8,ENE,2,1030.4,26.4,53,,NE,11,1025.6
,2025-04-14,12.8,29.4,0.2,,,SSE,50,14:48,15.8,100,8, ,Calm,1025.9,26.4,50,8,SE,33,1022.3
,2025-04-15,15.6,,1.4,,,,,,20.2,77,8,SSW,17,1027.6,23.4,39,,S,17,1024.8
,2025-04-16,,,,,,,,,,,,,,,,,,,,
,2025-04-17,,26.5,,,,,,,,,,,,,25.4,39,4,SSE,13,1013.7
,2025-04-18,9.3,26.0,,,,NNE,13,12:37,18.8,78,, ,Calm,1015.4,25.7,37,, ,Calm,1011.7
,2025-04-19,9.3,30.3,0,,,NNE,7,10:43,17.5,84,, ,Calm,1013.4,30.2,36,1, ,Calm,1009.3
,2025-04-20,8.1,31.3,0,,,N,9,10:16,18.9,71,, ,Calm,1013.5,30.8,28,1, ,Calm,1009.2
,2025-04-21,13.2,27.7,0,,,,,,21.1,71,7, ,Calm,1011.3,26.9,26,, ,Calm,1009.4
,2025-04-22,9.3,24.8,0,,,,,,16.8,86,8,,,1015.4,20.2,99,3,,,1013.7
,2025-04-23,16.8,25.4,28.2,,,,,,21.2,93,3,,,1022.2,21.7,89,7,SE,9,1021.3
,2025-04-24,13.2,25.3,0.8,,,ESE,26,13:54,18.8,100,,NNE,2,1024.2,23.7,68,8,ESE,9,1020.1
,2025-04-25,14.0,24.3,0.4,,,ENE,26,15:16,16.3,100,8,ESE,6,1020.9,22.3,85,8,ENE,13,1016.6
,2025-04-26,14.8,24.3,0.4,,,E,54,22:28,16.3,100,8, ,Calm,1017.0,23.6,77,8,N,7,1013.3
,2025-04-27,16.1,21.3,26.4,,,SW,31,14:07,17.6,100,8,SW,15,1012.1,19.7,95,8,SW,20,1009.1
,2025-04-28,17.6,23.6,7.8,,,SSW,37,09:07,21.0,74,7,SSW,19,1014.9,22.0,71,7,S,9,1014.4
,2025-04-29,11.4,25.0,0,,,SSE,43,15:20,16.7,100,, ,Calm,1018.0,21.3,80,8,SSE,22,1015.8
,2025-04-30,14.9,19.0,16.4,,,S,43,11:11,17.0,87,8,SSW,17,1022.2,16.4,76,8,SSW,26,1022.9
