"Daily Weather Observations for Richmond, New South Wales for May 2025"
"Prepared at 13:00 UTC on Saturday 11 April 2026   IDCJDW2119.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,13.3,20.1,0.4,,,SW,41,08:38,16.6,69,1,SSW,24,1028.0,17.9,61,7,S,22,1027.1
,2025-05-2,9.8,20.9,4.4,,,ESE,35,14:33,13.6,99,8,NE,9,1033.2,16.5,93,8,ESE,13,1031.1
,2025-05-3,8.7,22.8,0.8,,,E,20,15:07,15.3,99,8, ,Calm,1035.3,22.0,52,,E,7,1032.4
,2025-05-4,8.1,23.0,0,,,NE,20,12:33,14.1,99,,ENE,6,1035.0,21.4,68,8,ENE,11,1030.7
,2025-05-5,11.8,24.9,0,,,NNE,30,13:14,16.0,99,,NE,7,1030.6,24.0,59,,ENE,17,1025.3
,2025-05-6,10.4,25.6,0,,,ENE,15,15:27,14.9,100,8, ,Calm,1024.9,24.7,72,,E,6,1020.2
,2025-05-7,9.9,27.8,0,,,,,,15.9,100,, ,Calm,1020.1,27.3,41,3,WNW,20,1015.5
,2025-05-8,8.7,21.4,,,,,,,16.8,82,,WSW,2,1024.6,20.3,62,3,E,20,1024.9
,2025-05-9,8.0,20.2,0,,,SE,24,15:28,12.9,95,5,NNE,2,1033.1,17.9,77,8,ENE,13,1030.5
,2025-05-10,10.6,21.9,0,,,E,26,19:39,12.9,100,8, ,Calm,1033.2,20.5,68,8,E,11,1029.3
,2025-05-11,12.8,21.1,2.2,,,,,,15.3,100,8, ,Calm,1030.7,18.0,99,8, ,Calm,1027.5
,2025-05-12,,,,,,,,,,,,,,,,,,,,
,2025-05-13,,,,,,,,,,,,,,,,,,,,
,2025-05-14,,23.4,,,,,,,,,,,,,22.4,70,1,SSE,6,1018.6
,2025-05-15,12.0,20.4,,,,SSE,33,15:49,16.1,100,8,SW,2,1022.1,19.8,84,7,SSE,9,1020.1
,2025-05-16,15.4,22.4,1.4,,,WSW,20,10:48,17.3,100,7,SSW,9,1019.1,21.1,80,8, ,Calm,1015.1
,2025-05-17,12.4,23.2,0,,,SE,30,16:04,14.1,100,7,NNE,6,1016.6,22.4,57,,SSE,6,1013.5
,2025-05-18,13.7,16.3,20.2,,,SW,35,20:51,14.4,94,8,WSW,7,1022.0,16.0,67,8,S,15,1022.1
,2025-05-19,11.3,17.7,25.4,,,SSE,48,13:08,14.2,85,7,SSW,20,1028.1,15.7,80,8,S,28,1028.0
,2025-05-20,12.9,20.5,0.4,,,SSW,33,08:17,15.9,85,7,S,19,1030.3,19.1,68,8,SE,22,1027.3
,2025-05-21,14.3,17.4,2.2,,,SSW,24,04:03,15.8,100,8,SW,13,1027.3,16.7,99,8,SW,7,1024.3
,2025-05-22,15.5,18.9,25.8,,,ESE,31,21:57,16.8,100,8,S,9,1019.4,17.6,100,8,ESE,9,1016.1
,2025-05-23,16.8,22.6,181.4,,,NNW,30,18:12,18.5,,8,SW,2,1014.9,21.6,99,8,NW,13,1010.4
,2025-05-24,9.8,22.0,0,,,WNW,35,13:25,17.3,91,3,N,17,1016.2,21.7,54,4,NW,11,1013.2
,2025-05-25,8.8,19.0,0,,,NNE,20,00:45,13.7,87,8,N,9,1019.6,18.1,67,5,N,9,1017.6
,2025-05-26,6.8,16.8,0,,,,,,10.4,100,,SSW,6,1019.4,14.1,79,8, ,Calm,1014.8
,2025-05-27,10.3,19.1,4.4,,,WNW,63,11:56,16.7,56,8,WNW,15,1009.6,17.3,41,,WNW,35,1006.9
,2025-05-28,5.4,21.4,0.2,,,WSW,30,01:07,13.5,68,,N,6,1015.7,20.5,41,,WSW,4,1013.3
,2025-05-29,6.6,17.8,0,,,S,26,11:39,15.2,59,8,SSW,13,1020.4,17.5,60,7,WSW,7,1019.8
,2025-05-30,5.6,20.4,0,,,ESE,17,17:54,10.6,91,,N,6,1025.5,19.5,52,,E,6,1024.2
,2025-05-31,6.1,21.0,0,,,N,20,14:20,9.8,97,7,E,7,1029.6,19.9,54,1,NNW,4,1027.2
