"Daily Weather Observations for Richmond, New South Wales for August 2025"
"Prepared at 13:00 UTC on Saturday  9 May 2026   IDCJDW2119.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,4.6,13.8,0,,,S,22,18:06,9.4,85,8,NNE,2,1024.2,13.2,75,8,WNW,2,1021.0
,2025-08-2,9.3,14.6,15.6,,,SE,46,21:34,11.5,96,8,SSW,13,1020.7,12.5,94,8,SW,17,1017.0
,2025-08-3,11.4,16.9,59.8,,,SSE,52,00:41,14.6,83,7,SSW,20,1021.6,14.8,94,8,SSW,15,1021.5
,2025-08-4,8.5,17.6,7.2,,,SSE,17,13:01,12.7,93,5,ENE,9,1023.4,16.7,80,3,SW,9,1020.5
,2025-08-5,7.3,21.5,0.2,,,NE,22,13:56,10.9,99,3,NE,2,1018.8,20.6,58,7,NE,11,1015.0
,2025-08-6,4.0,19.9,0.2,,,SSE,22,11:56,9.5,88,,N,2,1021.6,18.5,36,, ,Calm,1019.2
,2025-08-7,4.4,16.1,0.2,,,SE,22,15:56,9.4,89,8, ,Calm,1028.6,16.0,58,8,SE,11,1027.8
,2025-08-8,6.9,16.9,0,,,SSE,24,14:45,11.5,82,8, ,Calm,1033.4,16.6,54,8,SSE,19,1031.1
,2025-08-9,9.4,17.3,2.4,,,SSE,39,14:09,12.8,87,8,SSW,11,1033.3,13.5,94,8,SSW,7,1029.5
,2025-08-10,9.1,16.4,13.0,,,SE,39,12:42,13.0,87,7,SW,15,1030.0,15.3,69,8,SE,11,1027.2
,2025-08-11,5.9,17.4,0.6,,,SSE,26,10:31,10.9,86,8, ,Calm,1028.6,17.3,54,1,SW,13,1025.3
,2025-08-12,3.4,18.4,0,,,SE,17,18:07,7.8,97,5, ,Calm,1027.0,17.8,51,,NNW,9,1023.5
,2025-08-13,3.4,19.2,0,,,W,15,14:31,7.2,98,8, ,Calm,1026.1,18.0,52,8,WSW,4,1023.1
,2025-08-14,7.1,16.5,0.8,,,S,35,12:45,12.9,65,6,SSW,19,1026.5,14.3,84,8,S,19,1024.8
,2025-08-15,8.4,20.2,1.0,,,ENE,26,15:53,11.9,98,8, ,Calm,1022.4,19.1,60,,NNE,15,1016.3
,2025-08-16,7.3,20.5,0,,,WSW,56,13:20,14.9,59,, ,Calm,1013.4,18.6,34,1,W,33,1010.8
,2025-08-17,1.2,17.2,0,,,SSW,31,11:29,9.3,66,,NE,4,1019.3,16.6,33,,SSE,6,1017.1
,2025-08-18,1.8,16.3,0,,,SE,37,14:17,9.6,74,,ESE,6,1026.1,11.0,80,8,ESE,20,1027.4
,2025-08-19,6.1,18.1,4.6,,,SSE,31,15:12,11.3,88,7,S,2,1032.0,17.0,55,1,SSE,9,1028.7
,2025-08-20,8.8,14.0,5.2,,,SE,31,11:57,11.3,94,8,S,7,1032.5,12.5,94,8,S,11,1029.3
,2025-08-21,11.3,15.2,45.6,,,SE,28,12:05,13.0,97,8,SSW,9,1027.4,13.4,92,8, ,Calm,1024.4
,2025-08-22,9.9,17.7,10.0,,,S,20,10:18,12.7,92,8,SSW,6,1024.3,17.4,76,8,SSE,9,1019.8
,2025-08-23,8.8,21.6,0.4,,,SW,48,10:40,15.8,77,, ,Calm,1018.3,19.9,48,8,S,13,1017.9
,2025-08-24,9.0,20.4,0,,,SSW,35,10:11,15.0,49,,SW,17,1022.3,19.4,43,8,SSW,13,1017.6
,2025-08-25,10.9,23.0,0,,,S,24,11:46,15.5,73,8, ,Calm,1019.6,22.0,55,3,ESE,4,1016.4
,2025-08-26,8.7,25.9,0,,,NNE,41,13:12,12.2,99,8,W,2,1017.3,25.1,46,1,N,13,1009.2
,2025-08-27,12.1,21.6,0,,,NNW,59,13:52,21.5,46,8,NW,22,1002.9,17.0,51,7,NW,26,1003.1
,2025-08-28,8.5,19.8,0,,,W,69,14:48,15.6,39,,N,9,1007.0,18.7,30,,WNW,43,1005.5
,2025-08-29,9.0,21.4,0,,,NW,69,21:58,17.2,42,,W,24,1009.7,19.6,30,6,NW,35,1005.0
,2025-08-30,9.4,19.3,0.4,,,WNW,61,07:16,13.9,42,1,WSW,24,1008.1,17.6,35,1,WSW,31,1014.6
,2025-08-31,2.3,21.1,0,,,NE,26,13:16,11.0,68,, ,Calm,1026.4,20.7,37,,E,11,1021.7
