"Daily Weather Observations for Richmond, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2119.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,3.0,20.4,0,,,SE,28,16:54,10.2,83,,NNE,4,1024.8,19.9,35,,SE,9,1020.3
,2025-09-2,6.5,21.6,0,,,NNE,26,11:22,14.8,74,6, ,Calm,1024.8,21.0,41,,NNE,17,1019.5
,2025-09-3,3.6,23.1,0,,,W,39,15:15,13.4,65,,NNE,7,1022.6,22.6,27,,N,20,1017.7
,2025-09-4,8.3,24.6,0,,,WNW,48,15:35,16.1,50,,NW,7,1020.1,23.8,22,,WNW,24,1016.0
,2025-09-5,5.2,20.5,0,,,SE,35,14:08,13.7,68,,S,6,1027.4,18.3,52,8,ESE,22,1026.6
,2025-09-6,9.7,21.9,0,,,NE,28,15:15,15.7,62,,NNW,6,1032.1,21.4,43,,NE,17,1026.6
,2025-09-7,6.0,26.6,0,,,NE,37,14:47,14.1,78,,E,4,1026.0,26.0,35,,NNE,22,1019.4
,2025-09-8,13.9,29.5,0,,,WNW,50,16:08,23.1,39,,NW,13,1018.2,27.0,40,8,NNW,19,1013.1
,2025-09-9,14.9,26.0,1.2,,,WNW,41,12:59,20.2,62,8,NW,20,1015.6,24.4,54,2,N,19,1011.0
,2025-09-10,14.1,17.7,10.6,,,S,39,15:48,15.0,95,8, ,Calm,1009.8,16.4,95,8,SW,11,1004.0
,2025-09-11,10.4,18.6,34.8,,,SW,44,09:03,13.9,70,8,SW,24,1009.5,18.2,46,1,SSW,22,1013.6
,2025-09-12,6.3,20.8,0,,,SE,28,17:59,13.3,69,,ESE,4,1023.6,20.1,40,,S,6,1020.4
,2025-09-13,8.2,22.3,0,,,ENE,22,12:52,14.8,67,,ENE,6,1027.0,21.8,43,,ENE,9,1023.0
,2025-09-14,6.7,24.6,0,,,N,33,13:31,14.8,75,,NE,2,1025.6,24.3,33,,N,17,1019.1
,2025-09-15,5.5,28.1,0,,,WNW,39,12:09,18.4,52,,NE,11,1021.0,27.5,24,,WNW,22,1015.8
,2025-09-16,12.3,29.0,0,,,NNW,46,12:15,22.0,48,1,NE,19,1015.7,28.1,31,5,NNW,26,1010.3
,2025-09-17,14.6,26.2,0,,,WNW,44,15:29,21.5,55,,W,11,1015.6,25.3,22,,W,28,1013.4
,2025-09-18,5.9,22.4,0,,,ENE,26,15:32,15.0,46,,SE,2,1025.4,21.8,36,,E,13,1020.8
,2025-09-19,5.0,26.1,0,,,N,46,19:25,15.2,69,,NNE,6,1020.7,24.7,36,6,SW,6,1013.9
,2025-09-20,15.1,23.0,0.4,,,WNW,57,11:05,21.2,37,,WNW,28,1008.0,21.4,30,,WNW,28,1008.6
,2025-09-21,4.2,23.2,0,,,W,37,15:46,15.8,53,,NE,6,1017.8,22.7,34,,WNW,22,1013.2
,2025-09-22,5.9,23.2,0,,,SSW,50,20:28,18.5,50,,WSW,6,1018.3,21.2,37,8,S,13,1016.8
,2025-09-23,4.3,19.7,8.2,,,SSW,39,08:52,13.9,45,,SSW,26,1027.0,18.5,34,,SSE,13,1022.9
,2025-09-24,4.3,27.2,0,,,WSW,39,14:26,15.3,65,,SE,4,1018.9,27.0,22,,NW,11,1014.0
,2025-09-25,7.2,26.3,0,,,WSW,46,12:16,16.7,55,,NNE,11,1016.9,25.9,24,,WNW,20,1012.4
,2025-09-26,14.7,28.6,0,,,WNW,56,12:22,20.1,38,,N,24,1014.3,28.1,25,,WNW,20,1010.3
,2025-09-27,15.3,27.9,0,,,,,,20.4,44,,NNW,11,1014.8,27.6,33,,NNE,19,1010.3
,2025-09-28,12.6,,0,,,,,,22.7,52,,ESE,15,1013.4,24.4,58,6,SE,20,1011.4
,2025-09-29,16.0,25.0,0,,,SSE,24,17:39,18.6,75,8,SW,11,1019.8,24.5,43,,ENE,6,1014.5
,2025-09-30,12.2,30.3,0,,,NNE,37,14:23,20.4,74,,ENE,15,1013.8,29.9,36,,NNE,20,1005.5
