"Daily Weather Observations for Richmond, New South Wales for October 2025"
"Prepared at 16:00 UTC on Thursday  7 May 2026   IDCJDW2119.202510"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-10-1,13.7,26.4,0,,,WSW,56,11:48,22.2,32,,W,11,1007.9,25.6,24,,WSW,24,1006.7
,2025-10-2,7.0,26.0,0,,,W,78,15:31,20.9,33,,N,22,1008.2,22.8,28,5,W,37,1007.5
,2025-10-3,8.5,26.5,0,,,WNW,43,15:07,19.2,33,,SW,20,1017.2,25.6,27,,WNW,26,1013.8
,2025-10-4,6.9,25.0,0,,,ENE,28,16:38,18.0,53,,ENE,4,1025.3,24.2,33,,NNE,13,1021.4
,2025-10-5,10.4,31.1,0,,,,,,15.3,82,,NE,6,1021.3,30.3,22,,NW,24,1014.8
,2025-10-6,15.2,32.0,0,,,W,52,11:27,23.9,34,6,N,9,1011.2,30.6,23,5,WNW,30,1009.1
,2025-10-7,14.8,23.9,0.6,,,,,,17.2,78,8, ,Calm,1017.7,23.4,65,8,ENE,17,1012.7
,2025-10-8,12.0,33.3,0,,,,,,18.7,68,, ,Calm,1013.2,30.9,37,3,ESE,13,1006.9
,2025-10-9,18.7,28.1,0,,,NW,56,14:29,23.7,53,8,NE,15,1010.0,27.5,41,8,NW,17,1010.3
,2025-10-10,13.2,30.6,0,,,WNW,54,10:31,22.8,56,,N,20,1014.5,30.0,18,,WSW,22,1011.1
,2025-10-11,9.8,30.6,0,,,WNW,54,12:17,21.8,44,,N,15,1012.5,29.7,16,,WSW,31,1009.8
,2025-10-12,10.8,32.4,0,,,WSW,67,14:02,23.4,34,,NE,7,1011.4,26.9,26,8,WSW,44,1011.0
,2025-10-13,11.6,25.4,0,,,SE,44,13:59,20.2,38,,W,20,1016.4,22.9,45,,SE,33,1015.8
,2025-10-14,10.3,28.4,0,,,WNW,37,14:23,17.9,58,,N,19,1020.0,26.8,27,,W,7,1014.9
,2025-10-15,10.0,29.7,0,,,E,31,16:41,18.4,65,,N,4,1023.0,28.4,26,,ESE,17,1017.9
,2025-10-16,11.4,33.7,0,,,WSW,39,14:53,19.1,73,,NE,6,1020.9,32.8,28,,ENE,17,1014.0
,2025-10-17,15.4,35.0,0,,,SE,52,18:19,28.1,47,1,N,24,1012.3,33.9,32,1,N,31,1007.9
,2025-10-18,15.8,26.2,0.4,,,ESE,39,15:39,19.7,70,8,WSW,7,1016.1,26.1,45,1,ESE,20,1013.2
,2025-10-19,14.0,29.9,0,,,NNE,33,09:24,20.5,62,,N,13,1018.1,28.2,33,,ENE,19,1011.4
,2025-10-20,13.5,37.4,0,,,SSE,35,21:52,21.2,72,1,N,7,1012.4,36.0,25,,N,17,1006.0
,2025-10-21,18.3,28.9,0,,,SSE,37,13:36,21.0,63,1,ENE,7,1016.1,26.2,41,,SE,26,1011.4
,2025-10-22,16.4,39.4,0,,,NW,74,12:33,20.6,73,1,NNE,13,1003.8,37.0,25,8,NW,33,996.1
,2025-10-23,16.4,25.2,0,,,WNW,41,00:30,20.7,40,,S,13,1014.4,22.5,47,1,SE,19,1013.3
,2025-10-24,16.1,27.8,0,,,SSE,43,13:45,21.4,58,,E,4,1013.5,25.7,42,,SE,31,1011.1
,2025-10-25,13.0,26.2,0,,,NNE,28,15:29,18.4,69,2,N,15,1017.3,24.4,40,8,E,17,1012.4
,2025-10-26,13.9,28.8,0,,,WNW,69,15:35,20.3,61,8,NNE,6,1007.6,24.8,40,8,WNW,2,1001.9
,2025-10-27,14.1,27.9,0,,,W,52,10:22,22.6,43,,NW,7,1002.5,22.3,50,8,SE,31,1003.8
,2025-10-28,12.2,15.1,0.2,,,SSE,39,23:57,13.5,61,8,SW,13,1021.5,13.1,84,8,NW,9,1020.3
,2025-10-29,11.6,17.5,7.2,,,SW,20,08:33,13.1,93,8,SW,9,1019.1,17.0,80,8,SSW,2,1016.4
,2025-10-30,12.8,25.4,3.6,,,SE,31,15:08,16.7,82,2,N,7,1017.6,24.2,46,4,E,11,1014.4
,2025-10-31,13.8,28.5,0.4,,,SSW,35,17:55,18.3,85,5,W,6,1019.6,26.9,45,1,NE,19,1014.9
