"Daily Weather Observations for Richmond, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2119.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,14.9,22.2,17.6,,,W,41,08:26,17.4,93,8,SW,9,1016.7,18.8,89,8,NNW,13,1014.5
,2025-11-2,13.8,25.6,4.4,,,NE,22,15:33,18.5,85,8,SW,11,1015.1,24.7,67,1,ENE,9,1011.1
,2025-11-3,17.3,34.9,0,,,WSW,50,21:49,20.0,91,8,NNE,6,1005.6,34.0,43,,ENE,17,998.9
,2025-11-4,16.3,23.0,0.4,,,WNW,59,12:56,20.3,44,1,NW,19,1007.1,20.6,33,8,W,31,1006.5
,2025-11-5,10.1,26.9,0.2,,,W,41,12:32,18.5,43,,WNW,20,1014.2,25.5,21,,WNW,20,1011.9
,2025-11-6,8.6,28.6,0,,,E,39,16:41,17.7,59,,N,2,1019.3,27.2,30,,ENE,13,1013.7
,2025-11-7,14.6,31.8,0,,,ENE,30,14:56,19.4,74,6,N,6,1013.5,30.6,35,,E,19,1007.8
,2025-11-8,17.7,35.6,0,,,NNW,54,11:39,26.2,55,8,NE,15,1005.0,34.9,29,1,NW,31,998.5
,2025-11-9,14.4,25.2,0,,,ESE,41,16:06,19.0,42,,SW,17,1010.4,23.1,35,8,E,15,1009.6
,2025-11-10,11.6,27.0,0,,,E,35,16:05,19.4,54,,NNE,11,1015.9,26.1,33,,ESE,13,1011.4
,2025-11-11,11.2,29.2,0,,,WNW,59,14:35,19.6,57,,NE,7,1012.4,27.3,19,7,W,31,1007.3
,2025-11-12,5.4,25.4,0,,,E,30,17:17,16.0,32,,NW,7,1020.2,23.3,20,,SE,7,1015.2
,2025-11-13,7.2,30.5,0,,,WNW,31,15:26,17.2,49,,ENE,6,1014.8,30.1,16,,ENE,4,1007.3
,2025-11-14,15.3,29.0,0,,,ESE,39,14:44,20.4,67,7,S,7,1010.3,27.9,42,,E,24,1006.6
,2025-11-15,18.1,32.6,0,,,NNW,59,14:20,21.1,72,8,W,4,1011.0,30.3,47,1,E,24,1003.2
,2025-11-16,18.7,32.3,4.6,,,W,50,13:56,23.5,54,7,SSE,9,1003.6,31.7,22,,WSW,31,999.8
,2025-11-17,16.6,25.4,0,,,WSW,52,08:25,21.3,35,,WNW,17,1002.2,23.3,28,7,WSW,22,1002.1
,2025-11-18,9.4,31.3,0,,,ENE,35,16:36,20.7,41,,S,6,1010.1,29.6,25,,E,17,1005.8
,2025-11-19,12.1,34.7,0,,,ENE,35,15:41,21.8,51,,N,2,1011.4,33.0,23,,ENE,11,1005.8
,2025-11-20,14.0,28.9,0,,,ESE,43,16:10,20.5,76,8,ESE,7,1011.5,27.4,52,5,SSE,28,1008.6
,2025-11-21,15.2,19.1,0.2,,,S,24,02:27,15.2,94,8,SW,15,1020.4,16.0,93,8,SW,15,1020.3
,2025-11-22,15.1,22.5,1.2,,,ESE,30,12:09,19.0,84,8,SSW,9,1019.3,19.8,88,8,SSE,6,1016.0
,2025-11-23,18.4,34.4,7.8,,,W,44,13:40,19.7,92,8, ,Calm,1008.9,32.7,28,1,W,24,1003.0
,2025-11-24,15.8,28.4,0,,,ESE,41,13:54,21.5,81,8, ,Calm,1008.0,26.8,52,,ESE,24,1005.3
,2025-11-25,16.9,36.9,0,,,WSW,35,13:54,22.7,61,,NNE,7,1001.5,36.7,27,7,WSW,22,995.9
,2025-11-26,19.3,36.2,0,,,WSW,72,11:49,30.7,40,,NNW,26,999.6,31.6,42,5,N,31,993.6
,2025-11-27,14.9,31.5,11.0,,,W,57,10:04,24.4,51,,NE,4,1002.2,31.2,21,,WNW,30,1001.1
,2025-11-28,15.5,34.2,0,,,W,31,12:21,22.3,62,,NNE,6,1009.4,32.9,20,,ESE,11,1003.1
,2025-11-29,18.5,33.7,0,,,WNW,85,10:04,28.6,36,8,NW,30,1000.1,32.3,28,,WNW,37,997.6
,2025-11-30,16.1,29.6,0,,,WNW,63,15:48,22.0,58,1,NNE,11,1006.4,28.1,22,6,WNW,44,1002.3
