"Daily Weather Observations for Richmond, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2119.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,11.6,24.8,0,,,W,52,11:39,20.8,34,,NW,11,1006.7,22.5,28,8,WNW,28,1003.5
,2025-12-2,9.6,26.3,0,,,SSW,41,10:23,18.7,36,,WSW,24,1011.1,24.1,29,5,SSE,6,1011.3
,2025-12-3,10.6,31.2,0,,,ENE,35,12:42,19.7,56,,ENE,9,1020.0,29.1,25,,ENE,17,1015.3
,2025-12-4,12.6,36.9,0,,,ENE,39,16:25,21.6,56,,N,7,1018.8,35.0,12,,NE,19,1012.1
,2025-12-5,12.9,39.8,0,,,,,,26.0,34,,ENE,6,1013.9,39.0,12,,NNW,13,1008.9
,2025-12-6,,41.7,,,,,,,,,,,,,40.6,14,8,NNW,30,1001.6
,2025-12-7,21.9,25.5,,,,ESE,39,13:54,22.2,67,8,SE,20,1009.3,23.8,51,8,SE,22,1010.8
,2025-12-8,16.0,32.5,0,,,ENE,43,12:10,19.7,76,7,N,9,1015.3,30.6,37,,ENE,13,1009.1
,2025-12-9,16.3,38.2,0,,,SE,44,15:06,24.1,64,,NE,4,1013.3,36.7,15,,ESE,15,1009.8
,2025-12-10,19.7,30.5,0,,,ESE,37,17:13,22.0,64,8,SW,11,1021.0,28.7,47,1,NNE,9,1015.8
,2025-12-11,18.4,24.9,0.4,,,ESE,31,11:25,20.6,74,8,SSW,17,1020.6,23.1,56,8,SSE,17,1019.9
,2025-12-12,17.5,23.0,19.8,,,E,30,14:35,20.7,92,8,S,9,1017.9,22.1,75,8,E,15,1016.3
,2025-12-13,16.2,30.0,4.6,,,SW,31,16:16,18.8,87,8,N,11,1012.9,29.6,41,3,E,11,1006.5
,2025-12-14,18.4,34.3,18.2,,,WNW,50,14:04,22.3,81,,SSE,6,1005.8,33.6,29,,WNW,30,1001.9
,2025-12-15,18.3,27.5,0.2,,,ESE,44,14:13,21.0,68,8,SE,6,1013.8,25.8,52,8,ESE,22,1012.2
,2025-12-16,16.0,22.4,3.0,,,SSE,26,02:20,17.9,86,8,N,6,1022.1,20.3,73,8,ESE,11,1021.9
,2025-12-17,16.8,31.0,0,,,E,31,17:14,22.4,70,1,NE,9,1024.2,29.7,48,,ENE,13,1018.9
,2025-12-18,17.1,39.3,0,,,E,35,16:54,23.2,73,,ESE,6,1017.9,38.1,28,,NNE,13,1010.7
,2025-12-19,19.6,42.0,0,,,S,83,14:38,30.9,52,,NE,9,1010.0,40.8,19,4,N,13,1005.2
,2025-12-20,21.8,33.6,10.4,,,WNW,28,05:18,23.3,85,8,SSW,6,1010.2,31.9,49,8,ENE,13,1005.4
,2025-12-21,22.6,41.0,0.2,,,WNW,50,12:33,28.8,62,3,E,6,1005.4,37.8,29,8,WSW,20,999.4
,2025-12-22,24.4,34.4,0,,,SE,50,16:05,27.3,59,5,WNW,6,1005.4,32.4,34,1,N,13,1004.0
,2025-12-23,18.8,34.3,0,,,ESE,54,15:31,23.8,72,,SSW,6,1008.6,33.9,18,,SSW,19,1006.5
,2025-12-24,17.5,35.6,0,,,SSW,48,15:17,24.1,58,,N,19,1011.5,32.5,25,,ENE,13,1005.8
,2025-12-25,17.6,27.2,0,,,SE,46,14:33,22.6,61,6,SE,7,1011.3,23.7,50,2,SE,33,1008.9
,2025-12-26,14.2,19.1,0.2,,,SE,41,15:25,14.2,86,8,S,13,1015.4,17.0,57,8,SSE,19,1015.7
,2025-12-27,10.1,25.0,0,,,E,35,14:10,18.0,54,,S,11,1017.9,23.3,36,,ESE,17,1014.3
,2025-12-28,13.2,24.8,0,,,SE,41,11:59,19.4,45,,SSW,20,1020.2,22.6,42,7,SE,22,1020.0
,2025-12-29,10.8,27.6,0,,,SE,43,16:32,19.5,58,1,ESE,2,1021.3,25.9,33,,ESE,20,1017.2
,2025-12-30,12.5,31.7,0,,,ESE,30,16:37,19.5,59,,N,7,1015.5,30.0,23,,SE,6,1009.0
,2025-12-31,14.2,27.1,0,,,NE,74,15:09,19.6,68,1,W,7,1010.8,26.7,41,8,SE,15,1009.6
