"Daily Weather Observations for Richmond, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2119.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the RAAF base, but evaporation from the Hawkesbury campus of the University of Western Sydney."
"These evaporation observations will generally be available about month after they are made."
"Temperature, humidity, wind, pressure, cloud and rainfall observations are from Richmond RAAF {station 067105}"
"Evaporation observations are from Richmond - UWS Hawkesbury {station 067021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,23.1,31.1,2.0,,,SSE,48,15:39,25.4,82,8,NE,7,1003.8,30.7,62,8,ESE,17,1004.5
,2026-02-2,16.2,23.2,20.2,,,SE,43,14:41,17.5,51,8,S,20,1021.0,21.8,43,5,SSE,24,1022.5
,2026-02-3,15.3,24.7,1.2,,,SSW,24,00:27,18.0,82,8,SW,6,1025.8,23.8,52,7,ENE,11,1023.4
,2026-02-4,15.8,31.8,0,,,E,30,17:09,20.4,80,, ,Calm,1021.3,29.4,45,,NE,11,1016.1
,2026-02-5,18.4,38.2,0,,,S,46,16:51,23.8,72,,NE,6,1016.8,37.9,26,1,NE,13,1013.1
,2026-02-6,19.7,32.5,1.2,,,NNE,63,16:49,23.1,71,5,NW,2,1020.3,27.5,59,8,W,20,1016.9
,2026-02-7,18.4,36.2,0.2,,,NE,30,15:31,24.7,70,,SSE,4,1017.9,35.1,37,2,NE,7,1013.7
,2026-02-8,21.0,22.6,1.2,,,SSW,30,01:33,21.3,91,8,WSW,9,1017.4,22.1,88,8,W,9,1015.5
,2026-02-9,20.5,29.9,5.4,,,S,30,18:42,21.1,94,8,N,9,1013.1,27.0,71,2,N,11,1011.1
,2026-02-10,21.0,30.4,1.0,,,E,19,12:41,24.1,79,6,SW,6,1016.8,29.2,54,1,NE,11,1013.0
,2026-02-11,21.0,36.4,0,,,ENE,30,14:25,24.4,82,2,N,6,1012.9,35.3,42,,NE,17,1005.7
,2026-02-12,21.5,28.1,0,,,SE,52,14:34,25.5,74,7,S,17,1002.6,24.1,69,8,SE,35,1005.0
,2026-02-13,16.5,22.0,1.4,,,SE,24,13:59,18.4,70,8,SSW,11,1016.9,21.7,59,8,SE,17,1017.0
,2026-02-14,16.6,23.2,1.4,,,ESE,33,16:07,17.8,95,8,SW,7,1021.7,22.2,73,8,SW,13,1019.8
,2026-02-15,16.7,24.2,12.8,,,SE,30,12:40,18.2,93,8,SSW,9,1020.4,21.3,73,8,S,13,1017.8
,2026-02-16,17.3,27.8,4.0,,,ESE,33,15:13,19.8,83,2,SW,9,1018.0,26.4,48,8,SE,13,1014.7
,2026-02-17,15.8,31.2,0,,,NE,33,14:17,20.5,83,1,E,4,1014.3,29.8,43,,NE,19,1008.2
,2026-02-18,16.7,36.9,0,,,W,78,15:27,23.3,75,,NE,6,1006.6,35.2,35,8,NW,24,1004.6
,2026-02-19,21.5,32.3,6.2,,,ESE,31,15:12,22.7,80,8, ,Calm,1014.8,30.6,56,,E,11,1012.6
,2026-02-20,22.6,27.8,0,,,ENE,26,16:37,24.0,72,8,NNE,9,1018.2,26.5,65,8,NNE,6,1015.0
,2026-02-21,20.5,35.3,0,,,S,48,15:10,24.9,84,8,SSW,2,1011.5,34.4,46,2,NNE,13,1007.2
,2026-02-22,21.5,34.7,2.0,,,SW,30,16:11,24.4,82,6,NNE,15,1011.2,34.0,45,,ESE,6,1005.8
,2026-02-23,23.1,31.0,0.2,,,ESE,35,15:53,25.1,87,6,NW,2,1010.9,29.8,58,8,ENE,9,1012.2
,2026-02-24,22.2,32.9,0.2,,,E,31,15:57,24.0,83,8,SW,2,1018.0,31.9,50,,ENE,11,1014.3
,2026-02-25,19.4,32.6,0,,,SE,41,15:32,22.9,85,, ,Calm,1014.5,31.4,49,2,S,13,1012.5
,2026-02-26,19.9,26.2,0.2,,,SSE,28,16:26,20.2,93,8,SW,11,1018.8,25.6,72,8,SSW,9,1016.5
,2026-02-27,19.4,22.1,42.8,,,SSE,33,12:52,20.1,95,8,SW,13,1018.5,21.2,93,8,SSE,15,1018.1
,2026-02-28,19.9,26.2,5.4,,,ESE,30,15:52,21.0,90,8,SSE,9,1019.7,24.9,60,8,SSE,13,1017.2
