"Daily Weather Observations for Sydney Airport, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2125.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,20.1,26.8,4.2,7.0,1.7,ESE,33,23:29,21.3,91,8,SW,7,1017.3,25.3,61,7,SSE,13,1015.5
,2026-03-2,21.3,28.9,0,3.4,0.7,NE,61,21:10,25.1,67,7,NNE,17,1013.9,27.3,57,7,NNE,35,1010.5
,2026-03-3,21.3,26.2,2.0,6.8,0.3,NNE,50,23:08,23.5,74,8,NNE,20,1012.2,24.8,72,7,ENE,13,1011.0
,2026-03-4,21.5,30.0,0,3.6,4.7,NE,41,16:56,24.1,79,7,W,9,1013.3,28.6,63,4,E,19,1010.9
,2026-03-5,22.0,29.4,2.2,5.6,7.7,S,28,00:57,23.1,91,7,SSE,11,1013.9,28.5,63,2,SE,17,1011.3
,2026-03-6,22.2,26.3,0,4.4,9.6,SSW,44,17:20,23.8,91,4,S,24,1014.0,25.8,84,4,S,22,1012.9
,2026-03-7,23.3,29.7,0,6.4,6.3,SSW,54,20:37,26.0,74,6,N,7,1012.5,27.8,66,7,NE,20,1009.7
,2026-03-8,19.9,23.5,3.6,5.6,4.8,SSW,61,12:53,21.1,87,7,SSW,39,1013.8,21.0,93,8,SSW,37,1013.2
,2026-03-9,20.2,25.3,11.2,5.2,0.2,SSW,46,15:23,23.5,75,7,SE,26,1013.5,22.1,83,8,S,22,1012.1
,2026-03-10,20.2,25.6,16.2,2.6,6.5,SSW,33,02:55,21.6,92,7,WSW,9,1013.2,24.1,78,7,SSE,15,1012.2
,2026-03-11,20.2,29.7,0,3.0,11.1,NE,52,15:36,24.0,76,1,NNW,17,1011.8,29.2,56,1,NE,30,1006.0
,2026-03-12,21.9,25.0,0,9.2,10.4,SSW,50,05:38,22.6,79,1,S,31,1007.4,23.8,60,4,SSE,28,1008.5
,2026-03-13,17.7,21.7,4.6,8.2,5.7,S,61,12:58,19.1,83,7,SSW,19,1018.5,20.8,64,4,S,43,1021.3
,2026-03-14,17.4,25.0,0.2,7.6,10.4,S,31,23:35,20.3,62,2,SSW,13,1028.8,24.4,47,3,SE,20,1026.3
,2026-03-15,16.5,27.4,0,6.6,10.7,NE,48,17:25,20.4,69,1,NW,13,1025.3,26.6,47,1,NNE,26,1021.0
,2026-03-16,19.2,29.5,0,9.4,7.9,NNE,48,17:11,22.5,72,3,NW,13,1020.0,28.2,44,8,NE,30,1016.1
,2026-03-17,21.7,30.5,0,7.0,,S,52,15:24,23.7,67,7,NW,11,1015.6,29.7,42,8,WSW,15,1015.5
,2026-03-18,20.1,23.0,,,,SSE,39,00:25,20.7,91,7,SSW,28,1022.0,22.1,85,7,S,22,1020.1
,2026-03-19,20.0,25.9,,,,SSW,28,11:41,21.4,93,8,WSW,9,1018.2,25.3,68,,SE,15,1016.0
,2026-03-20,19.2,25.1,22.2,,9.2,SSE,39,09:41,21.7,85,2,SSW,15,1018.6,24.4,78,5,S,24,1018.0
,2026-03-21,20.1,27.4,0.6,4.6,6.3,ESE,37,13:47,21.9,88,5,WSW,7,1020.2,26.1,62,7,E,26,1018.8
,2026-03-22,18.6,27.1,2.0,3.2,8.8,SE,39,08:20,22.1,89,5,WSW,11,1022.2,26.1,62,4,SSE,17,1020.8
,2026-03-23,19.8,26.8,17.6,7.0,10.2,ENE,41,00:05,21.9,91,5,SSW,11,1022.0,26.5,58,2,ENE,26,1020.2
,2026-03-24,20.0,27.5,1.8,5.0,10.1,ENE,31,11:27,21.8,87,3,WSW,7,1020.7,26.4,51,1,E,22,1017.9
,2026-03-25,19.8,28.9,1.0,6.6,10.3,ENE,33,15:10,22.1,75,0,NW,11,1016.4,27.2,57,,ENE,24,1013.0
,2026-03-26,20.1,30.9,0,5.8,5.9,WSW,72,17:11,22.5,75,6,WNW,15,1011.2,29.7,41,7,NNE,11,1004.3
,2026-03-27,12.4,17.5,24.6,8.6,0.1,W,65,15:26,12.7,79,7,W,33,1003.6,14.9,66,7,W,48,1002.7
,2026-03-28,12.0,20.9,6.2,3.4,8.1,SSW,56,11:23,15.5,56,7,W,31,1015.4,20.1,54,4,SSW,33,1015.4
,2026-03-29,15.2,21.9,0,5.2,10.9,S,39,09:44,18.2,63,1,WSW,19,1021.8,21.1,67,1,S,26,1020.8
,2026-03-30,16.4,24.2,0,4.8,8.3,ENE,30,15:03,18.2,83,7,SW,9,1025.5,23.6,56,2,E,20,1023.3
,2026-03-31,16.2,25.6,0,4.0,9.9,ENE,33,13:55,18.3,76,5,WNW,7,1026.2,24.6,54,4,ENE,28,1022.9
