"Daily Weather Observations for Sydney Airport, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2125.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,17.5,26.8,0,6.6,10.8,ENE,37,13:47,21.1,74,1,WNW,9,1024.8,25.7,54,1,NE,26,1021.7
,2026-04-2,17.6,27.5,0,7.4,10.7,ENE,35,15:36,20.4,82,3,NW,9,1024.2,26.5,48,1,ENE,24,1021.5
,2026-04-3,18.2,23.5,0,4.0,7.0,S,52,13:53,21.0,88,4,SSW,11,1022.8,22.7,77,7,S,39,1022.2
,2026-04-4,18.0,20.4,9.2,4.6,0.8,SSW,52,13:30,18.5,91,7,S,30,1026.1,19.2,82,8,SSW,35,1024.7
,2026-04-5,16.0,22.1,15.8,4.6,3.9,SSE,39,13:27,18.4,80,7,SW,13,1026.7,20.2,61,7,E,15,1024.2
,2026-04-6,14.5,22.5,0.2,3.6,4.1,NW,26,11:06,18.9,70,7,WNW,13,1021.3,18.9,73,8,NNE,7,1017.1
,2026-04-7,14.6,29.6,0.6,2.0,9.9,NE,26,14:41,21.8,68,1,NW,15,1012.8,27.8,46,3,NE,17,1008.8
,2026-04-8,17.6,26.2,0,4.8,10.0,SSW,28,00:05,22.2,77,2,WNW,6,1016.1,24.6,68,6,SE,17,1014.3
,2026-04-9,18.7,30.5,0,2.8,10.3,NE,33,17:04,23.7,72,1,NW,11,1017.6,28.2,55,1,NE,24,1013.4
,2026-04-10,20.0,29.8,0,6.6,4.3,WNW,39,11:06,26.7,50,7,NNW,9,1012.9,29.4,40,7,N,24,1008.5
,2026-04-11,18.9,25.1,0,7.6,10.5,WSW,56,17:36,20.8,41,1,SW,22,1009.3,23.9,34,1,SW,30,1006.6
,2026-04-12,12.0,21.4,0,6.8,10.4,WSW,63,09:48,15.7,45,1,W,26,1010.7,20.7,29,1,WSW,30,1009.4
,2026-04-13,12.4,22.2,0,7.4,10.9,WSW,41,01:04,17.2,51,1,WSW,30,1018.0,20.8,44,1,S,15,1016.9
,2026-04-14,13.3,23.5,0,4.6,11.0,W,35,05:38,18.2,55,1,W,13,1021.2,22.6,43,1,ESE,17,1018.5
,2026-04-15,12.6,25.5,0,4.4,10.8,WSW,37,11:59,19.6,54,1,W,20,1019.9,23.2,49,0,SE,17,1017.3
,2026-04-16,14.7,28.5,0,4.8,9.6,N,28,11:40,19.8,66,1,WNW,15,1019.4,27.9,27,2,W,9,1013.9
,2026-04-17,14.8,27.0,0,5.0,5.0,S,70,21:55,20.2,52,6,NW,9,1013.9,27.0,29,7,S,6,1009.7
,2026-04-18,12.1,19.2,0,5.0,10.7,S,41,18:08,15.6,45,1,WSW,22,1019.5,18.2,47,1,S,26,1018.2
,2026-04-19,10.3,20.3,0,5.2,10.7,S,48,19:24,16.5,62,1,WNW,11,1022.7,19.2,51,1,S,26,1020.5
,2026-04-20,11.8,20.8,0,4.4,10.2,SSW,54,11:06,17.8,64,1,WNW,13,1025.2,20.1,66,6,S,31,1023.8
,2026-04-21,15.7,20.4,0.2,4.0,3.3,S,48,13:10,17.6,72,7,SW,22,1028.0,17.8,83,7,S,15,1026.2
,2026-04-22,16.4,22.7,0.6,3.2,6.7,SSE,39,03:03,19.5,60,7,S,17,1027.3,20.1,58,1,SSE,22,1026.3
,2026-04-23,13.7,23.0,0,5.2,7.3,SSE,30,11:08,19.9,55,7,SSE,17,1029.6,21.2,54,6,SSE,19,1029.3
,2026-04-24,14.9,22.6,0,4.6,7.3,ESE,26,10:34,19.5,62,1,S,9,1032.9,21.0,68,6,SSE,17,1031.0
,2026-04-25,14.6,25.2,1.0,4.4,9.0,ENE,33,14:06,18.7,77,3,NW,19,1032.1,24.2,49,1,NE,22,1027.4
,2026-04-26,14.3,24.7,0,5.2,10.1,NE,33,16:37,19.9,71,1,NW,13,1026.8,22.9,43,1,NE,24,1022.6
,2026-04-27,12.3,25.0,0,6.0,10.2,ENE,30,15:34,17.8,65,1,WNW,13,1025.1,23.3,49,2,ENE,20,1023.5
,2026-04-28,14.0,24.9,0,2.8,10.5,ENE,30,13:46,18.8,69,1,WNW,11,1028.2,23.1,47,1,ENE,19,1024.9
,2026-04-29,14.1,25.5,0,5.4,9.9,ENE,35,22:19,18.5,66,4,WNW,13,1029.4,23.7,57,6,ENE,20,1028.0
,2026-04-30,16.9,25.0,4.0,2.0,,NE,35,15:34,21.2,72,1,NW,9,1031.6,22.4,64,4,ENE,22,1028.7
