"Daily Weather Observations for Wagga Wagga, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2139.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,8.8,20.0,0,,,W,65,15:27,14.8,54,6,WNW,22,1007.9,18.6,30,8,W,33,1004.2
,2025-12-2,7.0,23.2,0.2,,,WSW,46,15:02,13.7,51,,SSW,17,1014.2,22.3,26,,WSW,20,1013.8
,2025-12-3,5.3,29.6,0,,,WNW,35,13:37,18.0,43,,ENE,7,1019.1,27.4,21,,WSW,22,1016.5
,2025-12-4,10.6,34.7,0,,,NW,46,13:36,23.4,35,,ENE,11,1017.8,32.9,11,3,W,20,1012.1
,2025-12-5,11.9,39.2,0,,,W,63,17:51,27.7,18,,E,11,1012.2,38.8,8,,NW,24,1007.2
,2025-12-6,22.2,35.9,0,,,WNW,83,15:09,28.0,23,4,N,9,1006.1,33.3,16,4,WNW,30,1003.0
,2025-12-7,11.0,25.1,0,,,WSW,41,23:59,16.2,36,,SSW,19,1012.7,23.0,15,,WSW,19,1011.2
,2025-12-8,7.1,29.8,0,,,SW,31,13:41,18.2,46,,ENE,13,1013.9,28.1,15,,WSW,15,1010.7
,2025-12-9,9.6,34.8,0,,,WNW,46,13:23,23.0,26,,E,4,1014.3,33.2,16,,W,22,1012.1
,2025-12-10,17.5,34.4,0,,,SSW,59,16:50,24.1,47,,E,13,1017.7,32.3,19,2,WSW,28,1015.1
,2025-12-11,16.6,31.6,0,,,ENE,63,17:33,23.5,41,,ENE,20,1017.4,29.8,33,,E,20,1013.3
,2025-12-12,17.0,31.4,1.8,,,ENE,50,19:00,21.9,55,5,ENE,28,1015.7,29.3,34,4,ENE,20,1010.8
,2025-12-13,17.7,22.6,0,,,ENE,39,23:07,21.8,52,8,ENE,19,1010.2,19.8,82,7,ENE,13,1009.4
,2025-12-14,12.4,30.4,2.6,,,W,61,14:50,18.2,90,8,NNW,6,1007.7,29.1,16,,W,37,1004.8
,2025-12-15,8.7,27.0,0,,,W,48,12:57,15.9,45,,WSW,7,1014.0,25.4,14,,W,26,1013.7
,2025-12-16,8.2,32.5,0,,,ENE,39,22:00,20.8,48,,E,22,1018.9,30.1,22,,W,7,1016.8
,2025-12-17,17.6,37.0,0,,,ENE,41,23:58,24.0,48,,ENE,24,1020.8,34.5,25,,NW,17,1016.0
,2025-12-18,18.1,41.3,0,,,WNW,57,14:58,29.4,35,,NNE,9,1015.3,40.3,9,1,W,24,1010.3
,2025-12-19,16.1,42.2,0,,,NW,63,12:51,31.3,22,,NE,2,1009.8,28.1,57,,SSE,28,1007.2
,2025-12-20,19.5,35.7,15.8,,,W,39,14:00,23.9,73,,ENE,17,1008.0,35.0,34,,W,26,1004.4
,2025-12-21,23.0,27.3,0.2,,,NNW,52,19:24,25.2,69,,NNE,13,1004.9,24.6,76,,N,19,1000.7
,2025-12-22,13.6,26.9,4.0,,,WSW,37,23:09,19.1,59,,WSW,13,1007.4,23.8,40,,W,22,1007.9
,2025-12-23,10.5,27.6,0.2,,,W,50,15:01,19.5,47,,SW,30,1011.2,25.9,25,,WSW,26,1010.3
,2025-12-24,8.6,29.5,0,,,WSW,50,11:48,19.8,45,,N,9,1012.4,27.5,22,,W,28,1009.3
,2025-12-25,10.1,25.8,0,,,SSW,52,14:33,16.7,46,,WSW,19,1012.9,24.4,20,,SW,30,1010.2
,2025-12-26,8.7,25.2,0,,,SSW,48,15:44,15.4,34,,S,22,1014.9,23.6,16,,SSW,24,1012.4
,2025-12-27,9.0,28.2,0,,,SSE,37,14:19,16.7,52,,ENE,17,1017.2,26.4,21,,S,24,1012.8
,2025-12-28,12.5,30.3,0,,,E,37,07:05,18.5,38,,ENE,24,1018.6,28.5,16,,ENE,11,1016.1
,2025-12-29,14.7,34.6,0,,,WSW,30,14:50,19.8,48,,ENE,13,1019.2,32.7,17,,W,9,1013.6
,2025-12-30,18.0,37.2,0,,,W,37,16:13,22.5,36,,ENE,15,1013.0,34.7,16,,WSW,13,1007.6
,2025-12-31,19.7,35.6,0,,,WNW,54,12:06,26.1,36,8,ESE,22,1005.8,33.9,19,1,SW,24,1003.3
