"Daily Weather Observations for Wagga Wagga, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2139.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,21.5,30.1,1.2,,,WSW,72,04:05,22.8,71,8,NNW,7,1007.2,28.1,31,6,W,33,1007.1
,2026-02-2,11.7,28.6,0.2,,,S,57,05:22,16.4,29,,SE,33,1020.6,26.6,12,,SSE,15,1018.8
,2026-02-3,13.8,29.6,0,,,ENE,56,00:23,18.4,47,,ENE,28,1024.0,27.8,27,,NE,13,1019.6
,2026-02-4,15.2,35.6,0,,,W,41,16:16,23.5,43,2,ENE,13,1018.6,34.4,20,1,WNW,9,1014.3
,2026-02-5,17.1,39.3,0,,,W,46,15:03,27.1,26,,NE,15,1015.8,37.8,9,,WSW,26,1013.6
,2026-02-6,17.9,38.4,0,,,SW,44,15:27,25.2,46,,ENE,20,1017.4,37.0,13,,SSW,17,1014.1
,2026-02-7,15.4,36.7,0,,,N,50,17:43,25.6,32,,ENE,13,1016.7,35.9,18,,S,9,1013.3
,2026-02-8,20.0,22.8,1.8,,,NE,37,07:52,20.9,77,8,ENE,28,1014.5,21.6,90,8,NNE,13,1012.4
,2026-02-9,18.9,33.5,5.6,,,WSW,48,17:19,22.5,84,8,E,9,1012.0,32.0,41,4,N,9,1009.8
,2026-02-10,21.4,36.2,1.0,,,W,56,15:35,23.8,78,1,E,15,1014.4,33.1,30,5,NW,17,1011.0
,2026-02-11,16.2,38.4,0,,,WNW,65,19:56,23.7,62,,ENE,11,1011.2,36.8,27,2,WNW,20,1004.7
,2026-02-12,16.3,27.7,3.2,,,SW,50,12:41,16.9,84,2,WSW,31,1006.0,25.3,23,,WSW,26,1005.6
,2026-02-13,15.3,29.7,0,,,ENE,63,22:06,18.8,50,,E,30,1014.0,28.1,28,,E,13,1012.2
,2026-02-14,17.5,30.3,0,,,E,63,23:42,21.2,51,,ENE,30,1018.5,29.9,30,,E,19,1015.7
,2026-02-15,18.0,31.9,0,,,E,52,01:03,21.0,53,,NE,26,1018.5,29.6,27,,ESE,13,1014.0
,2026-02-16,17.9,31.6,0,,,ENE,52,00:03,21.8,55,,ENE,24,1016.3,30.8,28,1,NNE,17,1012.0
,2026-02-17,18.6,33.4,0,,,N,39,14:18,21.9,56,,NE,17,1011.7,31.7,28,6,WNW,19,1006.7
,2026-02-18,21.0,31.2,0,,,W,41,14:39,24.1,70,8,W,17,1007.5,30.2,17,1,W,31,1007.2
,2026-02-19,10.3,33.5,0,,,WSW,33,13:29,18.9,46,,NNW,4,1014.6,31.1,19,,W,19,1012.9
,2026-02-20,18.8,36.4,0,,,WNW,43,12:50,25.2,58,,E,24,1014.1,35.0,23,,WNW,17,1010.1
,2026-02-21,14.3,37.4,0,,,WSW,35,14:33,24.3,39,,ESE,13,1011.2,35.2,9,,WNW,13,1007.5
,2026-02-22,22.9,28.4,0,,,N,39,15:30,26.0,62,8,NE,7,1008.3,24.1,84,8,NNE,17,1007.2
,2026-02-23,20.3,36.2,6.2,,,ENE,46,22:40,24.8,75,8,ESE,9,1009.9,34.1,32,,SE,9,1008.1
,2026-02-24,22.0,36.8,0,,,ENE,44,23:02,25.8,57,,ENE,24,1014.2,34.7,29,8,NNW,13,1010.5
,2026-02-25,22.4,36.0,0,,,WSW,46,14:47,26.2,67,7,WNW,11,1013.1,34.3,33,1,WSW,24,1011.3
,2026-02-26,21.8,31.9,1.4,,,ENE,50,21:54,23.1,62,8,E,20,1016.1,30.4,39,2,ENE,22,1014.2
,2026-02-27,20.3,32.8,0.2,,,ENE,56,20:47,24.2,49,6,ENE,22,1016.1,31.7,33,1,ENE,17,1012.7
,2026-02-28,19.9,32.7,0,,,ENE,63,20:41,23.5,58,,ENE,31,1016.0,32.1,33,,ENE,20,1012.3
