"Daily Weather Observations for Wagga Wagga, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2139.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,21.4,25.0,0,,,ENE,63,23:28,22.4,60,7,ENE,30,1014.0,21.8,75,8,ENE,20,1012.5
,2026-03-2,19.5,21.7,4.0,,,ENE,41,00:23,20.0,88,8,ENE,20,1010.6,20.7,94,8,ENE,20,1007.8
,2026-03-3,19.7,24.9,32.8,,,E,30,09:08,21.7,92,8,ENE,17,1009.0,23.8,81,8,E,20,1008.5
,2026-03-4,21.7,30.2,0.2,,,WNW,41,13:53,24.2,83,8,NNE,17,1011.0,28.5,65,5,WNW,28,1010.0
,2026-03-5,19.2,32.2,0,,,WNW,26,15:31,23.0,87,2,ENE,9,1012.8,30.9,46,3,NNW,9,1010.4
,2026-03-6,16.1,34.0,0,,,W,31,13:07,22.4,70,,ESE,11,1013.1,33.2,27,,W,22,1010.7
,2026-03-7,19.1,33.7,0,,,W,46,15:46,24.2,73,,ENE,13,1011.5,32.1,34,,W,15,1008.7
,2026-03-8,18.6,30.7,0,,,ENE,48,12:48,22.4,64,,ENE,17,1012.6,29.2,38,,ENE,24,1010.4
,2026-03-9,15.8,30.8,0,,,,,,20.9,52,,E,20,1012.9,29.5,32,,ESE,13,1010.0
,2026-03-10,15.2,,0,,,,,,21.0,71,,,,1012.7,,,,,,
,2026-03-11,16.6,34.9,0,,,W,67,12:34,23.8,59,,NNE,20,1008.6,33.5,22,3,WNW,33,1003.8
,2026-03-12,11.2,25.5,0,,,SW,52,14:17,14.7,64,,WSW,19,1010.1,24.1,29,,SW,28,1009.6
,2026-03-13,7.5,26.6,0,,,E,33,22:04,15.1,60,,SE,11,1019.1,25.7,27,,SSE,15,1019.1
,2026-03-14,14.2,27.2,0,,,E,46,02:09,17.6,51,,ENE,26,1027.4,25.6,29,3,ENE,7,1024.3
,2026-03-15,11.0,31.9,0,,,NNW,26,12:40,18.6,56,,E,13,1023.5,30.7,29,,NW,9,1019.3
,2026-03-16,18.4,31.9,0,,,W,70,15:27,21.4,53,6,ENE,19,1017.2,31.3,29,7,N,20,1012.6
,2026-03-17,18.1,24.9,0.6,,,SSE,20,21:08,19.5,91,8,S,4,1016.9,23.8,69,8,NW,13,1017.0
,2026-03-18,18.7,28.4,0.8,,,ENE,43,08:59,22.2,70,1,E,17,1019.9,27.7,46,7,NNE,13,1017.0
,2026-03-19,19.3,28.3,4.4,,,E,41,15:44,20.2,92,7,E,9,1017.8,26.1,59,8,SSW,13,1015.0
,2026-03-20,18.0,29.6,11.8,,,WNW,20,12:03,21.0,84,7,ENE,7,1018.1,28.1,49,4,ESE,7,1016.0
,2026-03-21,18.6,29.8,0,,,E,33,19:18,21.8,79,,W,6,1018.6,28.9,29,,W,11,1016.4
,2026-03-22,14.3,30.2,0,,,ENE,31,09:55,20.3,76,,E,11,1021.7,28.8,39,3,SE,11,1019.3
,2026-03-23,15.4,30.1,0,,,ENE,20,01:04,20.9,69,,ENE,9,1021.6,29.6,38,1,ESE,9,1018.2
,2026-03-24,19.3,30.0,0,,,ENE,37,23:36,22.0,64,,ENE,17,1018.6,29.4,39,1,E,6,1015.2
,2026-03-25,18.6,31.7,1.4,,,WSW,54,16:40,21.4,74,,E,13,1015.4,30.8,33,3,WSW,13,1012.4
,2026-03-26,14.7,20.9,0.6,,,WSW,54,22:01,18.2,88,8,NE,2,1011.9,17.0,95,8,WNW,15,1007.8
,2026-03-27,7.9,20.1,29.6,,,WSW,57,01:40,9.3,92,8,WSW,22,1009.8,15.9,62,8,WSW,33,1011.2
,2026-03-28,6.4,20.4,1.2,,,S,33,10:35,11.9,59,,SSE,9,1018.8,19.0,44,,S,17,1016.9
,2026-03-29,8.2,23.9,0,,,E,19,08:24,13.1,77,,ENE,11,1021.5,22.8,42,,S,9,1020.1
,2026-03-30,10.2,25.6,0,,,ENE,24,09:31,16.0,73,,E,15,1023.9,24.7,45,,ESE,9,1021.1
,2026-03-31,9.9,28.2,0,,,E,26,13:19,16.4,73,,E,15,1023.7,27.2,37,,NNE,13,1020.0
