"Daily Weather Observations for Wagga Wagga, New South Wales for April 2026"
"Prepared at 13:00 UTC on Thursday  7 May 2026   IDCJDW2139.202604"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-04-1,13.3,30.4,0,,,NNE,28,11:57,18.4,65,1,E,15,1021.6,29.8,32,,NW,20,1019.4
,2026-04-2,16.6,30.7,0,,,NW,31,12:16,20.9,60,,E,17,1022.3,30.1,29,,NW,13,1019.7
,2026-04-3,10.6,26.5,0,,,WSW,28,15:20,16.3,67,, ,Calm,1023.5,26.0,34,,WSW,20,1021.1
,2026-04-4,11.6,24.5,0,,,E,41,23:00,17.9,71,8,E,15,1024.1,23.6,50,1,E,19,1022.1
,2026-04-5,11.8,24.1,0,,,E,41,01:42,18.2,59,,E,20,1025.4,23.4,43,5,ENE,13,1021.1
,2026-04-6,13.8,22.3,4.8,,,E,31,00:14,14.6,86,8,E,17,1019.4,21.9,55,,N,7,1015.4
,2026-04-7,13.8,26.9,0.2,,,WSW,37,12:40,18.3,80,8,E,9,1013.1,26.2,42,1,WSW,28,1010.8
,2026-04-8,11.8,24.9,0,,,NW,26,11:12,17.1,68,2,NW,11,1017.2,24.2,41,,WSW,13,1015.3
,2026-04-9,12.9,27.8,0,,,WSW,63,16:30,19.8,59,6,E,11,1017.2,27.1,50,1,ESE,20,1011.4
,2026-04-10,17.9,20.7,14.4,,,WNW,33,09:32,19.1,81,8,NW,19,1012.9,19.1,64,7,WNW,15,1011.8
,2026-04-11,10.1,16.7,0.6,,,WSW,41,13:45,12.3,77,8,WSW,24,1014.1,16.2,40,1,WSW,24,1011.8
,2026-04-12,8.0,16.5,0,,,WSW,43,13:31,11.4,74,2,WSW,20,1014.0,15.1,49,5,WSW,28,1014.0
,2026-04-13,8.0,18.6,0,,,WSW,35,15:11,11.2,82,8,SW,19,1021.7,17.5,57,8,SW,19,1020.5
,2026-04-14,4.8,22.4,0,,,W,33,14:04,12.7,81,,ENE,7,1023.3,22.0,48,,WSW,19,1019.7
,2026-04-15,5.3,21.0,0,,,WSW,28,15:08,12.8,82,,ENE,9,1021.9,20.7,51,,W,19,1018.9
,2026-04-16,5.4,22.5,0,,,W,19,12:03,13.0,81,,E,9,1020.5,21.1,47,8,NW,7,1016.4
,2026-04-17,6.3,19.9,0,,,WSW,48,16:24,13.6,78,8,WNW,9,1015.6,18.5,39,,SW,31,1015.2
,2026-04-18,1.0,19.5,0,,,WSW,28,12:11,9.1,74,,NNW,7,1021.8,19.4,35,,SW,17,1019.1
,2026-04-19,0.6,21.0,0,,,W,22,15:11,9.9,72,,E,11,1023.6,20.2,32,,W,13,1020.6
,2026-04-20,1.2,24.1,0,,,E,19,23:21,11.6,68,,E,13,1026.1,22.5,33,,ESE,9,1022.9
,2026-04-21,7.2,23.5,0,,,ENE,31,21:33,13.9,70,,E,13,1029.0,22.8,35,,SSE,4,1025.3
,2026-04-22,7.2,22.8,0,,,NE,24,11:29,14.4,69,,E,9,1028.3,21.6,38,,SSE,13,1025.4
,2026-04-23,6.8,22.0,0,,,ENE,26,11:20,14.2,71,6,E,9,1030.4,21.6,36,,E,13,1027.8
,2026-04-24,6.9,21.9,0,,,E,26,09:39,14.0,68,,E,15,1033.8,21.2,39,,ESE,9,1029.7
,2026-04-25,6.1,24.0,0,,,E,19,02:59,14.3,68,,E,13,1031.9,23.7,40,,SE,7,1026.2
,2026-04-26,8.7,25.2,0,,,E,22,10:11,14.2,67,,E,15,1025.8,25.0,34,,SSE,7,1021.2
,2026-04-27,8.1,25.6,0,,,S,26,15:35,14.0,68,,E,11,1025.3,25.2,33,,ESE,9,1022.4
,2026-04-28,7.0,25.7,0,,,E,20,09:49,16.0,60,,E,13,1027.2,24.8,30,,SSE,7,1023.8
,2026-04-29,9.3,25.9,0,,,E,24,13:02,14.5,69,,ENE,9,1029.3,25.4,29,,E,11,1026.2
,2026-04-30,13.6,26.3,0,,,E,33,01:29,19.0,60,,E,19,1030.4,25.4,32,,NNW,11,1026.2
