"Daily Weather Observations for Bellambi, New South Wales for September 2025"
"Prepared at 13:00 UTC on Friday  8 May 2026   IDCJDW2014.202509"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-09-1,9.1,18.1,0,,,SE,33,20:11,16.2,52,,WSW,7,,17.8,57,,SSE,24,
,2025-09-2,12.2,18.9,0,,,NE,43,16:10,16.7,65,,NW,6,,17.8,63,,NE,35,
,2025-09-3,11.1,21.7,0,,,NW,46,15:30,16.8,45,,WSW,13,,19.5,60,,ENE,22,
,2025-09-4,14.9,24.4,0,,,NE,44,09:51,15.3,57,,NE,22,,24.0,23,,WSW,22,
,2025-09-5,12.1,18.0,0,,,S,43,10:00,15.9,67,,S,28,,15.7,56,,SSE,28,
,2025-09-6,10.1,19.6,0,,,NE,52,15:46,17.8,58,,NNE,17,,18.1,65,,NE,41,
,2025-09-7,12.8,21.7,0,,,NNE,48,15:30,18.8,67,,NNE,11,,19.3,76,,NNE,33,
,2025-09-8,17.6,28.6,0,,,NW,61,11:29,20.8,45,,WNW,24,,28.0,37,,NW,15,
,2025-09-9,18.3,25.1,0,,,WNW,59,03:24,20.8,53,,N,11,,21.7,70,,ENE,13,
,2025-09-10,14.8,15.8,9.2,,,ESE,61,19:45,14.8,93,,SW,11,,14.6,93,,ESE,37,
,2025-09-11,10.2,16.6,131.4,,,SSW,76,11:22,12.5,85,,SSW,39,,16.2,51,,SSW,39,
,2025-09-12,11.0,18.0,1.4,,,S,28,08:18,15.5,55,,S,19,,17.0,50,,E,9,
,2025-09-13,11.0,19.7,0,,,NE,28,14:40,17.7,53,,NNW,6,,18.5,66,,NE,24,
,2025-09-14,11.1,23.1,0,,,NE,41,14:29,18.3,66,,NNE,7,,19.5,75,,NE,30,
,2025-09-15,14.1,25.5,0,,,W,44,00:32,20.9,43,,NW,11,,21.7,69,,NE,24,
,2025-09-16,18.4,27.0,0,,,NW,65,11:32,21.5,48,,N,17,,24.2,53,,NNE,24,
,2025-09-17,16.6,23.9,0.4,,,WSW,52,19:43,18.8,48,,WSW,20,,23.7,31,,SW,13,
,2025-09-18,10.9,18.2,0,,,SSE,31,10:54,16.8,57,,SSE,9,,16.5,75,,SE,17,
,2025-09-19,11.2,24.3,0,,,NW,46,21:44,18.1,46,,WNW,22,,22.5,44,,WSW,22,
,2025-09-20,16.6,20.9,0.2,,,WNW,67,10:07,19.4,43,,WSW,20,,20.1,31,,W,24,
,2025-09-21,11.3,21.7,0,,,WSW,46,18:20,16.8,42,,W,20,,19.5,61,,ESE,17,
,2025-09-22,13.4,21.1,0,,,S,59,16:59,18.9,43,,WSW,22,,14.8,76,,S,31,
,2025-09-23,8.7,19.8,0.6,,,S,50,08:53,14.1,46,,SSW,33,,16.7,55,,ESE,24,
,2025-09-24,11.8,24.8,0,,,SSW,56,11:47,19.8,40,,W,11,,23.0,23,,SW,30,
,2025-09-25,12.4,25.1,0,,,W,56,11:53,18.8,42,,N,9,,24.8,26,,SW,22,
,2025-09-26,15.8,28.5,0,,,WSW,54,12:40,20.1,52,,N,17,,27.3,21,,WNW,30,
,2025-09-27,16.3,26.2,0,,,WNW,61,22:03,21.5,45,,NNW,13,,23.1,53,,NE,19,
,2025-09-28,16.7,21.4,0,,,S,65,05:12,19.3,77,,S,15,,19.5,76,,ESE,20,
,2025-09-29,15.0,20.7,0,,,SSW,44,07:03,16.2,84,,SSW,30,,17.7,88,,S,31,
,2025-09-30,15.7,25.2,4.2,,,N,63,23:32,20.6,72,,N,26,,21.0,84,,NE,41,
