"Daily Weather Observations for Bellambi, New South Wales for November 2025"
"Prepared at 13:00 UTC on Wednesday  6 May 2026   IDCJDW2014.202511"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-11-1,16.5,21.9,10.4,,,NNW,56,03:07,18.6,88,,NW,7,,20.2,83,,SSE,11,
,2025-11-2,15.9,22.5,0.2,,,ENE,20,11:18,18.5,85,,S,9,,21.3,74,,ENE,15,
,2025-11-3,18.4,23.1,0,,,W,87,22:36,21.2,86,,NE,20,,22.4,85,,N,17,
,2025-11-4,16.6,22.1,0.4,,,WNW,94,15:28,19.6,46,,NNW,17,,17.3,38,,WNW,57,
,2025-11-5,13.1,24.9,0.6,,,WNW,50,08:48,17.4,42,,W,17,,24.5,27,,SW,24,
,2025-11-6,13.6,22.6,0,,,NE,43,16:58,20.8,39,,WSW,15,,22.2,51,,NNE,17,
,2025-11-7,17.3,25.0,0,,,NNE,35,17:28,19.5,78,,NNE,13,,21.4,82,,NNE,17,
,2025-11-8,17.6,29.4,0,,,NW,54,08:26,25.0,51,,NW,33,,21.5,76,,NNE,15,
,2025-11-9,14.3,19.4,0,,,SSW,54,08:45,17.9,55,,SW,20,,17.6,62,,SSE,39,
,2025-11-10,13.6,21.6,0,,,ENE,43,15:56,18.7,57,,NW,17,,20.5,64,,ENE,26,
,2025-11-11,14.6,27.2,0,,,W,70,15:38,21.5,41,,WSW,11,,25.6,21,,WNW,35,
,2025-11-12,9.3,20.6,0,,,NNE,28,18:42,15.3,43,,SSE,9,,17.9,45,,ENE,13,
,2025-11-13,14.1,,0,,,,,,20.6,46,,ENE,13,,21.2,57,,NE,35,
,2025-11-14,16.8,20.9,,,,S,54,02:50,18.5,76,,S,17,,19.3,73,,E,19,
,2025-11-15,18.4,24.7,0,,,NE,61,15:22,20.3,79,,NNE,17,,20.6,82,,NNE,41,
,2025-11-16,20.0,30.8,0.6,,,WNW,67,04:31,24.7,41,,WSW,20,,22.6,66,,N,13,
,2025-11-17,16.7,23.6,0,,,WSW,57,09:40,18.5,37,,W,31,,21.6,34,,SW,15,
,2025-11-18,16.1,24.2,0,,,W,43,03:53,22.1,42,,W,13,,22.2,54,,NE,24,
,2025-11-19,15.6,24.1,0,,,NNE,28,17:42,21.0,68,,ENE,6,,22.4,79,,N,11,
,2025-11-20,17.2,,0,,,,,,19.1,78,,SSE,20,,19.7,75,,ESE,33,
,2025-11-21,14.4,18.5,,,,S,57,01:44,14.6,93,,SSW,22,,17.4,77,,S,35,
,2025-11-22,14.5,20.1,3.2,,,N,26,17:39,18.5,90,,SW,13,,18.9,94,,SW,9,
,2025-11-23,17.8,22.5,99.0,,,S,39,16:05,19.4,96,,SSE,13,,21.8,87,,ENE,11,
,2025-11-24,17.1,21.7,0,,,S,48,12:18,20.5,82,,S,30,,20.5,74,,SSE,33,
,2025-11-25,16.4,26.4,0.4,,,S,44,20:44,21.6,74,,NE,17,,22.4,84,,N,22,
,2025-11-26,17.9,34.2,0,,,NW,81,10:35,26.2,54,,NW,35,,29.4,51,,NNW,33,
,2025-11-27,17.1,30.0,5.2,,,SSE,69,17:45,25.2,35,,E,7,,29.7,22,,W,31,
,2025-11-28,16.6,29.8,0,,,NE,50,12:41,22.1,68,,N,11,,23.7,74,,NNE,30,
,2025-11-29,19.5,30.9,0,,,W,80,13:57,20.0,90,,S,13,,25.3,38,,W,41,
,2025-11-30,16.7,26.9,0,,,WNW,59,13:41,19.7,69,,NE,17,,25.5,30,,W,28,
