"Daily Weather Observations for Bellambi, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2014.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,13.8,24.2,0,,,WSW,63,17:26,19.8,38,,NNW,24,,23.4,26,,W,24,
,2025-12-2,12.8,19.9,0,,,SSE,56,11:10,17.4,38,,SSW,33,,19.7,50,,SSE,35,
,2025-12-3,13.2,25.2,0,,,NE,50,12:42,19.6,60,,ENE,15,,22.1,65,,NE,39,
,2025-12-4,16.8,30.2,0,,,NE,56,15:09,23.4,60,,NE,13,,24.2,71,,NNE,26,
,2025-12-5,19.6,36.7,0,,,WNW,54,08:32,30.2,20,,WNW,35,,25.8,63,,NNE,24,
,2025-12-6,20.6,34.3,0,,,WNW,57,07:22,29.9,29,,WNW,35,,24.5,73,,NE,31,
,2025-12-7,18.1,21.1,0,,,S,67,03:51,18.4,77,,S,44,,19.2,64,,SE,24,
,2025-12-8,18.1,24.3,0,,,NE,59,15:01,21.0,71,,NNE,15,,22.5,75,,NE,41,
,2025-12-9,17.3,25.9,0,,,S,69,17:46,22.0,82,,NNE,11,,24.5,79,,NNE,9,
,2025-12-10,18.7,23.6,0,,,S,48,19:44,20.5,66,,S,20,,22.5,71,,SSE,19,
,2025-12-11,18.8,22.2,1.2,,,S,48,11:22,20.3,77,,S,31,,20.3,74,,SSE,31,
,2025-12-12,19.5,22.5,1.4,,,E,41,07:19,20.9,82,,ESE,33,,20.4,85,,E,22,
,2025-12-13,16.6,24.5,12.4,,,NNE,43,13:16,21.3,72,,ENE,11,,21.5,80,,NE,33,
,2025-12-14,18.1,32.8,8.0,,,S,85,18:58,23.8,64,,WSW,15,,32.2,35,,WSW,20,
,2025-12-15,17.4,22.7,0.2,,,S,44,23:23,20.2,70,,ESE,13,,19.3,70,,ESE,28,
,2025-12-16,15.8,22.4,0.6,,,ESE,33,00:03,18.3,79,,SW,9,,21.0,64,,NE,11,
,2025-12-17,17.2,25.2,0,,,NE,57,12:49,22.4,68,,N,26,,23.0,74,,NNE,44,
,2025-12-18,18.8,25.4,0,,,NNE,39,15:56,22.9,76,,NE,20,,24.9,73,,NNE,15,
,2025-12-19,19.1,27.3,0,,,S,39,16:05,23.7,83,,E,19,,26.2,75,,WSW,11,
,2025-12-20,22.0,27.9,1.0,,,S,46,22:10,23.7,75,,NNW,11,,26.0,72,,NNE,31,
,2025-12-21,21.8,27.3,0.6,,,WNW,48,19:54,22.9,92,,NNE,2,,25.8,81,,ESE,7,
,2025-12-22,22.7,25.7,8.0,,,ESE,44,11:42,24.5,42,,WSW,9,,23.2,72,,ESE,30,
,2025-12-23,19.7,30.8,0,,,SE,50,15:26,23.8,72,,NE,13,,23.8,71,,SSE,33,
,2025-12-24,18.1,29.4,0,,,S,57,19:02,22.8,62,,N,19,,24.7,76,,NE,37,
,2025-12-25,18.3,19.1,0,,,SE,44,16:41,18.8,77,,SE,35,,18.3,65,,SSE,26,
,2025-12-26,12.1,18.5,9.6,,,S,56,12:56,12.7,70,,SW,19,,16.8,59,,S,41,
,2025-12-27,12.6,20.9,0,,,S,44,21:05,17.4,60,,S,24,,20.1,53,,SSE,26,
,2025-12-28,15.2,21.4,0,,,S,59,09:40,18.3,59,,SSW,33,,20.9,52,,SSE,35,
,2025-12-29,14.6,22.3,0,,,SE,28,09:36,18.7,65,,S,15,,21.4,54,,ESE,17,
,2025-12-30,14.0,22.4,0,,,NE,26,12:34,19.8,58,,NE,11,,22.0,58,,NNE,17,
,2025-12-31,16.8,23.3,0,,,SE,43,18:42,21.1,69,,SE,20,,21.6,70,,NE,15,
