"Daily Weather Observations for Bellambi, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2014.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bellambi AWS {station 068228}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,16.3,21.4,4.2,,,S,50,09:00,17.7,79,,S,31,,21.1,58,,SSE,33,
,2026-01-2,16.4,22.5,0,,,S,24,07:30,19.8,69,,S,15,,20.5,66,,ESE,15,
,2026-01-3,18.1,23.9,0,,,NNE,56,15:12,22.1,71,,N,19,,22.5,71,,NE,43,
,2026-01-4,19.6,25.4,2.0,,,SSW,50,14:14,22.7,83,,NE,13,,22.7,84,,S,17,
,2026-01-5,18.3,24.5,6.4,,,SSE,33,08:55,22.5,78,,S,22,,23.3,78,,SE,17,
,2026-01-6,18.5,25.8,3.0,,,SSW,26,00:24,21.5,81,,S,13,,24.7,73,,NE,15,
,2026-01-7,19.8,27.0,0,,,NE,50,17:29,24.4,77,,ENE,11,,26.2,74,,NNE,20,
,2026-01-8,22.4,26.9,0,,,NNE,37,19:19,24.5,79,,NE,24,,25.8,75,,N,17,
,2026-01-9,18.6,32.1,0,,,NE,48,17:23,23.2,84,,E,9,,25.0,74,,N,15,
,2026-01-10,20.9,41.9,0,,,NW,81,09:30,31.9,30,,NW,48,,41.0,20,,NW,15,
,2026-01-11,19.8,20.3,0,,,S,56,23:21,19.8,71,,SSE,31,,19.5,71,,SSE,28,
,2026-01-12,16.9,22.6,0,,,SE,31,23:04,19.3,67,,SSW,22,,18.5,92,,SSW,13,
,2026-01-13,18.1,26.5,2.6,,,NE,31,11:11,22.1,85,,NE,9,,25.7,72,,NNE,17,
,2026-01-14,19.7,25.2,0,,,NNE,46,14:38,24.3,76,,NNE,15,,23.1,76,,NE,35,
,2026-01-15,20.1,22.9,5.2,,,S,57,22:48,21.6,93,,NNE,17,,22.0,90,,NE,28,
,2026-01-16,19.2,24.6,0,,,S,63,23:45,22.5,68,,SSW,19,,23.7,73,,SSE,39,
,2026-01-17,19.2,21.2,53.6,,,SE,81,09:15,20.3,90,,SE,56,,19.3,94,,SSE,52,
,2026-01-18,18.3,22.6,78.0,,,ESE,65,04:22,21.2,74,,ESE,37,,21.9,75,,SE,41,
,2026-01-19,17.8,24.0,1.6,,,ESE,52,23:53,19.6,87,,SW,19,,23.7,72,,ESE,20,
,2026-01-20,18.8,24.6,1.4,,,E,39,10:42,21.4,73,,S,17,,24.2,59,,ESE,15,
,2026-01-21,16.8,23.5,0.6,,,S,28,01:42,21.2,65,,S,19,,22.8,61,,E,13,
,2026-01-22,18.1,22.2,0,,,S,65,10:37,21.4,74,,SSW,15,,20.9,61,,SSE,46,
,2026-01-23,16.1,22.8,0,,,S,46,02:48,19.3,62,,S,20,,21.7,56,,SSE,13,
,2026-01-24,16.8,25.2,0,,,N,39,08:49,22.4,68,,N,13,,24.4,72,,NNE,28,
,2026-01-25,20.5,27.8,0,,,S,65,21:01,25.0,67,,NNE,13,,25.8,79,,N,15,
,2026-01-26,21.1,22.9,0,,,S,56,00:15,22.1,74,,S,37,,21.9,75,,S,33,
,2026-01-27,18.3,25.1,0,,,NE,44,16:59,22.3,61,,SW,4,,24.7,68,,NE,24,
,2026-01-28,19.3,25.4,0,,,NNE,50,11:15,22.3,71,,N,22,,24.7,68,,NNE,31,
,2026-01-29,21.0,,0,,,,,,23.7,81,,ENE,11,,25.4,78,,ESE,13,
,2026-01-30,20.4,26.9,0,,,NNE,54,15:29,23.4,76,,N,11,,25.3,72,,NNE,31,
,2026-01-31,21.2,26.4,0,,,NNE,50,15:49,24.1,84,,NNE,13,,26.1,79,,N,20,
