"Daily Weather Observations for Mount Boyce, New South Wales for April 2025"
"Prepared at 13:00 UTC on Sunday 12 April 2026   IDCJDW2087.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,9.8,15.6,1.8,,,SSW,31,00:01,10.1,99,8,SSW,9,,13.9,74,8,SSE,9,
,2025-04-2,8.0,19.6,0,,,S,19,02:07,9.3,90,7,SW,7,,18.9,38,,E,7,
,2025-04-3,9.3,19.6,0.2,,,WSW,46,10:53,11.9,73,,W,7,,18.7,34,,WSW,20,
,2025-04-4,10.6,21.5,0,,,W,35,12:15,12.8,65,,E,7,,20.0,33,,WSW,17,
,2025-04-5,7.7,19.9,0,,,WSW,50,10:03,8.3,68,,W,26,,18.5,25,,WSW,20,
,2025-04-6,6.7,19.0,0,,,WSW,52,,9.9,58,1,WSW,22,,18.1,18,4,W,26,
,2025-04-7,7.4,18.6,0,,,WSW,63,10:57,11.3,62,,W,30,,18.2,33,,WSW,26,
,2025-04-8,9.6,18.7,0,,,E,24,15:58,12.4,84,8,E,4,,16.8,64,4,ENE,9,
,2025-04-9,9.2,20.8,0.2,,,ENE,44,03:23,13.9,83,8,NE,9,,20.2,57,8,ENE,9,
,2025-04-10,10.7,20.2,0.2,,,NNE,17,00:36,14.5,69,7,WNW,7,,18.7,65,8,ENE,7,
,2025-04-11,11.8,23.2,0,,,E,22,18:23,16.0,67,,W,9,,22.9,44,2,E,9,
,2025-04-12,10.5,20.5,0,,,NE,24,13:59,14.5,93,8,E,7,,17.7,67,8,ENE,11,
,2025-04-13,11.2,21.8,0,,,ENE,22,00:58,16.1,76,1,ENE,7,,21.1,52,2,E,7,
,2025-04-14,10.6,22.1,0.2,,,SW,28,12:20,14.8,75,,W,9,,20.9,45,1,SE,13,
,2025-04-15,10.6,16.0,1.2,,,ESE,28,02:30,11.6,97,7,SE,11,,14.3,59,8,SE,11,
,2025-04-16,7.9,17.1,0.2,,,SE,24,03:55,10.6,76,8,SSE,11,,16.8,51,,SSE,6,
,2025-04-17,8.5,18.6,0,,,S,26,02:35,11.7,88,1,SSW,9,,17.7,44,,SE,9,
,2025-04-18,7.8,21.7,0.4,,,S,20,10:14,11.8,71,,W,7,,20.9,22,,ENE,9,
,2025-04-19,11.8,23.1,0,,,W,28,14:43,16.0,54,,W,9,,22.7,29,2,NW,9,
,2025-04-20,12.7,23.1,0,,,W,39,06:15,15.2,55,,W,13,,22.6,35,6,W,9,
,2025-04-21,11.4,17.2,0,,,W,41,12:52,12.7,83,6,WSW,17,,16.3,41,2,WSW,19,
,2025-04-22,8.4,14.3,0,,,ESE,46,18:51,11.2,92,7,SW,15,,12.6,99,8,SSW,19,
,2025-04-23,10.9,16.0,27.0,,,E,46,01:37,12.5,99,8,ENE,15,,15.9,86,8,ENE,11,
,2025-04-24,11.4,18.8,9.8,,,E,31,00:01,13.4,97,8,ENE,9,,17.6,69,1,ENE,7,
,2025-04-25,9.7,18.8,1.4,,,NE,24,21:56,12.9,99,8,NE,7,,17.4,70,8,ENE,9,
,2025-04-26,10.5,18.6,0.2,,,ENE,24,22:20,15.0,86,7,NNW,7,,17.3,72,8,ENE,7,
,2025-04-27,11.5,12.4,20.0,,,S,48,22:00,12.1,99,7,E,11,,11.9,99,8,S,13,
,2025-04-28,10.2,16.6,19.0,,,S,31,00:14,12.3,88,8,SSE,13,,14.0,81,8,SW,9,
,2025-04-29,9.2,17.9,0.2,,,WNW,28,13:17,12.0,86,,W,7,,14.0,74,5,WSW,11,
,2025-04-30,8.6,9.8,14.4,,,S,31,19:08,9.3,99,7,S,7,,7.9,98,7,S,13,
