"Daily Weather Observations for Mount Boyce, New South Wales for May 2025"
"Prepared at 13:00 UTC on Saturday 11 April 2026   IDCJDW2087.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,5.2,11.2,5.0,,,S,30,06:37,6.3,99,8,S,9,,10.2,74,8,S,13,
,2025-05-2,6.0,13.1,1.2,,,SSE,28,01:55,9.1,96,7,SE,7,,12.0,75,8,E,6,
,2025-05-3,5.6,15.4,0.6,,,ENE,22,11:23,9.9,99,7,ENE,6,,13.8,66,,ENE,7,
,2025-05-4,6.2,16.9,0,,,NE,24,10:30,11.1,81,,NE,9,,16.3,65,,ENE,9,
,2025-05-5,9.4,17.7,0,,,NE,26,05:29,13.0,86,3,N,4,,16.7,57,6,W,11,
,2025-05-6,10.1,17.4,0.4,,,WSW,26,14:55,13.3,82,8, ,Calm,,16.0,54,6,WSW,17,
,2025-05-7,10.8,17.3,0,,,W,61,20:05,13.1,75,,W,30,,16.2,55,1,WSW,20,
,2025-05-8,6.9,16.7,0,,,WSW,48,00:22,9.5,61,,WSW,13,,15.1,56,,ENE,7,
,2025-05-9,5.5,14.0,0,,,E,19,12:01,10.9,69,,E,7,,11.9,71,8,ENE,7,
,2025-05-10,6.0,14.2,0.4,,,E,24,22:59,11.4,86,1,ENE,9,,13.3,77,8,E,6,
,2025-05-11,9.3,13.3,5.0,,,ENE,22,02:56,11.1,99,8,ENE,9,,12.4,95,8,ENE,6,
,2025-05-12,10.9,17.3,9.4,,,ENE,20,00:17,13.0,99,7,ENE,7,,15.9,79,8,ESE,9,
,2025-05-13,10.7,15.4,0.8,,,ENE,20,00:44,11.8,99,8,ENE,4,,13.2,87,8,ENE,7,
,2025-05-14,9.1,17.1,0.2,,,S,19,13:29,13.6,78,1,NW,9,,13.3,85,8,SSW,2,
,2025-05-15,9.7,12.6,2.4,,,E,26,17:44,10.8,99,8,SE,9,,12.3,91,8,ESE,2,
,2025-05-16,9.7,12.6,3.8,,,ESE,20,02:30,11.0,99,8, ,Calm,,12.5,98,8,SSW,6,
,2025-05-17,7.6,15.3,1.2,,,SW,22,13:58,9.2,99,,WSW,9,,15.0,55,8,W,13,
,2025-05-18,6.1,9.8,7.2,,,SE,43,08:16,8.4,86,8,SE,7,,8.1,79,7,SE,9,
,2025-05-19,4.9,8.7,3.6,,,SSE,48,02:48,5.5,99,8,SSE,15,,7.1,84,,SE,17,
,2025-05-20,5.0,10.5,2.8,,,ESE,39,02:11,7.3,99,8,ESE,13,,9.3,99,7,E,9,
,2025-05-21,7.2,11.2,6.0,,,E,31,14:30,9.9,99,8,E,11,,9.9,99,7,ENE,13,
,2025-05-22,9.3,13.3,49.0,,,E,43,07:20,11.2,99,8,ENE,17,,11.3,99,8,ENE,15,
,2025-05-23,10.8,14.9,99.8,,,W,54,23:36,13.1,100,8,NE,6,,12.4,89,7,W,11,
,2025-05-24,6.8,11.1,0.6,,,W,61,01:23,8.2,95,8,W,24,,10.8,71,8,W,31,
,2025-05-25,5.6,11.4,0,,,WSW,39,11:16,7.3,65,7,W,17,,9.8,58,7,W,15,
,2025-05-26,5.7,15.6,0,,,WNW,65,22:59,10.6,50,,WNW,7,,10.1,96,8,WNW,19,
,2025-05-27,6.1,7.6,7.4,,,W,74,19:57,6.2,76,1,W,35,,4.3,93,8,W,22,
,2025-05-28,3.4,10.3,0.8,,,WSW,65,04:08,5.9,81,1,W,26,,10.1,67,,W,20,
,2025-05-29,3.1,9.2,0,,,S,24,04:38,6.4,83,7,SSE,6,,8.8,95,8,SW,6,
,2025-05-30,5.7,14.8,0.2,,,SSE,17,08:21,9.1,59,,SE,7,,14.1,57,,ENE,2,
,2025-05-31,4.3,14.1,0,,,NE,19,12:01,7.6,99,8,E,4,,13.1,62,,ENE,7,
