"Daily Weather Observations for Mount Boyce, New South Wales for June 2025"
"Prepared at 13:00 UTC on Friday 10 April 2026   IDCJDW2087.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,5.1,15.2,0.2,,,N,19,08:54,11.2,80,,NNE,11,,14.4,57,,W,7,
,2025-06-2,7.0,13.1,0.2,,,WSW,43,14:14,8.8,87,8,W,15,,11.7,73,6,W,20,
,2025-06-3,6.8,13.5,0.2,,,WSW,41,12:09,7.9,92,8,W,11,,13.3,53,2,SW,11,
,2025-06-4,3.1,7.0,0,,,SSW,41,12:53,4.0,79,7,SSW,19,,6.1,68,8,SW,17,
,2025-06-5,0.5,10.7,0.8,,,SW,28,01:03,2.5,76,,W,11,,10.1,46,,WNW,7,
,2025-06-6,2.5,10.4,0,,,W,39,18:16,7.1,48,8,W,17,,9.0,45,8,WNW,13,
,2025-06-7,4.3,8.6,0,,,W,76,09:11,6.3,85,8,W,41,,7.9,58,,W,33,
,2025-06-8,1.9,5.9,0.6,,,W,67,00:59,3.2,83,8,W,30,,3.7,72,8,W,28,
,2025-06-9,0.2,5.3,0,,,W,70,12:27,0.5,92,7,W,35,,1.8,89,7,W,31,
,2025-06-10,0.5,5.8,0,,,WSW,61,03:20,4.6,83,8,WSW,30,,5.2,82,8,WSW,28,
,2025-06-11,1.2,6.8,0,,,WSW,56,08:27,2.7,82,6,W,30,,5.9,65,7,WSW,30,
,2025-06-12,-0.3,9.3,0,,,W,24,00:44,1.5,91,7,W,11,,9.0,55,8,W,9,
,2025-06-13,1.0,8.4,0,,,SW,28,08:31,3.6,82,1,SW,17,,6.6,75,7,SW,15,
,2025-06-14,2.9,11.2,0,,,S,22,01:19,5.7,94,8,SE,9,,10.3,63,3,E,4,
,2025-06-15,3.0,9.6,0.2,,,WSW,43,13:45,5.2,90,,WNW,9,,5.4,88,8,WSW,15,
,2025-06-16,0.4,9.1,0.2,,,W,50,23:54,4.6,53,, ,Calm,,8.5,45,,WSW,20,
,2025-06-17,3.1,9.5,0,,,W,69,11:51,4.5,69,,W,26,,8.1,57,,WSW,26,
,2025-06-18,-0.1,10.8,0,,,W,35,00:17,2.2,75,,W,7,,10.2,43,,W,6,
,2025-06-19,1.6,13.4,0,,,NE,30,07:21,6.4,66,1,NE,13,,12.0,37,,W,9,
,2025-06-20,4.5,14.6,0,,,ENE,13,16:49,11.4,30,,ENE,7,,14.4,45,,NE,7,
,2025-06-21,5.0,15.1,0,,,WNW,17,17:26,8.4,34,,WSW,9,,14.9,20,,WNW,9,
,2025-06-22,7.0,14.0,0,,,WSW,28,15:13,8.7,25,,W,11,,13.7,37,,W,17,
,2025-06-23,6.8,14.6,0,,,W,44,13:59,9.9,79,,W,20,,13.8,64,5,WNW,20,
,2025-06-24,9.0,11.6,2.8,,,NW,76,06:05,9.0,97,8,W,24,,11.2,67,8,W,28,
,2025-06-25,3.2,4.4,3.8,,,W,87,15:15,3.6,77,8,W,31,,3.8,99,8,W,39,
,2025-06-26,-1.8,6.5,2.0,,,W,52,00:15,-0.1,80,,W,15,,6.2,45,,SW,9,
,2025-06-27,-0.1,8.8,0,,,SSE,20,03:12,5.7,77,7,E,6,,6.6,80,7,W,7,
,2025-06-28,2.7,11.2,0,,,NE,20,12:22,4.6,98,, ,Calm,,10.1,73,8,ENE,4,
,2025-06-29,2.9,10.6,0.2,,,ENE,41,23:30,4.4,90,,W,11,,9.1,59,1,W,22,
,2025-06-30,3.3,11.3,0,,,SSW,20,22:20,6.3,69,,WNW,9,,9.2,69,8,E,7,
