"Daily Weather Observations for Mount Boyce, New South Wales for July 2025"
"Prepared at 13:00 UTC on Sunday 10 May 2026   IDCJDW2087.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,4.4,7.6,1.8,,,WSW,78,14:31,4.7,99,8,SSW,22,,3.2,99,8,WSW,39,
,2025-07-2,1.7,8.4,48.8,,,SW,69,09:03,7.6,88,8,SW,37,,7.5,90,8,WSW,31,
,2025-07-3,5.3,9.0,4.6,,,WSW,56,00:08,6.6,80,8,WSW,30,,8.6,63,1,WSW,31,
,2025-07-4,2.2,12.3,0,,,WSW,37,01:06,3.6,91,,W,15,,12.1,49,,N,4,
,2025-07-5,3.0,13.6,0,,,NE,30,09:44,6.6,80,8,NE,13,,13.0,54,8,NE,6,
,2025-07-6,6.1,14.6,0,,,NNW,41,17:08,10.1,79,1,W,7,,14.0,62,,NW,11,
,2025-07-7,2.9,6.8,2.0,,,WSW,63,11:28,4.4,90,8,WSW,24,,6.4,82,7,WSW,26,
,2025-07-8,3.7,8.3,0,,,W,81,21:29,4.8,90,8,WSW,22,,7.2,60,7,W,33,
,2025-07-9,4.0,11.9,0,,,W,65,00:38,5.5,77,,WSW,22,,11.4,55,3,W,17,
,2025-07-10,3.6,4.3,0,,,WSW,74,19:05,3.7,66,4,W,26,,2.1,99,8,W,41,
,2025-07-11,1.2,6.9,0.6,,,WSW,80,05:08,3.6,88,8,WSW,30,,6.5,72,8,WSW,35,
,2025-07-12,3.6,9.8,0,,,WSW,54,04:03,6.1,81,4,WSW,24,,9.1,55,,W,19,
,2025-07-13,1.6,9.3,0,,,W,76,22:16,4.1,74,,W,13,,7.6,56,8,W,31,
,2025-07-14,4.1,9.8,0,,,W,80,02:45,5.2,55,,WSW,35,,9.3,43,,W,15,
,2025-07-15,0.2,4.2,0,,,WSW,50,16:25,2.8,80,8,WSW,24,,4.0,91,7,WSW,30,
,2025-07-16,-0.2,10.4,0,,,W,35,00:20,1.6,81,,W,19,,10.2,43,,W,17,
,2025-07-17,0.3,11.2,0,,,W,28,13:39,4.5,58,,W,9,,11.0,39,4,W,11,
,2025-07-18,2.5,7.5,0,,,ESE,24,06:01,5.4,87,8,ESE,7,,6.2,86,8,SE,6,
,2025-07-19,0.8,10.2,0.2,,,W,26,20:14,3.0,86,,W,2,,9.1,46,,W,11,
,2025-07-20,-0.1,11.6,0,,,SSE,24,07:31,5.5,56,,S,9,,10.6,53,,E,9,
,2025-07-21,2.9,13.3,0,,,ENE,30,10:42,7.8,95,4,ENE,13,,12.3,65,7,ENE,9,
,2025-07-22,6.7,12.5,0.2,,,N,35,11:53,8.3,93,7,NE,11,,11.3,63,2,N,13,
,2025-07-23,5.1,8.3,8.0,,,W,46,03:08,5.5,95,5,W,19,,7.3,54,,WSW,22,
,2025-07-24,0.1,8.6,0,,,W,43,00:03,1.9,77,,WSW,24,,8.1,47,,WSW,19,
,2025-07-25,0.7,11.1,0.2,,,ENE,35,21:38,6.4,61,,ENE,11,,8.8,51,8,ENE,9,
,2025-07-26,4.0,10.3,1.6,,,W,59,22:26,7.6,96,8,WNW,22,,9.5,70,8,WNW,20,
,2025-07-27,4.6,6.9,0.2,,,W,72,23:50,4.9,89,7,W,26,,5.8,84,8,W,28,
,2025-07-28,3.2,5.4,0.8,,,W,72,15:03,3.6,95,8,W,35,,4.9,87,8,W,31,
,2025-07-29,3.3,8.6,0,,,W,57,04:09,4.2,91,8,W,22,,8.5,57,8,WSW,22,
,2025-07-30,1.9,4.0,0.6,,,SE,35,22:07,3.1,98,7,SE,9,,3.9,99,8,SSE,11,
,2025-07-31,3.0,6.9,15.4,,,,,,4.0,99,7,S,17,,5.9,79,8,S,13,
