"Daily Weather Observations for Mount Boyce, New South Wales for December 2025"
"Prepared at 13:00 UTC on Tuesday  5 May 2026   IDCJDW2087.202512"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-12-1,7.0,13.2,0,,,W,72,11:17,10.2,54,1,WSW,30,,11.0,49,8,W,35,
,2025-12-2,3.4,17.6,0,,,WSW,54,01:30,8.7,64,,SW,15,,17.2,30,1,WSW,19,
,2025-12-3,5.6,23.6,0,,,W,37,13:14,11.9,51,,W,11,,22.1,27,,W,15,
,2025-12-4,11.9,28.0,0,,,WSW,39,16:15,19.2,32,,W,11,,25.9,17,,W,22,
,2025-12-5,17.3,31.0,0,,,WNW,37,09:59,22.0,29,,W,17,,29.6,12,,WSW,17,
,2025-12-6,20.1,32.3,0,,,WSW,80,17:16,22.8,33,,WNW,20,,29.5,18,8,WNW,24,
,2025-12-7,15.4,24.2,0,,,W,44,03:52,15.6,61,8,WSW,19,,22.3,25,1,WNW,13,
,2025-12-8,10.6,27.3,0.8,,,WSW,39,14:24,13.8,89,7,NNE,4,,25.5,29,,W,17,
,2025-12-9,13.4,31.6,0.2,,,WSW,35,13:11,21.6,22,,WSW,11,,29.1,11,,W,17,
,2025-12-10,13.1,26.5,0,,,E,37,03:08,14.7,96,8,NE,4,,25.4,53,,ENE,11,
,2025-12-11,11.9,14.1,8.0,,,E,37,13:32,12.1,99,8,E,7,,13.4,95,8,ENE,9,
,2025-12-12,11.5,17.7,9.2,,,E,26,15:19,13.7,99,8,E,6,,16.5,79,8,E,11,
,2025-12-13,10.6,25.1,0.6,,,WSW,30,10:39,16.7,59,,W,11,,19.0,53,8,WSW,19,
,2025-12-14,13.1,23.8,13.4,,,WSW,72,14:33,15.6,83,6,W,24,,22.0,50,2,WSW,31,
,2025-12-15,10.7,23.6,0.2,,,ENE,33,15:33,15.7,75,2,NE,6,,22.5,52,1,ENE,13,
,2025-12-16,10.2,16.5,3.8,,,ENE,24,18:07,11.8,99,8,ENE,11,,15.3,93,8,ENE,11,
,2025-12-17,11.4,26.0,1.2,,,NNW,22,11:53,14.1,96,8,NNE,6,,24.9,58,5,ENE,9,
,2025-12-18,14.0,31.7,0.2,,,SW,41,14:38,22.0,60,,WSW,13,,30.1,27,1,W,20,
,2025-12-19,21.7,33.3,0,,,W,44,08:59,24.9,43,,WSW,15,,32.0,25,,WSW,20,
,2025-12-20,16.8,29.2,1.2,,,WSW,43,15:49,18.2,78,8,WSW,9,,25.0,45,8,WSW,17,
,2025-12-21,17.8,32.6,0.2,,,WNW,65,22:45,25.7,47,8,NNW,9,,28.9,29,8,W,22,
,2025-12-22,13.5,25.9,4.2,,,W,63,02:37,15.5,76,8,W,19,,23.2,50,,WSW,22,
,2025-12-23,12.5,25.7,0,,,WSW,52,10:59,16.4,60,,WSW,26,,23.2,29,,WSW,22,
,2025-12-24,10.2,26.6,0,,,WSW,48,16:37,15.1,70,,WSW,17,,25.1,17,,WSW,24,
,2025-12-25,10.2,25.2,0,,,W,44,12:39,15.1,50,,W,9,,22.6,46,,ENE,9,
,2025-12-26,8.1,11.5,0.8,,,ENE,26,12:16,10.4,93,8,ENE,9,,7.7,86,8,E,9,
,2025-12-27,4.4,20.2,0,,,E,31,16:40,11.5,68,,ENE,7,,17.1,48,4,ENE,9,
,2025-12-28,6.6,19.1,0.2,,,E,28,15:54,11.3,60,1,SSE,11,,18.2,47,5,E,9,
,2025-12-29,5.9,22.9,0,,,ENE,24,18:32,12.6,71,,E,7,,21.9,36,,ESE,9,
,2025-12-30,7.5,28.4,0,,,SW,26,11:01,16.7,51,,W,7,,27.1,30,,ENE,11,
,2025-12-31,15.0,22.5,0,,,ENE,30,17:33,19.4,51,5,E,7,,20.1,49,3,ENE,11,
