"Daily Weather Observations for Mount Boyce, New South Wales for January 2026"
"Prepared at 13:00 UTC on Monday  4 May 2026   IDCJDW2087.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,11.0,14.1,8.8,,,E,24,09:02,12.0,99,8,E,7,,11.8,97,8,E,11,
,2026-01-2,8.9,15.4,1.6,,,E,24,23:10,11.0,99,8,ENE,7,,13.9,85,8,ENE,9,
,2026-01-3,10.2,25.7,1.8,,,ENE,33,18:24,15.1,85,,NE,11,,22.4,74,8,ENE,9,
,2026-01-4,13.1,27.3,3.0,,,WSW,52,12:51,19.4,68,,WSW,15,,20.5,45,8,WNW,9,
,2026-01-5,12.4,26.3,1.4,,,E,30,14:01,17.9,62,,WSW,11,,19.0,81,8,ENE,13,
,2026-01-6,11.9,27.0,12.2,,,,,,16.4,86,6,ENE,9,,26.1,40,4,WNW,7,
,2026-01-7,15.6,31.4,0,,,ENE,24,16:44,21.7,56,,W,7,,29.8,33,1,E,9,
,2026-01-8,19.0,34.7,0,,,WSW,30,08:30,23.7,36,,W,19,,33.9,17,,E,9,
,2026-01-9,20.1,35.3,0,,,W,37,16:28,24.9,27,,W,15,,34.3,9,,NW,15,
,2026-01-10,20.6,32.5,0,,,W,67,05:57,22.9,39,,WNW,24,,31.0,26,,W,28,
,2026-01-11,13.0,14.0,0,,,E,31,16:22,13.9,92,8,ENE,9,,12.8,99,8,ENE,13,
,2026-01-12,9.6,15.8,8.4,,,ENE,28,01:33,11.1,99,7,ENE,9,,15.5,95,8,ENE,7,
,2026-01-13,10.8,25.1,1.2,,,ENE,26,17:28,15.4,96,8,NNE,6,,23.2,67,3,ENE,11,
,2026-01-14,14.3,21.3,1.6,,,ENE,24,10:04,15.4,97,8,ENE,6,,19.3,77,8,ENE,11,
,2026-01-15,14.8,21.5,1.8,,,N,33,16:50,16.7,100,8,ENE,7,,20.0,84,8,ENE,9,
,2026-01-16,13.7,21.5,13.4,,,SSE,30,20:34,15.3,94,8,ESE,4,,20.2,68,8,E,11,
,2026-01-17,13.5,17.5,3.8,,,E,44,12:32,14.7,99,8,E,15,,15.8,99,8,E,13,
,2026-01-18,12.8,14.8,141.8,,,ESE,44,09:40,12.9,99,8,E,15,,13.6,99,8,E,17,
,2026-01-19,11.2,19.4,34.0,,,ESE,33,23:27,12.7,100,8,ESE,6,,18.5,77,8,ENE,9,
,2026-01-20,11.4,20.0,15.4,,,E,26,17:11,11.7,99,7,E,9,,19.3,63,8,ENE,9,
,2026-01-21,9.3,24.2,0.4,,,W,20,12:08,12.1,96,6,W,7,,22.9,54,5,E,9,
,2026-01-22,12.1,26.4,0,,,WSW,41,10:00,17.3,68,,W,15,,21.5,63,4,ENE,19,
,2026-01-23,9.0,20.9,1.2,,,ENE,26,17:58,10.7,91,8,E,7,,20.3,57,1,ENE,9,
,2026-01-24,10.7,30.2,0.2,,,W,43,12:24,14.9,83,6,NW,6,,28.8,28,,W,17,
,2026-01-25,14.7,34.6,0,,,WSW,28,13:30,21.6,49,,W,9,,33.8,16,,W,9,
,2026-01-26,14.3,25.5,0,,,E,46,07:14,19.2,67,,E,7,,24.6,56,,E,11,
,2026-01-27,10.4,26.6,0.2,,,NE,24,09:03,15.6,77,2,ENE,11,,25.0,51,,ENE,7,
,2026-01-28,13.8,33.1,0,,,ENE,22,14:33,26.2,20,, ,Calm,,31.6,41,,ENE,9,
,2026-01-29,14.5,27.3,0.2,,,ENE,26,17:32,17.5,80,8,ENE,7,,26.9,47,,E,11,
,2026-01-30,14.4,31.3,0,,,NNE,22,14:00,20.8,63,7,NE,7,,29.7,44,,ENE,9,
,2026-01-31,18.9,34.9,0,,,SE,24,13:13,24.6,52,,W,9,,33.6,40,1,ENE,9,
