"Daily Weather Observations for Mount Boyce, New South Wales for February 2026"
"Prepared at 13:00 UTC on Sunday  3 May 2026   IDCJDW2087.202602"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-02-1,19.4,27.6,0.4,,,W,59,08:20,21.7,60,8,W,28,,25.8,57,7,ENE,9,
,2026-02-2,7.9,17.8,1.4,,,ESE,31,17:21,8.0,99,8,SE,13,,16.1,47,5,E,9,
,2026-02-3,7.2,17.9,4.2,,,ENE,30,09:03,11.1,99,7,ENE,11,,16.7,73,8,E,7,
,2026-02-4,10.7,27.6,0.8,,,WSW,39,12:24,15.1,81,,NW,2,,25.9,35,8,W,22,
,2026-02-5,15.1,31.5,0,,,WSW,35,10:34,21.6,50,,W,20,,29.0,22,4,SSW,11,
,2026-02-6,15.1,29.6,2.8,,,S,48,12:55,22.2,54,,WNW,7,,20.1,67,7,NW,6,
,2026-02-7,17.0,31.2,1.6,,,NNE,56,15:08,21.7,49,,WNW,13,,28.0,47,5,ENE,13,
,2026-02-8,13.3,17.2,11.0,,,W,24,03:32,13.8,97,8,WSW,7,,16.0,96,8,ENE,6,
,2026-02-9,13.6,24.5,8.4,,,W,41,10:48,15.8,98,8,WNW,11,,19.6,82,8,W,22,
,2026-02-10,15.3,24.0,14.0,,,S,31,17:03,15.9,100,8,W,9,,20.7,86,8, ,Calm,
,2026-02-11,15.9,29.9,1.0,,,W,35,11:32,19.8,64,,W,9,,28.3,32,2,WSW,20,
,2026-02-12,19.8,26.6,0,,,WNW,41,00:12,20.2,58,8,WSW,17,,26.1,49,1,WNW,7,
,2026-02-13,8.8,14.3,2.0,,,E,28,23:06,9.9,96,7,E,6,,13.9,84,8,ENE,9,
,2026-02-14,9.8,14.9,5.2,,,E,30,15:58,12.3,99,8,ENE,11,,13.5,99,7,E,11,
,2026-02-15,10.9,19.2,7.2,,,E,28,19:33,12.6,99,7,ESE,4,,19.0,66,6,ENE,11,
,2026-02-16,11.8,20.5,11.0,,,ENE,24,04:47,13.1,99,8,E,7,,18.5,65,8,E,9,
,2026-02-17,11.1,24.9,4.2,,,W,31,12:42,14.7,81,,NE,7,,23.5,39,1,WSW,17,
,2026-02-18,14.7,27.0,0.2,,,W,63,11:48,20.6,56,,W,26,,26.9,47,4,WSW,24,
,2026-02-19,15.1,29.3,2.2,,,W,46,11:34,16.8,99,8,NE,7,,28.2,33,,WSW,15,
,2026-02-20,15.7,24.6,3.2,,,ENE,28,06:42,16.0,99,8,ENE,11,,22.0,81,8,ENE,9,
,2026-02-21,15.8,29.3,0.2,,,W,39,08:14,20.2,74,,W,17,,27.6,43,5,W,17,
,2026-02-22,15.9,26.7,6.8,,,W,46,10:53,19.1,79,,W,13,,25.4,46,8,WSW,19,
,2026-02-23,18.1,24.8,0.6,,,WNW,39,04:57,20.2,58,7,W,17,,23.8,69,5,ENE,9,
,2026-02-24,15.9,27.0,0,,,E,22,12:44,18.1,90,8,ENE,6,,26.2,60,1,NE,9,
,2026-02-25,17.0,27.7,0,,,WSW,26,08:27,20.0,67,8,W,15,,24.8,72,7,E,9,
,2026-02-26,15.2,20.7,10.6,,,ESE,33,19:28,16.0,99,8,ESE,7,,17.4,99,8,E,6,
,2026-02-27,14.2,17.4,34.4,,,E,31,08:42,14.2,99,8,E,15,,16.8,99,8,E,11,
,2026-02-28,13.7,17.2,21.4,,,ENE,26,03:46,14.7,100,8,ENE,7,,16.2,95,8,E,9,
