"Daily Weather Observations for Mount Boyce, New South Wales for March 2026"
"Prepared at 16:00 UTC on Saturday  2 May 2026   IDCJDW2087.202603"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-03-1,13.9,16.8,7.2,,,ENE,24,14:55,15.5,100,7,E,7,,15.2,99,8,ENE,6,
,2026-03-2,13.9,23.3,3.2,,,ENE,33,01:10,15.4,99,8,ENE,9,,22.2,74,8,NE,9,
,2026-03-3,15.4,20.1,47.8,,,WNW,26,04:43,16.0,99,8,NW,11,,19.6,89,8,NNW,11,
,2026-03-4,16.0,25.8,3.2,,,NE,24,21:13,18.4,99,7, ,Calm,,24.2,64,4,WNW,9,
,2026-03-5,16.3,28.0,1.2,,,W,33,12:36,20.1,81,,NNW,6,,26.9,43,1,WSW,17,
,2026-03-6,18.3,27.5,0,,,ENE,24,20:24,22.8,56,,NNE,9,,22.2,81,8,ENE,9,
,2026-03-7,15.9,22.9,0,,,WNW,24,12:07,20.2,80,8,NE,4,,19.2,91,8,WSW,15,
,2026-03-8,14.1,16.1,2.2,,,ESE,39,21:33,15.1,93,8,ESE,9,,15.2,99,7,ESE,11,
,2026-03-9,12.6,17.0,13.8,,,E,41,23:08,14.0,99,8,E,11,,15.9,97,7,ESE,11,
,2026-03-10,13.6,22.6,3.2,,,ENE,20,17:34,15.9,100,8, ,Calm,,19.9,79,8,ESE,6,
,2026-03-11,13.6,25.9,0.2,,,W,56,15:54,18.6,67,,N,7,,24.2,43,1,W,26,
,2026-03-12,14.8,23.9,0,,,WNW,44,23:07,15.8,61,,W,19,,23.0,14,,W,20,
,2026-03-13,12.0,19.9,0.2,,,ENE,31,18:13,12.7,98,7,ENE,9,,18.9,62,1,ENE,9,
,2026-03-14,8.1,20.0,0,,,NE,24,12:38,12.1,83,8,ENE,7,,19.2,51,1,NE,11,
,2026-03-15,8.7,25.5,0,,,WSW,24,11:31,13.6,87,,NE,9,,24.2,42,,SW,7,
,2026-03-16,13.6,26.3,0,,,NE,22,20:21,19.4,56,, ,Calm,,25.6,45,8,NNW,4,
,2026-03-17,17.8,20.6,0,,,W,35,12:34,18.3,57,6,WSW,13,,20.1,55,5,W,17,
,2026-03-18,15.2,21.5,0.2,,,E,20,13:58,15.5,99,8,ENE,6,,20.3,71,8,E,11,
,2026-03-19,14.8,20.3,0.2,,,ENE,17,01:01,15.3,99,8, ,Calm,,17.9,88,8,ENE,9,
,2026-03-20,13.0,22.2,5.6,,,ENE,24,11:11,15.2,99,8,SSE,2,,20.4,64,2,ESE,4,
,2026-03-21,13.2,22.1,0.2,,,ENE,26,15:46,15.0,91,,ENE,7,,20.2,84,3,ENE,9,
,2026-03-22,11.8,22.3,12.8,,,E,48,22:57,14.3,99,7,E,7,,20.5,72,1,E,9,
,2026-03-23,13.0,19.3,2.8,,,ENE,28,20:28,14.4,99,8,ENE,9,,16.8,97,8,E,7,
,2026-03-24,12.6,21.5,6.0,,,NE,24,00:39,15.0,98,5,NE,7,,21.3,64,,ENE,7,
,2026-03-25,11.4,23.0,0,,,WSW,31,18:17,13.7,84,,WNW,6,,22.1,57,8,WSW,7,
,2026-03-26,13.7,23.8,2.4,,,WSW,69,15:56,15.8,72,7,WNW,9,,22.5,53,8,W,13,
,2026-03-27,3.0,8.6,6.2,,,WSW,70,06:49,3.0,87,8,W,39,,6.6,84,7,WSW,35,
,2026-03-28,2.6,15.9,3.2,,,WSW,54,23:03,6.0,83,,W,13,,13.5,57,8,SW,6,
,2026-03-29,6.0,18.8,0,,,SSE,20,06:51,9.3,81,3,SSW,9,,17.9,50,,NNW,4,
,2026-03-30,8.2,20.8,0,,,NE,20,09:26,10.9,99,1,ENE,4,,19.4,52,5,ENE,7,
,2026-03-31,8.5,21.0,0,,,ENE,22,07:55,11.5,94,,NE,11,,18.1,59,8,ESE,4,
