"Daily Weather Observations for Mount Boyce, New South Wales for May 2026"
"Prepared at 00:36 UTC on Monday 11 May 2026   IDCJDW2087.202605"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Mount Boyce AWS {station 063292}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-05-1,8.5,16.6,0,,,ENE,39,13:47,14.0,81,,NE,9,,16.5,71,2,NE,11,
,2026-05-2,9.9,18.9,0.6,,,NE,31,06:05,14.5,85,1,ENE,11,,16.5,77,8,ENE,7,
,2026-05-3,10.5,20.7,0,,,ENE,24,00:13,14.7,78,,NE,9,,20.1,51,3,ENE,7,
,2026-05-4,11.3,14.5,1.6,,,NW,35,10:33,11.6,96,8,NW,13,,14.1,89,7,NW,11,
,2026-05-5,5.5,14.5,6.2,,,WSW,41,10:23,7.9,84,,W,15,,14.0,52,,WSW,15,
,2026-05-6,5.7,16.5,0.2,,,W,31,22:19,12.5,77,2,NE,9,,16.2,54,4,N,4,
,2026-05-7,4.0,6.8,0,,,WSW,83,10:54,6.3,87,8,WSW,33,,5.4,50,8,WSW,35,
,2026-05-8,1.0,9.4,0,,,WSW,69,13:03,4.8,82,6,W,28,,8.8,69,2,WSW,30,
,2026-05-9,4.3,16.5,0,,,WSW,19,00:54,8.2,78,,W,6,,16.0,46,,WNW,6,
,2026-05-10,7.0,16.7,0,,,E,20,12:49,12.3,76,,SE,7,,15.2,67,3,E,7,
,2026-05-11,6.9,,1.0,,,,,,10.7,99,7,E,11,,,,,,,
